Name,Environmental fate,Ecotoxicity,Human health,SMILES
"1,3-dichloropropene (Ref: D D92)",High,High,High,C=CC(Cl)Cl
1-methylcyclopropene,High,High,Moderate,CC1=CC1
"2,3,6-TBA (Ref: HC 1281)",High,Moderate,Moderate,C1=CC(=C(C(=C1Cl)C(=O)O)Cl)Cl
"2,4-D (Ref: L 208)",High,Moderate,High,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
"2,4-DB (Ref: ENT 8538)",Moderate,Moderate,Moderate,CNC.C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O
2-aminobutane,Low,Moderate,Moderate,CCC(C)N
(4-chlorophenoxy)acetic acid,High,Moderate,Moderate,C1=CC(=CC=C1OCC(=O)O)Cl
Acephate,Moderate,High,High,CC(=O)NP(=O)(OC)SC
Acequinocyl,Low,High,Moderate,CCCCCCCCCCCCC1=C(C(=O)C2=CC=CC=C2C1=O)OC(=O)C
Acetamiprid,Moderate,High,Moderate,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl
Acetochlor (Ref: CP 55097),Moderate,Moderate,High,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C
Acibenzolar-S-methyl (Ref: CGA 245704),Moderate,Moderate,High,CSC(=O)C1=C2C(=CC=C1)N=NS2
Acifluorfen-sodium (Ref: RH 6201 ),High,Moderate,Moderate,C1=CC(=C(C=C1C(F)(F)F)Cl)OC2=CC(=C(C=C2)[N+](=O)[O-])C(=O)[O-].[Na+]
Aclonifen (Ref: AE F068300),High,High,Moderate,C1=CC=C(C=C1)OC2=C(C(=C(C=C2)[N+](=O)[O-])N)Cl
Acrinathrin (Ref: RU 38702),Moderate,High,Moderate,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=CC(=O)OC(C(F)(F)F)C(F)(F)F)C
Alachlor (Ref: CP 50144 ),Moderate,Moderate,Moderate,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl
Aldicarb (Ref: ENT 27093),High,High,High,CC(C)(C=NOC(=O)NC)SC
Aldoxycarb,High,High,High,CC(C)(C=NOC(=O)NC)S(=O)(=O)C
Aldrin (Ref: OMS 194),High,High,High,C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl
Allethrin (Ref: FMC 249),High,High,Moderate,CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC=C
Alloxydim,High,Moderate,Low,CCCC(=C1C(=O)CC(C(C1=O)C(=O)OC)(C)C)NOCC=C
Alpha-cypermethrin (Ref: OMS 3004),High,High,High,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
Aluminium ammonium sulphate,Low,Low,Moderate,[NH4+].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3]
