Unnamed: 0,Environmental fate,VSA_EState10,MolLogP,Kappa2,Chi3n,fr_NH0,HallKierAlpha,SMR_VSA10,TPSA,fr_amide,fr_NH2,SMR_VSA7,SlogP_VSA11,Chi4v,FpDensityMorgan2,SlogP_VSA10
"1,3-dichloropropene (Ref: D D92)",High,10.2191358,1.9761,2.551481481,0.178174161,0,0.32,23.20187978,0.0,0,0,12.65495579,0.0,0.0,1.8,0.0
1-methylcyclopropene,High,0.0,1.3364,0.369226086,0.612372436,0,-0.26,0.0,0.0,0,0,11.64912464,0.0,0.102062073,2.25,0.0
"2,3,6-TBA (Ref: HC 1281)",High,16.74478395,3.345,3.519322271,1.257856534,0,-0.44,40.77212496,37.3,0,0,32.76408557,0.0,1.412915537,1.666666667,0.0
"2,4-D (Ref: L 208)",High,11.33392703,2.4568,4.346851547,1.245073631,0,-0.93,29.17118507,46.53,0,0,28.24436783,5.749511833,1.194802577,2.153846154,0.0
"2,4-DB (Ref: ENT 8538)",Not High,11.54734354,3.0726,9.999399203,1.686471366,0,-0.97,29.17118507,58.56,0,0,28.24436783,5.749511833,1.460833768,2.0,0.0
2-aminobutane,Not High,0.0,0.7436,2.212525253,0.643950551,0,-0.04,0.0,26.02,0,1,0.0,0.0,0.0,2.0,0.0
(4-chlorophenoxy)acetic acid,High,5.602497515,1.8034,3.97035602,1.175948505,0,-1.22,17.57024518,46.53,0,0,29.28810159,5.749511833,0.801880841,2.0,0.0
Acephate,Not High,1.001944444,1.24,4.007779397,0.775094168,0,0.01,24.01032332,55.4,1,0,0.0,0.0,2.182704645,2.2,0.0
Acequinocyl,Not High,0.0,6.1938,11.57643903,5.196842177,0,-2.23,17.53579518,60.44,0,0,46.72464066,0.0,3.672103563,1.285714286,0.0
Acetamiprid,Not High,5.668989881,2.06628,5.322711058,1.972621972,4,-1.6,17.43655968,52.28,0,0,29.04613902,0.0,1.157753988,2.4,0.0
Acetochlor (Ref: CP 55097),Not High,5.676668714,3.12322,7.391222319,2.812018571,1,-1.06,23.19550589,29.54,1,0,29.32600419,0.0,2.051485347,2.111111111,5.687386275
Acibenzolar-S-methyl (Ref: CGA 245704),Not High,2.470694444,2.1945,3.431749637,1.680231055,2,-0.94,38.62626913,42.85,0,0,23.7625527,0.0,2.201978802,2.384615385,0.0
Aclonifen (Ref: AE F068300),High,5.937903912,3.6227,4.931151492,2.28903871,1,-2.27,22.97571244,78.39,0,1,57.60152106,11.49902367,1.614651434,1.833333333,11.37477255
Acrinathrin (Ref: RU 38702),Not High,0.0,6.45158,10.76935915,5.923862984,1,-4.01,11.93861058,85.62,0,0,72.31279532,11.49902367,3.868042237,1.552631579,26.34249029
Alachlor (Ref: CP 50144 ),Not High,5.676668714,2.9871,7.391222319,2.908433972,1,-1.06,23.19550589,29.54,1,0,29.32600419,0.0,2.168568797,1.833333333,5.687386275
Aldicarb (Ref: ENT 27093),High,1.625338955,1.4698,5.028018198,1.229447685,1,-0.71,24.0697256,50.69,1,0,0.0,0.0,0.447937609,2.25,4.794537184
Aldoxycarb,High,0.0,0.1514,4.405720409,1.659006063,1,-1.11,22.14509379,84.83,1,0,0.0,0.0,0.577037054,2.0,4.794537184
Aldrin (Ref: OMS 194),High,39.21124496,5.2702,3.339877472,5.123356209,0,1.22,69.60563934,0.0,0,0,22.21661292,0.0,7.614273222,1.222222222,0.0
Allethrin (Ref: FMC 249),High,0.0,4.002,5.864062937,4.950733167,0,-1.64,11.75255023,43.37,0,0,35.45028949,0.0,3.419688155,2.045454545,0.0
