Unnamed: 0,Environmental fate,Ipc,fr_epoxide,BalabanJ,fr_urea,fr_imide,fr_aryl_methyl,VSA_EState9,fr_hdrzone,PEOE_VSA6,Chi4v,fr_bicyclic,EState_VSA2,NumAliphaticHeterocycles,fr_sulfone,fr_thiophene
"1,3-dichloropropene (Ref: D D92)",High,9.651484454,0,2.825749369,0,0,0,0.0,0,6.076020107,0.0,0,0.0,0,0,0
1-methylcyclopropene,High,14.0,0,2.536387339,0,0,0,0.0,0,11.64912464,0.102062073,0,0.0,0,0,0
"2,3,6-TBA (Ref: HC 1281)",High,403.7935467,0,3.428930881,0,0,0,0.0,0,34.80281967,1.412915537,0,20.63135143,0,0,0
"2,4-D (Ref: L 208)",High,705.1739292,0,2.719441518,0,0,0,0.0,0,23.20187978,1.194802577,0,0.0,0,0,0
"2,4-DB (Ref: ENT 8538)",Not High,6208.466357,0,8.73e-07,0,0,0,3.75,0,23.20187978,1.460833768,0,6.420821623,0,0,0
2-aminobutane,Not High,9.651484454,0,2.539538861,0,0,0,0.0,0,6.9237372,0.0,0,0.0,0,0,0
(4-chlorophenoxy)acetic acid,High,496.108219,0,2.529889074,0,0,0,0.0,0,11.60093989,0.801880841,0,6.606881965,0,0,0
Acephate,Not High,111.9967044,0,4.074118885,0,0,0,1.29882716,0,11.3817248,2.182704645,0,5.907179729,0,0,0
Acequinocyl,Not High,1607234.129,0,1.877743188,0,0,0,0.0,0,88.97660008,3.672103563,1,17.32565476,0,0,0
Acetamiprid,Not High,2179.85564,0,2.668921337,0,0,0,1.865853647,0,17.66730696,1.157753988,0,0.0,0,0,0
Acetochlor (Ref: CP 55097),Not High,10056.35262,0,3.14392934,0,0,2,0.0,0,25.12283841,2.051485347,0,18.51799992,0,0,0
Acibenzolar-S-methyl (Ref: CGA 245704),Not High,1693.015175,0,2.673253366,0,0,0,0.0,0,22.31649529,2.201978802,1,5.11527693,0,0,0
Aclonifen (Ref: AE F068300),High,12536.78094,0,2.361830968,0,0,0,0.0,0,29.8000411,1.614651434,0,22.1469177,0,0,0
Acrinathrin (Ref: RU 38702),Not High,134597932.1,0,1.653722063,0,0,0,0.0,0,50.25532985,3.868042237,0,0.0,0,0,0
Alachlor (Ref: CP 50144 ),Not High,10651.22192,0,3.276613192,0,0,2,1.578065004,0,32.0465756,2.168568797,0,18.51799992,0,0,0
Aldicarb (Ref: ENT 27093),High,319.9983155,0,3.831747294,0,0,0,1.483697326,0,5.155712727,0.447937609,0,4.747022453,0,0,0
Aldoxycarb,High,593.8179602,0,4.455302554,0,0,0,-1.893478993,0,5.155712727,0.577037054,0,0.0,0,1,0
Aldrin (Ref: OMS 194),High,20189.26677,0,2.032344649,0,0,0,0.0,0,58.55579977,7.614273222,9,11.83581209,0,0,0
Allethrin (Ref: FMC 249),High,62798.5938,0,2.067252684,0,0,0,0.0,0,31.57261914,3.419688155,0,35.42417442,0,0,0
Alloxydim,High,71674.63779,0,3.265887409,0,0,0,1.239986615,0,33.26805333,2.766601864,0,24.38405306,0,0,0
Alpha-cypermethrin (Ref: OMS 3004),High,2171247.032,0,1.721481495,0,0,0,0.0,0,67.38118952,3.570249235,0,21.74227074,0,0,0
Ametryn (Ref: G 34162 ),Not High,2036.14198,0,2.891747032,0,0,0,0.0,0,11.76188495,1.363218731,0,0.0,0,0,0
Amidosulfuron,High,54474.06407,0,2.929290103,1,0,0,-5.265063316,0,3.710522252,3.10733543,0,21.41883821,0,0,0
Aminopyralid (Ref: XDE 750),High,391.6090567,0,3.373859011,0,0,0,0.0,0,23.20187978,1.037973702,0,21.5570574,0,0,0
Amitraz (Ref: ENT 27967),Not High,73709.9321,0,2.068364402,0,0,4,1.930601852,0,35.39237126,2.236827153,0,0.0,0,0,0
Amitrole,Not High,33.54887502,0,3.049648321,0,0,0,0.0,0,0.0,0.2149387,0,0.0,0,0,0
Ammonium acetate,Not High,3.245112498,0,0.0,0,0,0,0.0,0,0.0,0.0,0,6.15054635,0,0,0
Ammonium carbonate,Not High,3.245112498,0,-4.5e-08,0,0,0,0.0,0,0.0,0.0,0,12.3010927,0,0,0
Ammonium hydroxide,Not High,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,11.62673819,0,0,0
Ammonium sulphamate,High,3.609640474,0,0.0,0,0,0,-4.416666667,0,0.0,0.0,0,6.15054635,0,0,0
Ammonium sulphate,Not High,3.609640474,0,-8e-08,0,0,0,-5.166666667,0,0.0,0.0,0,12.3010927,0,0,0
Ammonium thiocyanate,Not High,2.754887502,0,0.0,0,0,0,0.0,0,5.401253297,0.0,0,6.15054635,0,0,0
Ancymidol (Ref: EL 531),Not High,60301.39525,0,2.045722087,0,0,0,1.632073098,0,12.13273414,2.480204019,0,5.917906046,0,0,0
Anilazine (Ref: ENT 26 058),Not High,4436.622253,0,2.304646044,0,0,0,0.0,0,23.73367403,1.61129406,0,16.51551192,0,0,0
Anthracene oil,High,3255.128956,0,2.523732645,0,0,0,0.0,0,48.53093655,1.882638632,2,0.0,0,0,0
Atrazine (Ref: G 30027),Not High,1099.439255,0,2.831956368,0,0,0,0.0,0,0.0,1.070114806,0,11.32542715,0,0,0
Azafenidin,Not High,135649.893,0,2.102045638,0,0,1,0.0,0,29.1223141,2.985045602,1,12.29662536,1,0,0
Azamethiphos (Ref: GCA 18809),High,20568.02001,0,2.333386224,0,0,0,2.538790251,0,11.60093989,3.744659546,1,11.45980853,0,0,0
Azimsulfuron,High,2988891.533,0,1.853277029,1,0,2,1.272934281,0,0.0,3.476954545,0,34.12213192,0,0,0
Azinphos-ethyl (Ref: BAY 16259),High,53272.96141,0,2.217786046,0,0,0,0.0,0,17.34611923,5.825917886,1,11.43605528,0,0,0
Azinphos-methyl,Not High,21581.9777,0,2.296294908,0,0,0,2.984368334,0,17.34611923,4.001989828,1,11.43605528,0,0,0
Aziprotryne (Ref: C 7019),Not High,2036.14198,0,3.04616524,0,0,0,0.0,0,11.76188495,1.1953117,0,11.99018011,0,0,0
Azoxystrobin (Ref: ICI 5504),High,6644963.573,0,1.896982693,0,0,0,2.710261978,0,30.33183534,2.535304824,0,17.3330812,0,0,0
Beflubutamid (Ref: UBH 820),High,295430.4806,0,2.046968319,0,0,0,0.0,0,37.25557254,2.180319542,0,18.71508986,0,0,0
Benalaxyl (Ref: M 9834),Not High,212706.1047,0,2.430341149,0,0,2,1.336699263,0,48.53093655,2.851605383,0,12.32800135,0,0,0
Benazolin (Ref: RD 7693),High,2897.098615,0,2.76485568,0,0,0,0.0,0,29.00409284,2.609345868,1,11.417719,0,0,0
Bendiocarb (Ref: NC 6897),Not High,4481.112002,0,2.298082754,0,0,0,1.492851356,0,6.066367068,1.439362458,1,0.0,1,0,0
Benfluralin (Ref: EL 110),High,63879.46802,0,3.638721513,0,0,0,0.0,0,13.34455882,2.147199355,0,18.77689909,0,0,0
Benfuracarb,Not High,1099777.722,0,1.969792124,0,0,0,1.63958849,0,12.13273414,3.624716983,1,24.03301855,1,0,0
Benfuresate (Ref: NC 20484),Not High,6198.318905,0,2.349619121,0,0,0,-3.4680565,0,13.8474744,2.271877177,1,11.16784408,1,0,0
Benodanil (Ref: BAS 3170),Not High,5744.988995,0,2.186811346,0,0,0,0.0,0,30.33183534,1.997607145,0,5.907179729,0,0,0
Benomyl (Ref: T 1991),Not High,68683.25073,0,2.350217005,0,0,0,1.253618327,0,25.47729296,1.908887762,1,11.97945379,0,0,0
Benoxacor (Ref: CGA 154281),High,4657.386649,0,2.404984323,0,0,0,0.0,0,35.33461392,1.951932977,1,11.94902056,1,0,0
