Unnamed: 0,Environmental fate,BCUT2D_LOGPHI,qed,Chi2v,Chi3v,BalabanJ,Chi1v,BCUT2D_LOGPLOW,MolLogP,Chi4v,Chi0v,FpDensityMorgan2,Kappa3,Kappa2,SPS,BCUT2D_CHGHI
"1,3-dichloropropene (Ref: D D92)",High,1.985208061,0.358100796,1.733938695,0.534522484,2.825749369,2.050888965,-1.684164925,1.9761,0.0,4.129594158,1.8,4.32,2.551481481,8.6,1.803379284
1-methylcyclopropene,High,2.140918074,0.36590903,1.254600961,0.612372436,2.536387339,1.550476816,-1.264129643,1.3364,0.102062073,2.78445705,2.25,0.126914593,0.369226086,19.75,1.935947693
"2,3,6-TBA (Ref: HC 1281)",High,2.304882772,0.744344417,3.215708122,2.377111671,3.428930881,4.039254674,-1.981780407,3.345,1.412915537,7.911842681,1.666666667,1.657140002,3.519322271,9.916666667,2.149389127
"2,4-D (Ref: L 208)",High,2.266823308,0.851992744,3.100793443,1.775540299,2.719441518,4.146010904,-2.089764584,2.4568,1.194802577,7.970654603,2.153846154,3.125324761,4.346851547,9.692307692,2.035920217
"2,4-DB (Ref: ENT 8538)",Not High,2.269712661,0.819375392,4.264133412,2.216938034,8.73e-07,6.146010904,-2.017471258,3.0726,1.460833768,11.88486817,2.0,8.16952387,9.999399203,9.333333333,2.024121065
2-aminobutane,Not High,1.767400543,0.486540067,1.385532175,0.643950551,2.539538861,2.026038674,-2.112308601,0.7436,0.0,3.86180732,2.0,3.96,2.212525253,15.0,1.791892011
(4-chlorophenoxy)acetic acid,High,2.144912948,0.783250061,2.572769609,1.42792482,2.529889074,3.662397528,-2.085818831,1.8034,0.801880841,6.914111453,2.0,2.798693085,3.97035602,9.416666667,1.97278211
Acephate,Not High,2.526007046,0.668589141,6.017040623,4.488507125,4.074118885,5.996550488,-2.146868288,1.24,2.182704645,7.791130529,2.2,3.247086919,4.007779397,11.1,2.197068675
Acequinocyl,Not High,2.298588844,0.318139743,7.53713382,5.196842177,1.877743188,10.65863117,-2.243203081,6.1938,3.672103563,17.22056883,1.285714286,6.148668148,11.57643903,13.64285714,2.33196542
Acetamiprid,Not High,2.069034303,0.333200021,3.491499061,2.196200137,2.668921337,4.759533077,-2.228933126,2.06628,1.157753988,9.36190539,2.4,3.563566798,5.322711058,10.93333333,2.018403265
Acetochlor (Ref: CP 55097),Not High,2.257425267,0.586581381,4.280755017,3.040650377,3.14392934,6.712036781,-2.350473084,3.12322,2.051485347,11.95808153,2.111111111,3.466403316,7.391222319,10.44444444,2.186931098
Acibenzolar-S-methyl (Ref: CGA 245704),Not High,2.22562378,0.723312882,3.951502384,3.045859998,2.673253366,5.618960179,-1.908261101,2.1945,2.201978802,8.484216032,2.384615385,1.445604159,3.431749637,10.53846154,2.09989157
Aclonifen (Ref: AE F068300),High,2.382480872,0.521569082,3.860670746,2.678899394,2.361830968,5.423992509,-1.973087169,3.6227,1.614651434,9.924654039,1.833333333,2.35614614,4.931151492,10.05555556,2.176766971
Acrinathrin (Ref: RU 38702),Not High,2.594636035,0.216952933,9.017720452,5.923862984,1.653722063,11.09510149,-2.448795751,6.45158,3.868042237,19.91649592,1.552631579,6.846008547,10.76935915,19.47368421,2.620598994
Alachlor (Ref: CP 50144 ),Not High,2.268976808,0.586931627,4.272409968,3.137065778,3.276613192,6.685163328,-2.348034335,2.9871,2.168568797,11.95808153,1.833333333,3.23871366,7.391222319,10.44444444,2.193088167
Aldicarb (Ref: ENT 27093),High,2.173619757,0.416304575,4.131274239,2.387055781,3.831747294,4.724813808,-2.193612259,1.4698,0.447937609,8.565805317,2.25,5.008836912,5.028018198,11.66666667,2.118870505
Aldoxycarb,High,2.110964832,0.418265494,5.835398384,3.675730916,4.455302554,5.724813808,-2.32423665,0.1514,0.577037054,9.382301898,2.0,3.733886942,4.405720409,12.85714286,2.279170681
Aldrin (Ref: OMS 194),High,2.810577819,0.311830458,8.901419847,9.41585593,2.032344649,8.045527107,-2.456469324,5.2702,7.614273222,13.47456891,1.222222222,0.973444995,3.339877472,58.77777778,2.848353741
Allethrin (Ref: FMC 249),High,2.596364136,0.569226799,7.276032983,4.950733167,2.067252684,7.889968688,-2.202633676,4.002,3.419688155,14.23281656,2.045454545,2.943022426,5.864062937,29.31818182,2.613418644
Alloxydim,High,2.402226215,0.146935333,6.214252269,3.820290601,3.265887409,7.667833089,-2.466277239,2.1051,2.766601864,14.2314759,2.086956522,4.283775602,8.057779602,22.52173913,2.49894535
