Unnamed: 0,Environmental fate,MolLogP,VSA_EState1,Chi4n,SlogP_VSA10,Chi3v,Chi1v,PEOE_VSA1,fr_halogen,BCUT2D_CHGHI,SMR_VSA5,VSA_EState10,NumHDonors,fr_quatN,fr_NH1,Chi2v
"1,3-dichloropropene (Ref: D D92)",High,1.9761,0.0,0.0,0.0,0.534522484,2.050888965,0.0,2,1.803379284,4.83626969,10.2191358,0,0,0,1.733938695
1-methylcyclopropene,High,1.3364,0.0,0.102062073,0.0,0.612372436,1.550476816,0.0,0,1.935947693,13.34455882,0.0,0,0,0,1.254600961
"2,3,6-TBA (Ref: HC 1281)",High,3.345,0.0,0.723117907,0.0,2.377111671,4.039254674,5.106527395,3,2.149389127,0.0,16.74478395,1,0,0,3.215708122
"2,4-D (Ref: L 208)",High,2.4568,4.863070988,0.731754175,0.0,1.775540299,4.146010904,9.843390349,2,2.035920217,0.0,11.33392703,1,0,0,3.100793443
"2,4-DB (Ref: ENT 8538)",Not High,3.0726,5.288256173,0.997785367,0.0,2.216938034,6.146010904,15.16017895,2,2.024121065,12.84164325,11.54734354,2,0,1,4.264133412
2-aminobutane,Not High,0.7436,0.0,0.0,0.0,0.643950551,2.026038674,5.733667477,0,1.791892011,26.31013685,0.0,1,0,0,1.385532175
(4-chlorophenoxy)acetic acid,High,1.8034,4.864228395,0.675892683,0.0,1.42792482,3.662397528,9.843390349,1,1.97278211,0.0,5.602497515,1,0,0,2.572769609
Acephate,Not High,1.24,15.75425926,0.358655031,0.0,4.488507125,5.996550488,4.523747162,0,2.197068675,6.9237372,1.001944444,1,0,1,6.017040623
Acequinocyl,Not High,6.1938,5.155983553,3.672103563,0.0,5.196842177,10.65863117,4.736862954,0,2.33196542,84.47651225,0.0,0,0,0,7.53713382
Acetamiprid,Not High,2.06628,0.0,1.045964906,0.0,2.196200137,4.759533077,4.899909731,1,2.018403265,13.46849361,5.668989881,0,0,0,3.491499061
Acetochlor (Ref: CP 55097),Not High,3.12322,5.373971403,1.907208491,5.687386275,3.040650377,6.712036781,4.736862954,1,2.186931098,27.19203322,5.676668714,0,0,0,4.280755017
Acibenzolar-S-methyl (Ref: CGA 245704),Not High,2.1945,4.685547052,1.075434856,0.0,3.045859998,5.618960179,0.0,0,2.09989157,0.0,2.470694444,0,0,0,3.951502384
Aclonifen (Ref: AE F068300),High,3.6227,5.490152116,1.416269333,11.37477255,2.678899394,5.423992509,10.47053043,1,2.176766971,0.0,5.937903912,1,0,0,3.860670746
Acrinathrin (Ref: RU 38702),Not High,6.45158,90.16087267,3.868042237,26.34249029,5.923862984,11.09510149,14.21058886,6,2.620598994,38.40800421,0.0,0,0,0,9.017720452
Alachlor (Ref: CP 50144 ),Not High,2.9871,5.12680587,2.024291941,5.687386275,3.137065778,6.685163328,4.736862954,1,2.193088167,26.68911765,5.676668714,0,0,0,4.272409968
Aldicarb (Ref: ENT 27093),High,1.4698,-0.103153345,0.299495205,4.794537184,2.387055781,4.724813808,5.316788604,0,2.118870505,18.59449685,1.625338955,1,0,1,4.131274239
Aldoxycarb,High,0.1514,21.15000441,0.342528354,4.794537184,3.675730916,5.724813808,5.316788604,0,2.279170681,18.59449685,0.0,1,0,1,5.835398384
Aldrin (Ref: OMS 194),High,5.2702,-1.365524691,4.47806017,0.0,9.41585593,8.045527107,0.0,6,2.848353741,20.50252032,39.21124496,0,0,0,8.901419847
Allethrin (Ref: FMC 249),High,4.002,5.660757275,3.419688155,0.0,4.950733167,7.889968688,4.736862954,0,2.613418644,53.56429563,0.0,0,0,0,7.276032983
