Unnamed: 0,Environmental fate,qed,fr_quatN,Kappa1,fr_sulfonamd,fr_ether,fr_N_O,fr_morpholine,fr_pyridine,fr_hdrzine,fr_nitro_arom_nonortho,VSA_EState8,fr_priamide,fr_tetrazole,SMR_VSA4,BCUT2D_CHGLO
"1,3-dichloropropene (Ref: D D92)",High,0.358100796,0,5.32,0,0,0,0,0,0,0,3.296296296,0,0,0.0,-1.773999388
1-methylcyclopropene,High,0.36590903,0,2.007379679,0,0,0,0,0,0,0,2.138888889,0,0,0.0,-1.465183
"2,3,6-TBA (Ref: HC 1281)",High,0.744344417,0,9.64650519,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.017051025
"2,4-D (Ref: L 208)",High,0.851992744,0,10.15285004,0,1,0,0,0,0,0,-0.415325019,0,0,0.0,-2.041970131
"2,4-DB (Ref: ENT 8538)",Not High,0.819375392,0,17.03,0,1,0,0,0,0,0,0.327036092,0,0,0.0,-2.064540909
2-aminobutane,Not High,0.486540067,0,4.96,0,0,0,0,0,0,0,4.074074074,0,0,5.733667477,-1.914194524
(4-chlorophenoxy)acetic acid,High,0.783250061,0,8.872764378,0,1,0,0,0,0,0,-0.331713908,0,0,0.0,-2.00908143
Acephate,Not High,0.668589141,0,10.01,0,0,0,0,0,0,0,-1.626597222,0,0,0.0,-2.113806695
Acequinocyl,Not High,0.318139743,0,22.06326033,0,1,0,0,0,0,0,3.481078376,0,0,0.0,-2.196681101
Acetamiprid,Not High,0.333200021,0,11.47462687,0,0,0,0,1,0,0,2.438243243,0,0,4.992404733,-2.16591259
Acetochlor (Ref: CP 55097),Not High,0.586581381,0,14.99903188,0,1,0,0,0,0,0,6.790178571,0,0,0.0,-2.254757021
Acibenzolar-S-methyl (Ref: CGA 245704),Not High,0.723312882,0,8.649105765,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.954898431
Aclonifen (Ref: AE F068300),High,0.521569082,0,12.19389172,0,1,0,0,0,0,0,0.0,0,0,0.0,-2.084983929
Acrinathrin (Ref: RU 38702),Not High,0.216952933,0,28.55959881,0,3,0,0,0,0,0,3.17302014,0,0,17.25080256,-2.215773381
Alachlor (Ref: CP 50144 ),Not High,0.586931627,0,14.99903188,0,1,0,0,0,0,0,4.387324263,0,0,0.0,-2.257186722
Aldicarb (Ref: ENT 27093),High,0.416304575,0,11.29,0,0,0,0,0,0,0,3.96106576,0,0,5.155712727,-2.132376407
Aldoxycarb,High,0.418265494,0,12.89,0,0,0,0,0,0,0,2.914769463,0,0,5.155712727,-2.14732713
Aldrin (Ref: OMS 194),High,0.311830458,0,12.92296058,0,0,0,0,0,0,0,0.0,0,0,23.67162418,-2.369295111
Allethrin (Ref: FMC 249),High,0.569226799,0,16.7257647,0,1,0,0,0,0,0,13.82435996,0,0,17.25080256,-2.134259633
Alloxydim,High,0.146935333,0,19.09750594,0,1,1,0,0,0,0,9.140975177,0,0,11.33289652,-2.35771648
Alpha-cypermethrin (Ref: OMS 3004),High,0.528046798,0,20.25931433,0,2,0,0,0,0,0,3.874036139,0,0,17.25080256,-2.133296373
Ametryn (Ref: G 34162 ),Not High,0.748462705,0,12.03163324,0,0,0,0,0,0,0,6.918647959,0,0,0.0,-2.098187352
Amidosulfuron,High,0.624923487,0,18.85805382,1,2,0,0,0,0,0,0.0,0,0,0.0,-2.149057207
Aminopyralid (Ref: XDE 750),High,0.686254415,0,9.090909091,0,0,0,0,1,0,0,0.0,0,0,0.0,-2.008299603
Amitraz (Ref: ENT 27967),Not High,0.583439445,0,15.95928263,0,0,0,0,0,0,0,8.318669233,0,0,9.984809465,-2.07239176
Amitrole,Not High,0.440165582,0,3.14242915,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.678426156
Ammonium acetate,Not High,0.407760806,1,8.826314925,0,0,0,0,0,0,0,0.972222222,0,0,0.0,-1.766667886
Ammonium carbonate,Not High,0.371595458,2,18.99796897,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.956761722
Ammonium hydroxide,Not High,0.408652137,1,253.92,0,0,0,0,0,0,0,0.0,0,0,0.0,-0.869683489
Ammonium sulphamate,High,0.383782027,1,9.271825904,0,0,0,0,0,0,0,0.0,0,0,5.138973738,-1.899297392
Ammonium sulphate,Not High,0.333661641,2,15.84705196,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.058640377
Ammonium thiocyanate,Not High,0.334887949,1,9.381140593,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.531049772
Ancymidol (Ref: EL 531),Not High,0.910126393,0,12.11223577,0,1,0,0,0,0,0,0.0,0,0,5.917906046,-2.284430734
Anilazine (Ref: ENT 26 058),Not High,0.909988703,0,11.3873225,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.056037523
Anthracene oil,High,0.456410247,0,7.571439104,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.003902282
Atrazine (Ref: G 30027),Not High,0.801863319,0,10.97751938,0,0,0,0,0,0,0,6.726124654,0,0,0.0,-2.087159696
Azafenidin,Not High,0.808816725,0,15.01337196,0,1,0,0,0,0,0,0.759134744,0,0,0.0,-2.09390913
Azamethiphos (Ref: GCA 18809),High,0.781699886,0,14.61561037,0,0,0,0,1,0,0,-3.268163628,0,0,0.0,-2.113624669
Azimsulfuron,High,0.491297832,0,19.92826153,1,2,0,0,0,0,0,0.0,0,1,14.09534397,-2.09933381
Azinphos-ethyl (Ref: BAY 16259),High,0.714905187,0,16.578289,0,0,0,0,0,0,0,4.676997935,0,0,0.0,-2.192614557
Azinphos-methyl,Not High,0.781360333,0,14.61561037,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.158306982
Aziprotryne (Ref: C 7019),Not High,0.366692275,0,11.54423905,0,0,0,0,0,0,0,3.936080562,0,0,5.114250126,-2.078860843
Azoxystrobin (Ref: ICI 5504),High,0.330012691,0,20.35672333,0,4,0,0,0,0,0,0.0,0,0,0.0,-2.123561817
Beflubutamid (Ref: UBH 820),High,0.784074659,0,18.76415615,0,1,0,0,0,0,0,1.942171687,0,0,0.0,-2.182121115
Benalaxyl (Ref: M 9834),Not High,0.791223969,0,17.72947583,0,1,0,0,0,0,0,5.574271542,0,0,0.0,-2.30171301
Benazolin (Ref: RD 7693),High,0.875078067,0,10.19674401,0,0,0,0,0,0,0,-0.358564815,0,0,0.0,-1.99837447
Bendiocarb (Ref: NC 6897),Not High,0.789694651,0,10.60258607,0,3,0,0,0,0,0,3.576730442,0,0,0.0,-2.160620406
Benfluralin (Ref: EL 110),High,0.551412744,0,18.65852014,0,0,0,0,0,0,0,3.969530341,0,0,0.0,-2.225409263
Benfuracarb,Not High,0.472809651,0,22.36007148,0,3,0,0,0,0,0,10.61381545,0,0,0.0,-2.279804506
Benfuresate (Ref: NC 20484),Not High,0.776968922,0,12.23281925,0,1,0,0,0,0,0,6.259852253,0,0,0.0,-2.152963612
Benodanil (Ref: BAS 3170),Not High,0.841714587,0,11.13515636,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.05644476
Benomyl (Ref: T 1991),Not High,0.847401445,0,14.8311391,0,1,0,0,0,0,0,2.61360452,0,0,0.0,-2.090980899
Benoxacor (Ref: CGA 154281),High,0.726197042,0,11.55233286,0,1,0,0,0,0,0,2.340524691,0,0,0.0,-2.347926437
Bensulfuron-methyl (Ref: DPX F5384),Not High,0.636430335,0,20.89651383,1,3,0,0,0,0,0,0.0,0,0,0.0,-2.107604238
Bensulide (Ref: R 4461),High,0.478892208,0,21.09338395,1,0,0,0,0,0,0,7.891696639,0,0,0.0,-2.250706621
Bensultap (Ref: OMS 3011),Not High,0.564821175,0,21.30177515,0,0,0,0,0,0,0,0.0,0,0,0.0,-2.228096124
Bentazone,High,0.801888909,0,10.94135574,0,0,0,0,0,0,0,3.315601852,0,0,0.0,-2.309290482
Beta-cyfluthrin (Ref: OMS 3051),High,0.499726358,0,21.16589846,0,2,0,0,0,0,0,3.781529252,0,0,17.25080256,-2.138826611
Beta-cypermethrin (Ref: OMS 3068),Not High,0.528046798,0,20.25931433,0,2,0,0,0,0,0,3.874036139,0,0,17.25080256,-2.133296373
Bifenazate,Not High,0.824046587,0,15.69419757,0,2,0,0,0,1,0,3.57577108,0,0,0.0,-2.145867429
Bifenox,Not High,0.464943161,0,16.06731609,0,2,0,0,0,0,0,0.0,0,0,0.0,-2.088950772
Bifenthrin (Ref: FMC 54800),High,0.503249024,0,21.439136,0,1,0,0,0,0,0,5.506341168,0,0,17.25080256,-2.123099517
Binapacryl (Ref: FMC 9044),High,0.258006741,0,18.27943154,0,1,0,0,0,0,1,6.944677675,0,0,0.0,-2.139117835
Bioallethrin,Not High,0.569226799,0,16.7257647,0,1,0,0,0,0,0,13.82435996,0,0,17.25080256,-2.134259633
Bioresmethrin (Ref: FMC 17370),Not High,0.539835014,0,17.53037839,0,1,0,0,0,0,0,8.648814271,0,0,17.25080256,-2.034756126
Biphenyl,Not High,0.590501888,0,7.108736858,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.980707141
Bitertanol (Ref: KWG 0599),Not High,0.766176915,0,17.17239427,0,1,0,0,0,0,0,5.885287856,0,0,5.414990469,-2.323790586
