,Importance
BCUT2D_LOGPHI,0.014389704288156018
MolLogP,0.014181936702653206
Chi1v,0.0134787128725241
MinAbsEStateIndex,0.013462072251635211
MaxPartialCharge,0.013461338570995282
MinPartialCharge,0.013307766128064264
qed,0.013162258173094766
BalabanJ,0.013082800210293566
SMR_VSA10,0.012742262599945061
Chi2v,0.012710802734026512
MinAbsPartialCharge,0.012154950956692124
BCUT2D_CHGLO,0.011866512912476715
FpDensityMorgan3,0.011830054644865005
BCUT2D_MRLOW,0.011766189769698688
BCUT2D_MRHI,0.011540395527679518
