Name,Environmental fate,Ecotoxicity,Human health,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
"1,3-dichloropropene (Ref: D D92)",High,High,High,C=CC(Cl)Cl,5.109567901234567,5.109567901234567,0.40740740740740744,-0.40740740740740744,0.3581007957218346,8.6,110.971,106.93900000000001,109.969005488,30.0,0.0,0.12517068284660324,-0.1007486630220286,0.12517068284660324,0.1007486630220286,1.6,1.8,1.8,35.53916612842841,10.758853929230028,1.803379283975911,-1.773999387873897,1.985208060629241,-1.6841649251202069,6.450197312590891,1.6365129025360723,1.3787834934861756,2.825749368745867,31.87430298092722,4.284457050376173,2.6177362655842535,4.129594157621162,2.270055610029662,1.1780174042691811,2.050888965213151,0.570157185619233,1.7339386953720608,0.1781741612749496,0.5345224838248488,0.0,0.0,0.31999999999999995,9.65148445440323,5.32,2.5514814814814817,4.320000000000001,41.386064678201855,0.0,4.836269690250055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78081546406353,6.076020106833881,0.0,0.0,0.0,0.0,23.20187978046503,0.0,0.0,0.0,4.836269690250055,0.0,12.654955790432378,0.0,0.0,0.0,0.0,0.0,23.20187978046503,4.836269690250055,0.0,0.0,0.0,12.654955790432378,0.0,0.0,0.0,0.0,4.836269690250055,0.0,0.0,0.0,0.0,0.0,6.076020106833881,0.0,0.0,6.578935683598497,23.20187978046503,0.0,10.219135802469134,-0.40740740740740744,0.0,0.0,0.0,0.0,1.4475308641975309,3.2962962962962963,0.0,0.3333333333333333,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.9761,25.690999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-methylcyclopropene,High,High,Moderate,CC1=CC1,2.2083333333333335,2.2083333333333335,1.2777777777777777,1.2777777777777777,0.3659090296777705,19.75,54.092000000000006,48.044,54.046950192,22.0,0.0,-0.013879281872973742,-0.08124390051110714,0.08124390051110714,0.013879281872973742,2.0,2.25,2.25,14.0011522633164,10.597286201462847,1.9359476930970918,-1.4651830001556916,2.1409180735869042,-1.264129642661167,5.173146604439105,1.482991860530628,1.75,2.536387338563467,51.058650025961626,2.9915638315627207,2.784457050376173,2.784457050376173,1.893846850117352,1.5504768156519495,1.5504768156519495,1.2546009608838813,1.2546009608838813,0.6123724356957945,0.6123724356957945,0.10206207261596575,0.10206207261596575,-0.26,14.0,2.0073796791443854,0.36922608556321107,0.1269145932122117,26.13864318530589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64912463690315,13.344558822616634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.344558822616634,0.0,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.344558822616634,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,5.573104530069267,0.0,12.999757306524504,0.0,0.0,0.0,0.0,0.0,1.5416666666666667,0.0,0.0,3.486111111111111,2.138888888888889,0.0,0.5,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3364,18.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,3,6-TBA (Ref: HC 1281)",High,Moderate,Moderate,C1=CC(=C(C(=C1Cl)C(=O)O)Cl)Cl,10.567283950617284,10.567283950617284,0.03086419753086367,-1.1874999999999998,0.7443444171405049,9.916666666666666,225.458,222.434,223.919862376,64.0,0.0,0.3382977817166812,-0.47756153262486345,0.47756153262486345,0.3382977817166812,1.1666666666666667,1.6666666666666667,2.0833333333333335,35.49901508129502,10.20012896378125,2.1493891269697327,-2.0170510252651543,2.304882772452292,-1.9817804069229497,6.454828587072869,0.06970537432521354,1.9697246179525358,3.4289308810061767,335.66852769827057,9.300964908321223,5.644055843370754,7.911842681426117,5.5365812602091875,2.9053612550187107,4.039254674046393,2.0233433955818487,3.2157081220722885,1.2578565340108585,2.3771116714441596,0.7231179067520893,1.4129155365052017,-0.44,403.79354668026986,9.64650519031142,3.5193222712315353,1.6571400021196387,83.66189976677836,5.106527394840706,0.0,0.0,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,34.802819670697545,12.13273413692322,0.0,20.631351432920976,9.901064578912528,40.7721249586494,0.0,0.0,0.0,0.0,0.0,32.76408556984419,0.0,0.0,0.0,0.0,0.0,34.802819670697545,11.075832682792555,0.0,0.0,10.357988675768818,12.13273413692322,15.067899941223978,0.0,0.0,37.3,5.969305287951849,4.794537184071822,0.0,20.631351432920976,0.0,0.0,12.13273413692322,0.0,0.0,0.0,39.909347065538256,0.0,16.744783950617283,10.567283950617284,8.872129629629631,-0.16126543209876498,-1.1874999999999998,2.8312345679012347,0.0,0.0,0.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,3.3449999999999998,48.4313,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,4-D (Ref: L 208)",High,Moderate,High,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,10.156713102936648,10.156713102936648,0.2997685185185188,-1.049984567901234,0.85199274417323,9.692307692307692,221.03899999999996,214.99099999999996,219.969399412,70.0,0.0,0.3412236092634533,-0.48034844459329457,0.48034844459329457,0.3412236092634533,1.4615384615384615,2.1538461538461537,2.6923076923076925,35.49683471331622,10.325603883001259,2.035920217328078,-2.041970131323052,2.2668233077544317,-2.089764584097941,6.350397996697653,-0.1388035420890069,2.0205556711929047,2.7194415184626917,325.16521978178946,9.84493498269124,6.458796711201563,7.970654603238472,6.092224152875016,3.3900819581237416,4.146010904142196,2.2571575361304053,3.100793443342996,1.2450736308586283,1.775540298863405,0.731754175359186,1.1948025767502604,-0.9299999999999999,705.1739292463237,10.15285004142502,4.34685154672948,3.1253247611664166,84.8371208838002,9.843390348640755,5.749511833283905,6.606881964512918,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,23.20187978046503,18.19910120538483,5.022633313741326,5.022633313741326,14.637927532712576,29.171185068416882,0.0,0.0,0.0,0.0,6.606881964512918,28.244367832867482,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,23.20187978046503,17.682714647305474,4.794537184071822,0.0,0.0,18.19910120538483,10.045266627482652,0.0,0.0,46.53,12.576187252464766,4.794537184071822,0.0,0.0,15.794778460766558,0.0,12.13273413692322,6.06636706846161,0.0,0.0,33.04527012910579,4.863070987654321,11.333927031718035,10.156713102936648,9.105226267461719,0.0,-0.7365895061728387,4.581866024187453,0.0,-0.41532501889644746,0.0,0.125,13.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,2.4567999999999994,49.59280000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,4-DB (Ref: ENT 8538)",Moderate,Moderate,Moderate,CNC.C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,10.223160181691627,10.223160181691627,0.08850078560230679,-0.8325897581254724,0.8193753921053796,9.333333333333334,294.178,277.042,293.05854876399997,102.0,0.0,0.30297164749348965,-0.4920144029313423,0.4920144029313423,0.30297164749348965,1.3888888888888888,2.0,2.5,35.49683522314255,10.297187465311715,2.0241210645664567,-2.0645409088288473,2.2697126609498137,-2.017471258361423,6.350297251362624,-0.13676431102303385,2.271667163320031,8.726665293539119e-07,372.34019744221496,13.966255326250886,10.373010273574659,11.884868165611568,8.506437715248111,5.390081958123742,6.146010904142196,3.420497504658204,4.264133411870794,1.68647136637522,2.216938034379997,0.9977853669575141,1.4608337683485886,-0.97,6208.466357353645,17.029999999999998,9.999399203459207,8.169523870405138,116.8525826785239,15.160178952647085,5.749511833283905,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,23.20187978046503,38.71526679366522,11.443454936667337,11.629515278254244,14.637927532712576,29.171185068416882,0.0,5.316788604006331,0.0,12.841643245852019,20.702225929867296,28.244367832867482,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,23.20187978046503,31.778058612659848,4.794537184071822,0.0,12.841643245852019,18.19910120538483,10.045266627482652,0.0,0.0,58.56,5.969305287951849,4.794537184071822,0.0,6.4208216229260096,28.822482048205487,0.0,0.0,18.19910120538483,14.09534396535438,5.316788604006331,33.04527012910579,5.288256172839506,11.547343540581725,10.223160181691627,12.12084030504951,0.0,-0.31272360796170284,4.903808106575964,0.5411680978975952,0.3270360922146638,3.75,0.4166666666666667,18.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,6.0,5.0,0.0,0.0,0.0,1.0,3.0726000000000013,73.81050000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2-aminobutane,Low,Moderate,Moderate,CCC(C)N,5.291666666666667,5.291666666666667,0.3842592592592591,0.3842592592592591,0.48654006674273037,15.0,73.13900000000001,62.050999999999995,73.08914935199999,32.0,0.0,0.00078053693680305,-0.32799794981906344,0.32799794981906344,0.00078053693680305,1.8,2.0,2.0,14.58649797825927,10.288203239734436,1.791892010540639,-1.9141945241284457,1.7674005426027068,-2.112308600561689,4.427525784312414,0.7145924787588468,1.3787834934861756,2.5395388613593908,17.609640474436812,4.284457050376173,3.861807319565799,3.861807319565799,2.270055610029662,2.02603867417337,2.02603867417337,1.3855321746565754,1.3855321746565754,0.6439505508593789,0.6439505508593789,0.0,0.0,-0.04,9.65148445440323,4.960000000000001,2.212525252525253,3.9600000000000004,33.17396806803209,5.733667477162185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,13.344558822616634,6.041840829147961,0.0,0.0,0.0,0.0,0.0,5.733667477162185,26.31013685145522,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,6.041840829147961,0.0,0.0,20.268296022307258,0.0,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.041840829147961,6.4208216229260096,0.0,0.0,6.923737199690624,6.923737199690624,5.733667477162185,0.0,0.0,0.0,0.0,5.291666666666667,0.0,0.3842592592592591,1.0833333333333335,4.074074074074074,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7436,23.940399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(4-chlorophenoxy)acetic acid,High,Moderate,Moderate,C1=CC(=CC=C1OCC(=O)O)Cl,10.088496927577616,10.088496927577616,0.3317139077853366,-0.9954166666666666,0.7832500608145994,9.416666666666666,186.594,179.53799999999998,186.008371764,64.0,0.0,0.3412221184001204,-0.48191741800002286,0.48191741800002286,0.3412221184001204,1.4166666666666667,2.0,2.5,35.495690941908364,10.332318710546401,1.972782110449524,-2.009081430057851,2.144912948254401,-2.085818830805292,6.301055373018092,-0.13880761383152487,2.0332304057200563,2.5298890742894535,268.1363912728923,8.974691494688162,6.158182507381962,6.914111453400417,5.6815405503520555,3.284433054952461,3.6623975279616885,2.136333828449675,2.57276960892166,1.1759485051351535,1.4279248204746384,0.6758926833859407,0.801880841055683,-1.2199999999999998,496.10821899569373,8.872764378478665,3.9703560196410113,2.7986930849909744,74.53385465691849,9.843390348640755,5.749511833283905,6.606881964512918,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,11.600939890232516,24.26546827384644,5.022633313741326,0.0,14.637927532712576,17.570245178184365,0.0,0.0,0.0,0.0,6.606881964512918,29.288101587587764,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,11.600939890232516,17.682714647305474,4.794537184071822,0.0,0.0,24.26546827384644,5.022633313741326,0.0,0.0,46.53,5.969305287951849,4.794537184071822,0.0,6.606881964512918,10.772145147025231,0.0,0.0,24.26546827384644,0.0,0.0,21.44433023887327,4.864228395061728,5.602497515467092,10.088496927577616,8.873390477590213,0.0,-0.4937499999999997,6.507961703199799,0.0,-0.3317139077853366,0.0,0.125,12.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.8034000000000001,44.58280000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acephate,Moderate,High,High,CC(=O)NP(=O)(OC)SC,11.169907407407408,11.169907407407408,0.3476543209876539,-2.9201388888888893,0.668589141165655,11.1,183.169,173.089,183.01190081000001,60.0,0.0,0.35217624291956934,-0.3090914542744625,0.35217624291956934,0.3090914542744625,1.7,2.2,2.3,32.734069705782176,10.784979117646573,2.1970686746299872,-2.1138066951543073,2.526007046193808,-2.1468682884378563,8.553294271428577,-0.1169251870598527,1.8666117392238628,4.0741188846199865,163.8856389575664,8.198670612749268,6.080206757355411,7.791130529283052,4.537822562996031,2.541950081414803,5.996550487863152,1.5306060648955595,6.017040622506298,0.7750941675450722,4.4885071253928395,0.358655030981307,2.1827046448240344,0.009999999999999953,111.99670435343177,10.01,4.007779396991544,3.2470869187535727,63.963181066640466,4.5237471617118175,0.0,0.0,5.907179729351506,0.0,6.721418799418445,14.446880532080304,0.0,0.0,0.0,11.38172479611316,6.255769183511404,14.033534740968157,0.0,13.883332630714968,24.01032332488311,0.0,5.0872950630771525,0.0,6.923737199690624,13.365566724788938,0.0,0.0,0.0,5.0872950630771525,0.0,0.0,18.103143595531606,19.272746454140442,13.883332630714968,0.0,6.923737199690624,0.0,0.0,0.0,0.0,55.400000000000006,6.721418799418445,9.35958546900315,0.0,5.907179729351506,0.0,11.38172479611316,14.033534740968157,6.255769183511404,0.0,9.61104222478897,0.0,15.75425925925926,1.0019444444444443,10.40048611111111,2.212962962962963,0.0,-0.3476543209876539,0.0,1.6113271604938273,-1.6265972222222227,1.2988271604938273,0.75,10.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,1.24,41.94720000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acequinocyl,Low,High,Moderate,CCCCCCCCCCCCC1=C(C(=O)C2=CC=CC=C2C1=O)OC(=O)C,12.84418459749618,12.84418459749618,0.07673689909325776,-0.5730517375286321,0.3181397425645799,13.642857142857142,384.51600000000013,352.2600000000001,384.23005950399994,152.0,0.0,0.30767225722587205,-0.42205625938680574,0.42205625938680574,0.30767225722587205,0.7857142857142857,1.2857142857142858,1.8214285714285714,16.540458284239275,9.855268378822606,2.331965419914715,-2.196681101118796,2.298588844446585,-2.2432030808118526,6.260486639654665,-0.13609040820481333,2.686321360356162,1.8777431880794302,729.8756256707063,20.355160383312146,17.220568831665982,17.220568831665982,13.557749310264368,10.658631167129105,10.658631167129105,7.537133820024403,7.537133820024403,5.196842177197338,5.196842177197338,3.672103562837586,3.672103562837586,-2.23,1607234.1288651729,22.06326032896341,11.576439026698223,6.148668147709915,167.90303852256068,4.736862953800049,0.0,11.542409818021115,5.783244946364939,0.0,5.969305287951849,14.383611552215466,0.0,0.0,0.0,88.97660007987119,12.841643245852019,23.623744713153883,0.0,19.120474506015515,17.535795180681728,0.0,0.0,0.0,84.47651225156737,0.0,46.724640658965875,0.0,0.0,0.0,0.0,0.0,0.0,17.535795180681728,9.53140013787187,0.0,105.19248960310502,35.597737675571885,0.0,0.0,0.0,60.440000000000005,5.969305287951849,14.383611552215466,0.0,17.325654764386055,23.12082913638927,19.26246486877803,51.8694885601727,24.26546827384644,0.0,6.923737199690624,4.736862953800049,5.155983552528674,0.0,36.99143860873802,0.0,1.0689999169050852,-1.2101095625483902,6.732763476031299,12.446512299321489,3.4810783756904806,0.0,0.5416666666666666,28.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,12.0,0.0,0.0,0.0,2.0,6.193800000000007,110.35600000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Acetamiprid,Moderate,High,Moderate,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,8.394076890321479,8.394076890321479,0.47575643529016576,0.47575643529016576,0.33320002069461446,10.933333333333334,222.67900000000003,211.59099999999998,222.06722403199998,78.0,0.0,0.20691894199735653,-0.3582456611131397,0.3582456611131397,0.20691894199735653,1.6666666666666667,2.4,2.933333333333333,35.4956961757893,10.25113454391985,2.018403264632452,-2.1659125902211698,2.069034303309349,-2.2289331258620257,6.288773587627398,0.4966733741322217,2.2153004476443985,2.6689213373040763,390.8785697756127,11.259148545064338,8.605976443764485,9.36190538978294,7.1302289553358005,4.381568604229511,4.759533077238739,3.104250319834055,3.491499061015751,1.97262197208235,2.196200137046946,1.0459649055549416,1.1577539880372394,-1.5999999999999996,2179.855640482088,11.474626865671642,5.322711058263973,3.563566797746839,93.82676373684039,4.899909730850478,10.98872960265006,0.0,6.19315609577884,0.0,0.0,0.0,4.9839785209472085,10.254296287374157,0.0,17.667306958694127,18.55355575984923,19.78927196020284,0.0,0.0,17.436559675989784,5.261891554738487,9.883888251797686,4.992404732635669,13.4684936056032,7.04767198267719,29.04613901712608,0.0,6.19315609577884,0.0,0.0,0.0,11.600939890232516,22.767180020232146,6.544756405912575,11.455047650517326,12.487188691387619,23.321982441171965,5.153109816892792,0.0,0.0,52.28,0.0,0.0,0.0,0.0,17.533486008562637,5.563451491696996,0.0,25.38010393554415,18.013948781989278,9.976383253582878,16.862831444971,0.0,5.668989880625582,9.480454048388903,8.869833325611644,1.0225831443688589,0.6735648148148151,3.6319301933736456,3.459658814142941,2.4382432427703593,1.8658536470143612,0.3,15.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,2.06628,59.43600000000003,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
