Unnamed: 0,Environmental fate,BCUT2D_LOGPHI,MolLogP,Chi1v,MinAbsEStateIndex,MaxPartialCharge,MinPartialCharge,qed,BalabanJ,SMR_VSA10,Chi2v,MinAbsPartialCharge,BCUT2D_CHGLO,FpDensityMorgan3,BCUT2D_MRLOW,BCUT2D_MRHI
"1,3-dichloropropene (Ref: D D92)",High,1.985208061,1.9761,2.050888965,0.407407407,0.125170683,-0.100748663,0.358100796,2.825749369,23.20187978,1.733938695,0.100748663,-1.773999388,1.8,1.636512903,6.450197313
1-methylcyclopropene,High,2.140918074,1.3364,1.550476816,1.277777778,-0.013879282,-0.081243901,0.36590903,2.536387339,0.0,1.254600961,0.013879282,-1.465183,2.25,1.482991861,5.173146604
"2,3,6-TBA (Ref: HC 1281)",High,2.304882772,3.345,4.039254674,0.030864198,0.338297782,-0.477561533,0.744344417,3.428930881,40.77212496,3.215708122,0.338297782,-2.017051025,2.083333333,0.069705374,6.454828587
"2,4-D (Ref: L 208)",High,2.266823308,2.4568,4.146010904,0.299768519,0.341223609,-0.480348445,0.851992744,2.719441518,29.17118507,3.100793443,0.341223609,-2.041970131,2.692307692,-0.138803542,6.350397997
"2,4-DB (Ref: ENT 8538)",Not High,2.269712661,3.0726,6.146010904,0.088500786,0.302971647,-0.492014403,0.819375392,8.73e-07,29.17118507,4.264133412,0.302971647,-2.064540909,2.5,-0.136764311,6.350297251
2-aminobutane,Not High,1.767400543,0.7436,2.026038674,0.384259259,0.000780537,-0.32799795,0.486540067,2.539538861,0.0,1.385532175,0.000780537,-1.914194524,2.0,0.714592479,4.427525784
(4-chlorophenoxy)acetic acid,High,2.144912948,1.8034,3.662397528,0.331713908,0.341222118,-0.481917418,0.783250061,2.529889074,17.57024518,2.572769609,0.341222118,-2.00908143,2.5,-0.138807614,6.301055373
Acephate,Not High,2.526007046,1.24,5.996550488,0.347654321,0.352176243,-0.309091454,0.668589141,4.074118885,24.01032332,6.017040623,0.309091454,-2.113806695,2.3,-0.116925187,8.553294271
Acequinocyl,Not High,2.298588844,6.1938,10.65863117,0.076736899,0.307672257,-0.422056259,0.318139743,1.877743188,17.53579518,7.53713382,0.307672257,-2.196681101,1.821428571,-0.136090408,6.26048664
Acetamiprid,Not High,2.069034303,2.06628,4.759533077,0.475756435,0.206918942,-0.358245661,0.333200021,2.668921337,17.43655968,3.491499061,0.206918942,-2.16591259,2.933333333,0.496673374,6.288773588
Acetochlor (Ref: CP 55097),Not High,2.257425267,3.12322,6.712036781,0.037140023,0.243316199,-0.360941101,0.586581381,3.14392934,23.19550589,4.280755017,0.243316199,-2.254757021,2.666666667,-0.116946164,6.290172313
Acibenzolar-S-methyl (Ref: CGA 245704),Not High,2.22562378,2.1945,5.618960179,0.066342593,0.220152113,-0.281527815,0.723312882,2.673253366,38.62626913,3.951502384,0.220152113,-1.954898431,3.153846154,0.108618065,8.131348159
Aclonifen (Ref: AE F068300),High,2.382480872,3.6227,5.423992509,0.035234316,0.293434892,-0.455718058,0.521569082,2.361830968,22.97571244,3.860670746,0.293434892,-2.084983929,2.444444444,-0.383463758,6.34670954
Acrinathrin (Ref: RU 38702),Not High,2.594636035,6.45158,11.09510149,0.313657663,0.434156276,-0.457370815,0.216952933,1.653722063,11.93861058,9.017720452,0.434156276,-2.215773381,2.131578947,-0.311679389,5.83433216
Alachlor (Ref: CP 50144 ),Not High,2.268976808,2.9871,6.685163328,0.037140023,0.243316122,-0.363889798,0.586931627,3.276613192,23.19550589,4.272409968,0.243316122,-2.257186722,2.222222222,-0.116789662,6.29021654
Aldicarb (Ref: ENT 27093),High,2.173619757,1.4698,4.724813808,0.103153345,0.432577515,-0.322658339,0.416304575,3.831747294,24.0697256,4.131274239,0.322658339,-2.132376407,2.666666667,0.153150071,8.001256526
Aldoxycarb,High,2.110964832,0.1514,5.724813808,0.744860166,0.432577538,-0.322658339,0.418265494,4.455302554,22.14509379,5.835398384,0.322658339,-2.14732713,2.357142857,0.153092519,7.922946676
Aldrin (Ref: OMS 194),High,2.810577819,5.2702,8.045527107,0.066358025,0.166379471,-0.109329916,0.311830458,2.032344649,69.60563934,8.901419847,0.109329916,-2.369295111,1.611111111,0.305340349,6.653218349
Allethrin (Ref: FMC 249),High,2.596364136,4.002,7.889968688,0.057011999,0.310236645,-0.457090999,0.569226799,2.067252684,11.75255023,7.276032983,0.310236645,-2.134259633,2.590909091,-0.149703367,5.997051288
Alloxydim,High,2.402226215,2.1051,7.667833089,0.01910856,0.316655017,-0.46844264,0.146935333,3.265887409,17.53579518,6.214252269,0.316655017,-2.35771648,2.608695652,-0.155081158,6.270747498
Alpha-cypermethrin (Ref: OMS 3004),High,2.599929679,6.17798,9.54046734,0.113804497,0.311285242,-0.457370815,0.528046798,1.721481495,29.17118507,8.222629525,0.311285242,-2.133296373,2.464285714,-0.149079894,6.55440166
Ametryn (Ref: G 34162 ),Not High,2.132645064,1.8456,6.182793938,0.316280234,0.228190235,-0.354326855,0.748462705,2.891747032,23.65856351,4.072086977,0.228190235,-2.098187352,2.4,0.835412179,7.979903195
Amidosulfuron,High,2.166988461,-1.2485,9.030422494,0.006544785,0.335798558,-0.480765414,0.624923487,2.929290103,32.21207412,7.927109978,0.335798558,-2.149057207,2.0,0.255797707,8.025219538
Aminopyralid (Ref: XDE 750),High,2.240535619,1.6688,3.624863361,0.008611111,0.355696023,-0.476467946,0.686254415,3.373859011,34.85857134,2.767161396,0.355696023,-2.008299603,2.666666667,0.06905382,6.364283705
Amitraz (Ref: ENT 27967),Not High,2.19622929,4.87188,7.403290493,0.983672648,0.096075482,-0.326362048,0.583439445,2.068364402,24.05184327,5.734489874,0.096075482,-2.07239176,1.5,0.801436169,5.784157005
Amitrole,Not High,1.762650532,-0.6131,1.50228651,0.356481481,0.215232734,-0.368174033,0.440165582,3.049648321,5.948339281,0.870712754,0.215232734,-1.678426156,2.833333333,1.098150311,5.073701098
Ammonium acetate,Not High,1.306450627,-0.8676,0.90824829,0.0,0.038278599,-0.550477028,0.407760806,0.0,5.969305288,0.491581624,0.038278599,-1.766667886,1.8,-0.301710813,5.598258322
Ammonium carbonate,Not High,1.205695759,-1.6946,0.612372436,0.0,-0.043088438,-0.652303854,0.371595458,-4.5e-08,6.15536563,0.25,0.043088438,-1.956761722,1.166666667,-0.41493804,5.471110761
Ammonium hydroxide,Not High,-0.289294773,0.1994,0.0,0.0,-0.368859027,-0.869681492,0.408652137,0.0,0.0,0.0,0.368859027,-0.869683489,1.0,0.823799237,2.134000763
Ammonium sulphamate,High,1.492798984,-1.2185,2.207106781,0.0,0.156242475,-0.735588899,0.383782027,0.0,10.30416488,1.478397839,0.156242475,-1.899297392,1.5,0.464484425,7.828490959
Ammonium sulphate,Not High,1.573123747,-0.5856,2.0,0.0,0.031050815,-0.758768617,0.333661641,-8e-08,10.39900058,1.224744871,0.031050815,-2.058640377,1.0,0.352475259,7.792806969
Ammonium thiocyanate,Not High,1.156998797,0.39058,0.835979233,0.0,-0.079746475,-0.695797763,0.334887949,0.0,12.62878915,0.273861279,0.079746475,-1.531049772,1.75,1.569742345,7.635942336
Ancymidol (Ref: EL 531),Not High,2.489563589,2.1311,6.372663982,0.242495276,0.120361728,-0.496768185,0.910126393,2.045722087,0.0,4.896309754,0.120361728,-2.284430734,2.263157895,0.055637646,5.386549436
Anilazine (Ref: ENT 26 058),Not High,2.232772662,3.5754,5.369831184,0.022734788,0.232372778,-0.322665264,0.909988703,2.304646044,46.43854523,3.885248505,0.232372778,-2.056037523,2.125,1.054098915,6.330547207
Anthracene oil,High,2.214535144,3.993,4.809401077,1.311296296,-0.017765168,-0.06162935,0.456410247,2.523732645,21.54489686,3.546509365,0.017765168,-2.003902282,1.0,1.76485975,5.974985321
Atrazine (Ref: G 30027),Not High,2.092596373,1.7771,4.912623341,0.193611111,0.228497087,-0.354318264,0.801863319,2.831956368,23.49761845,3.419084537,0.228497087,-2.087159696,2.428571429,0.865884932,6.27951995
Azafenidin,Not High,2.32299273,2.6891,7.615561053,0.078751653,0.350277469,-0.479312086,0.808816725,2.102045638,23.20187978,5.760591205,0.350277469,-2.09390913,2.863636364,0.370140947,6.361979478
Azamethiphos (Ref: GCA 18809),High,2.593240845,2.7345,8.509448928,0.027205845,0.42147116,-0.405847065,0.781699886,2.333386224,41.01048954,8.035635145,0.405847065,-2.113624669,2.842105263,0.294910538,8.541468444
Azimsulfuron,High,2.230650366,-1.0718,9.287512957,0.029859813,0.335066875,-0.480765414,0.491297832,1.853277029,22.00274495,7.023090078,0.335066875,-2.09933381,2.344827586,0.256006937,7.897187974
Azinphos-ethyl (Ref: BAY 16259),High,2.607229661,2.7797,10.68428547,0.191993575,0.277908689,-0.321924659,0.714905187,2.217786046,39.78504342,10.23176941,0.277908689,-2.192614557,2.619047619,0.280235807,8.670681964
Azinphos-methyl,Not High,2.595294655,1.9995,9.509218221,0.201985072,0.277908689,-0.324996421,0.781360333,2.296294908,39.78504342,9.975267585,0.277908689,-2.158306982,2.736842105,0.353454785,8.670590572
Aziprotryne (Ref: C 7019),Not High,2.152078539,2.3556,5.495740564,0.083333333,0.226822542,-0.35192032,0.366692275,3.04616524,23.65856351,3.707592812,0.226822542,-2.078860843,2.666666667,0.834974087,7.979901057
Azoxystrobin (Ref: ICI 5504),High,2.315643912,4.09318,8.734887828,0.183816138,0.341249767,-0.503438727,0.330012691,1.896982693,11.54240982,5.761538375,0.341249767,-2.123561817,2.266666667,-0.133350347,6.165104261
Beflubutamid (Ref: UBH 820),High,2.334389705,4.3183,7.659733959,0.212559156,0.418857958,-0.480606912,0.784074659,2.046968319,5.907179729,5.357555745,0.418857958,-2.182121115,2.44,-0.139654018,5.805840489
