Unnamed: 0,Environmental fate,SlogP_VSA11,Chi2v,NumRotatableBonds,VSA_EState1,Chi3v,MolLogP,FpDensityMorgan2,SlogP_VSA12,FpDensityMorgan3,AvgIpc,Chi1v,fr_sulfonamd,fr_NH2,NumAromaticHeterocycles,fr_aniline
"1,3-dichloropropene (Ref: D D92)",High,0.0,1.733938695,1,0.0,0.534522484,1.9761,1.8,23.20187978,1.8,1.378783493,2.050888965,0,0,0,0
1-methylcyclopropene,High,0.0,1.254600961,0,0.0,0.612372436,1.3364,2.25,0.0,2.25,1.75,1.550476816,0,0,0,0
"2,3,6-TBA (Ref: HC 1281)",High,0.0,3.215708122,1,0.0,2.377111671,3.345,1.666666667,34.80281967,2.083333333,1.969724618,4.039254674,0,0,0,0
"2,4-D (Ref: L 208)",High,5.749511833,3.100793443,3,4.863070988,1.775540299,2.4568,2.153846154,23.20187978,2.692307692,2.020555671,4.146010904,0,0,0,0
"2,4-DB (Ref: ENT 8538)",Not High,5.749511833,4.264133412,5,5.288256173,2.216938034,3.0726,2.0,23.20187978,2.5,2.271667163,6.146010904,0,0,0,0
2-aminobutane,Not High,0.0,1.385532175,1,0.0,0.643950551,0.7436,2.0,0.0,2.0,1.378783493,2.026038674,0,1,0,0
(4-chlorophenoxy)acetic acid,High,5.749511833,2.572769609,3,4.864228395,1.42792482,1.8034,2.0,11.60093989,2.5,2.033230406,3.662397528,0,0,0,0
Acephate,Not High,0.0,6.017040623,3,15.75425926,4.488507125,1.24,2.2,18.1031436,2.3,1.866611739,5.996550488,0,0,0,0
Acequinocyl,Not High,0.0,7.53713382,12,5.155983553,5.196842177,6.1938,1.285714286,0.0,1.821428571,2.68632136,10.65863117,0,0,0,0
Acetamiprid,Not High,0.0,3.491499061,2,0.0,2.196200137,2.06628,2.4,11.60093989,2.933333333,2.215300448,4.759533077,0,0,1,0
Acetochlor (Ref: CP 55097),Not High,0.0,4.280755017,6,5.373971403,3.040650377,3.12322,2.111111111,11.60093989,2.666666667,2.394369671,6.712036781,0,0,0,1
Acibenzolar-S-methyl (Ref: CGA 245704),Not High,0.0,3.951502384,1,4.685547052,3.045859998,2.1945,2.384615385,23.29437156,3.153846154,2.632994052,5.618960179,0,0,1,0
Aclonifen (Ref: AE F068300),High,11.49902367,3.860670746,3,5.490152116,2.678899394,3.6227,1.833333333,11.60093989,2.444444444,2.358310936,5.423992509,0,1,0,1
Acrinathrin (Ref: RU 38702),Not High,11.49902367,9.017720452,8,90.16087267,5.923862984,6.45158,1.552631579,0.0,2.131578947,3.386382751,11.09510149,0,0,0,0
Alachlor (Ref: CP 50144 ),Not High,0.0,4.272409968,6,5.12680587,3.137065778,2.9871,1.833333333,11.60093989,2.222222222,2.426246452,6.685163328,0,0,0,1
Aldicarb (Ref: ENT 27093),High,0.0,4.131274239,3,-0.103153345,2.387055781,1.4698,2.25,11.76188495,2.666666667,2.038205831,4.724813808,0,0,0,0
Aldoxycarb,High,0.0,5.835398384,3,21.15000441,3.675730916,0.1514,2.0,0.0,2.357142857,2.012942238,5.724813808,0,0,0,0
Aldrin (Ref: OMS 194),High,0.0,8.901419847,0,-1.365524691,9.41585593,5.2702,1.222222222,69.60563934,1.611111111,2.974696739,8.045527107,0,0,0,0
Allethrin (Ref: FMC 249),High,0.0,7.276032983,5,5.660757275,4.950733167,4.002,2.045454545,0.0,2.590909091,2.828510666,7.889968688,0,0,0,0
Alloxydim,High,0.0,6.214252269,7,4.75896673,3.820290601,2.1051,2.086956522,0.0,2.608695652,2.45284685,7.667833089,0,0,0,0
Alpha-cypermethrin (Ref: OMS 3004),High,11.49902367,8.222629525,6,11.39789951,5.213148759,6.17798,1.821428571,23.20187978,2.464285714,3.195228206,9.54046734,0,0,0,0
Ametryn (Ref: G 34162 ),Not High,0.0,4.072086977,5,0.0,2.097855792,1.8456,1.866666667,11.76188495,2.4,2.163806568,6.182793938,0,0,1,2
Amidosulfuron,High,11.75997667,7.927109978,6,57.02950064,5.805461874,-1.2485,1.608695652,0.0,2.0,2.436228268,9.030422494,1,0,1,1
Aminopyralid (Ref: XDE 750),High,0.0,2.767161396,1,0.0,1.747993716,1.6688,2.166666667,23.20187978,2.666666667,1.958045284,3.624863361,0,1,1,1
Amitraz (Ref: ENT 27967),Not High,0.0,5.734489874,4,0.0,3.46250464,4.87188,1.136363636,0.0,1.5,2.451278088,7.403290493,0,0,0,0
Amitrole,Not High,0.0,0.870712754,0,0.0,0.43365482,-0.6131,2.666666667,0.0,2.833333333,1.86382639,1.50228651,0,1,1,1
Ammonium acetate,Not High,0.0,0.491581624,0,0.0,0.0,-0.8676,1.8,0.0,1.8,0.811278124,0.90824829,0,0,0,0
Ammonium carbonate,Not High,0.0,0.25,0,0.0,0.0,-1.6946,1.166666667,0.0,1.166666667,0.811278124,0.612372436,0,0,0,0
Ammonium hydroxide,Not High,0.0,0.0,0,0.0,0.0,0.1994,1.0,0.0,1.0,0.0,0.0,0,0,0,0
Ammonium sulphamate,High,0.0,1.478397839,0,26.5625,0.0,-1.2185,1.5,0.0,1.5,0.721928095,2.207106781,0,1,0,0
Ammonium sulphate,Not High,0.0,1.224744871,0,34.08333333,0.0,-0.5856,1.0,0.0,1.0,0.721928095,2.0,0,0,0,0
Ammonium thiocyanate,Not High,0.0,0.273861279,0,0.0,0.0,0.39058,1.75,0.0,1.75,0.918295834,0.835979233,0,0,0,0
Ancymidol (Ref: EL 531),Not High,5.749511833,4.896309754,4,5.157332924,3.698973815,2.1311,1.736842105,0.0,2.263157895,3.323489597,6.372663982,0,0,1,0
Anilazine (Ref: ENT 26 058),Not High,0.0,3.885248505,2,0.0,2.368813784,3.5754,1.5,34.80281967,2.125,2.19743549,5.369831184,0,0,1,2
Anthracene oil,High,0.0,3.546509365,0,0.0,2.614031049,3.993,0.714285714,0.0,1.0,2.26050622,4.809401077,0,0,0,0
Atrazine (Ref: G 30027),Not High,0.0,3.419084537,4,0.0,1.529818232,1.7771,1.857142857,11.60093989,2.428571429,2.009943794,4.912623341,0,0,1,2
Azafenidin,Not High,5.749511833,5.760591205,3,8.339047225,4.109838293,2.6891,2.136363636,23.20187978,2.863636364,2.839348886,7.615561053,0,0,1,0
Azamethiphos (Ref: GCA 18809),High,0.0,8.035635145,5,27.61998677,6.245561892,2.7345,2.210526316,29.78029218,2.842105263,2.704894794,8.509448928,0,0,2,0
Azimsulfuron,High,11.75997667,7.023090078,6,38.36451838,4.885299102,-1.0718,1.793103448,0.0,2.344827586,3.260116964,9.287512957,1,0,3,1
Azinphos-ethyl (Ref: BAY 16259),High,0.0,10.23176941,7,12.32795966,7.875681921,2.7797,1.952380952,17.0752624,2.619047619,2.473555342,10.68428547,0,0,1,0
Azinphos-methyl,Not High,0.0,9.975267585,5,11.53434854,8.017986058,1.9995,2.052631579,17.0752624,2.736842105,2.463696084,9.509218221,0,0,1,0
Aziprotryne (Ref: C 7019),Not High,0.0,3.707592812,4,0.0,1.885325893,2.3556,2.133333333,11.76188495,2.666666667,2.163806568,5.495740564,0,0,1,1
Azoxystrobin (Ref: ICI 5504),High,23.25900034,5.761538375,7,21.37825971,3.871708302,4.09318,1.6,0.0,2.266666667,2.780119411,8.734887828,0,0,1,0
Beflubutamid (Ref: UBH 820),High,5.749511833,5.357555745,6,56.84375035,3.49435986,4.3183,1.84,0.0,2.44,2.584603168,7.659733959,0,0,0,0
Benalaxyl (Ref: M 9834),Not High,0.0,5.86566492,5,4.86175052,4.076857798,3.44064,1.583333333,0.0,2.125,2.573763427,7.953865935,0,0,0,1
Benazolin (Ref: RD 7693),High,0.0,4.334823335,2,1.873842593,3.180058799,1.801,2.266666667,22.93772577,2.933333333,2.434536651,5.284558357,0,0,1,0
Bendiocarb (Ref: NC 6897),Not High,17.2485355,3.826882719,1,16.10446452,2.053162371,1.9121,2.125,0.0,2.8125,2.528844245,4.922885952,0,0,0,0
Benfluralin (Ref: EL 110),High,0.0,4.808305713,7,38.49973208,3.269934191,4.1482,1.565217391,0.0,1.869565217,2.456430226,6.919433479,0,0,0,1
Benfuracarb,Not High,11.49902367,8.699513656,8,19.8428999,5.362295469,4.0575,2.035714286,12.13396098,2.678571429,2.928250608,10.22472074,0,0,0,0
Benfuresate (Ref: NC 20484),Not High,11.49902367,6.619582355,3,33.25994,3.99890618,2.0851,2.117647059,0.0,2.764705882,2.547603331,7.111642872,0,0,0,0
Benodanil (Ref: BAS 3170),Not High,0.0,4.462186509,2,0.952343632,3.090818875,3.5435,1.5625,22.59087063,2.25,2.305372791,5.959889399,0,0,0,1
Benomyl (Ref: T 1991),Not High,0.0,4.461599002,4,5.883565282,2.969698388,2.5724,2.095238095,0.0,2.80952381,2.845676613,6.776665156,0,0,1,1
Benoxacor (Ref: CGA 154281),High,5.749511833,4.73295141,1,5.51579743,2.843069311,2.6042,2.1875,23.20187978,2.875,2.277450684,5.813267215,0,0,0,1
Bensulfuron-methyl (Ref: DPX F5384),Not High,11.75997667,6.962570162,7,40.91404457,4.526590423,0.9319,1.642857143,0.0,2.214285714,2.659222472,9.376444557,1,0,1,1
Bensulide (Ref: R 4461),High,0.0,13.40136222,10,38.3008254,9.394301903,3.7726,1.652173913,17.0752624,2.130434783,2.427163851,13.01759333,1,0,0,0
Bensultap (Ref: OMS 3011),Not High,0.0,13.66540736,9,49.60503435,10.8195657,3.1608,1.076923077,21.58779595,1.384615385,2.62479409,13.74728555,0,0,0,0
Bentazone,High,0.0,5.395058122,1,26.81260015,3.907766922,1.2075,1.875,0.0,2.5,2.149261909,6.328075633,0,0,0,1
Beta-cyfluthrin (Ref: OMS 3051),High,11.49902367,8.339998909,6,25.18054027,5.302423118,6.31708,1.931034483,23.20187978,2.551724138,3.212459838,9.646116243,0,0,0,0
Beta-cypermethrin (Ref: OMS 3068),Not High,11.49902367,8.222629525,6,11.39789951,5.213148759,6.17798,1.821428571,23.20187978,2.464285714,3.195228206,9.54046734,0,0,0,0
Bifenazate,Not High,5.749511833,4.985151554,5,10.30193279,2.948571638,3.8237,1.772727273,0.0,2.409090909,2.525582539,7.059740999,0,0,0,1
Bifenox,Not High,11.49902367,4.94808862,4,10.04254412,3.222225496,4.4805,1.909090909,23.20187978,2.5,2.486168906,6.673461203,0,0,0,0
Bifenthrin (Ref: FMC 54800),High,0.0,8.307818119,5,43.54172896,6.002285499,6.66242,1.793103448,11.60093989,2.413793103,3.202901074,9.660437978,0,0,0,0
Binapacryl (Ref: FMC 9044),High,5.749511833,5.349547982,6,5.126911376,3.242800327,3.8881,1.869565217,0.0,2.304347826,2.444304907,7.003314058,0,0,0,0
Bioallethrin,Not High,0.0,7.276032983,5,5.660757275,4.950733167,4.002,2.045454545,0.0,2.590909091,2.828510666,7.889968688,0,0,0,0
Bioresmethrin (Ref: FMC 17370),Not High,0.0,7.760192075,6,11.12565944,4.987841259,5.152,1.92,0.0,2.6,2.901863563,8.795486214,0,0,1,0
Biphenyl,Not High,0.0,2.732050808,1,0.0,1.88091147,3.3536,0.75,0.0,1.083333333,2.206794674,4.071367205,0,0,0,0
Bitertanol (Ref: KWG 0599),Not High,5.749511833,7.085172526,5,7.591175359,4.073011862,3.9297,1.6,0.0,2.16,3.138230961,8.29307902,0,0,1,0
Boscalid (Ref: BAS 510F),High,0.0,5.642822297,3,0.0,3.887372717,5.3077,1.652173913,23.20187978,2.391304348,2.564390243,7.673882527,0,0,1,1
Brodifacoum (Ref: WBA 8119),High,5.749511833,10.08068733,3,6.698324242,7.673682646,7.79,1.457142857,15.9299439,2.228571429,2.889728653,12.55971835,0,0,1,0
Bromacil (Ref: DPX N0976),High,0.0,4.09455758,2,1.661365741,3.214569043,1.57852,2.071428571,15.9299439,2.571428571,2.137828659,5.288346623,0,0,1,0
Bromadiolone (Ref: LM 637),Not High,5.749511833,9.407307419,6,6.551360902,6.830912574,7.1837,1.342857143,15.9299439,2.028571429,2.888909065,12.1394489,0,0,1,0
Bromethalin (Ref: OMS 3020),High,0.0,7.774449746,4,42.00502888,5.106777894,6.5772,1.444444444,47.78983169,1.851851852,2.508176343,9.144226834,0,0,0,2
Bromofenoxim (Ref: C9122),Not High,5.749511833,6.052846318,5,0.650447148,3.943200102,3.4106,1.708333333,31.8598878,2.25,2.519201973,7.723928466,0,0,0,0
Bromophos,High,5.749511833,7.418063916,4,16.05483836,5.557380935,4.652,1.75,45.85043091,2.25,2.254984238,8.077530535,0,0,0,0
Bromopropylate (Ref: GS 19851),High,0.0,7.009610703,4,7.006800858,4.219475112,4.3991,1.318181818,31.8598878,1.636363636,2.468350244,8.378953309,0,0,0,0
Bromoxynil (Ref: ENT 20852),Not High,5.749511833,3.608976192,0,1.03412037,2.354970254,2.78888,1.727272727,31.8598878,2.090909091,1.990060507,4.315875146,0,0,0,0
Bromuconazole (Ref: LS 860263),High,0.0,6.962526532,3,7.829809461,4.533549225,3.6642,2.3,39.13182368,2.9,3.003430634,7.821246677,0,0,1,0
Bronopol,High,0.0,2.9674505,3,-1.770833333,1.60285463,-0.6611,1.888888889,15.9299439,1.888888889,1.859267637,2.910297989,0,0,0,0
Bupirimate (Ref: PP 588),Not High,5.879988336,6.626064763,8,30.03937437,4.185539934,1.74462,1.904761905,0.0,2.428571429,2.372897278,8.412021428,0,0,1,1
Buprofezin (Ref: PP 618),Not High,0.0,7.260562233,2,0.0,3.91461838,4.1822,1.80952381,11.76188495,2.333333333,2.37278336,8.163973568,0,0,0,1
Butachlor (Ref: CP 53619),Not High,0.0,5.245536515,9,5.659028093,3.741481952,4.1574,1.80952381,11.60093989,2.285714286,2.533283436,8.272696953,0,0,0,1
Butocarboxim (Ref: Co 755),High,0.0,3.417855129,3,0.0,2.466772783,1.4698,2.25,11.76188495,2.666666667,2.114475025,4.86230633,0,0,0,0
Butoxycarboxim (Ref: Co 859),High,0.0,5.199329544,3,22.09991701,3.332798187,0.1514,2.0,0.0,2.357142857,2.102187624,5.86230633,0,0,0,0
Butralin (Ref: Amchem70-25),High,0.0,6.107350756,5,0.0,3.359250922,4.0109,1.571428571,0.0,1.857142857,2.359988325,6.813591353,0,0,0,1
Butylate (Ref: R 1910),Not High,0.0,5.606863113,5,0.0,2.490906163,3.4735,1.571428571,11.76188495,1.857142857,2.01360262,6.371588753,0,0,0,0
Cadusafos (Ref: FMC 67825),Not High,0.0,11.53989634,8,17.91143519,10.42258283,5.1944,1.466666667,28.53600745,1.733333333,2.168007408,10.17718662,0,0,0,0
Camphechlor (Ref: Hercules 3956),Not High,0.0,9.029782845,3,-1.130810185,8.532018648,5.6627,1.611111111,92.80751912,1.944444444,2.61322248,8.857676086,0,0,0,0
Captafol (Ref: Ortho-5865),Not High,0.0,8.202413271,3,-0.629516566,6.166451026,3.5209,1.611111111,58.35168253,2.0,2.547878996,7.624442872,0,0,0,0
Captan (Ref: SR 406),Not High,0.0,7.77732441,1,-0.692880763,4.032467941,2.9135,1.5625,46.75074264,1.9375,2.427765301,6.593407105,0,0,0,0
Carbaryl (Ref: UC 7744),Not High,5.749511833,3.116804193,1,5.126759259,2.156410831,2.558,1.866666667,0.0,2.666666667,2.292595139,4.683739641,0,0,0,0
Carbendazim (Ref: BAS 346F),Not High,0.0,2.719140879,1,4.440090231,1.795234821,1.7412,2.285714286,0.0,3.0,2.590414113,4.091060446,0,0,1,1
Carbetamide (Ref: RP 11561),Not High,0.0,3.433143394,4,4.906538171,2.024237828,1.7597,1.941176471,0.0,2.529411765,2.29946545,5.435443874,0,0,0,1
Carbofuran (Ref: OMS 864),Not High,11.49902367,4.422447704,1,10.89047336,2.461758846,2.1183,2.25,0.0,2.9375,2.528844245,5.221744443,0,0,0,0
Carbophenothion (Ref: ENT 23708),Not High,0.0,11.28862482,8,11.11831832,9.151033919,5.4203,1.722222222,40.43808724,2.222222222,2.321791854,11.10608145,0,0,0,0
Carbosulfan (Ref: OMS 3022),Not High,11.49902367,8.593561197,9,15.41679132,5.259546688,5.2961,1.884615385,12.13396098,2.5,2.9160816,10.28467905,0,0,0,0
Carboxin (Ref: D 735),Not High,0.0,4.507555053,2,5.34721986,3.338266415,2.62,2.125,11.76188495,2.8125,2.305372791,6.086004867,0,0,0,1
Carfentrazone-ethyl (Ref: F 8426),Not High,0.0,6.142014906,6,45.49415361,4.14565812,3.24302,2.038461538,23.20187978,2.576923077,2.84180551,8.236582981,0,0,1,0
Cetrimide,Not High,0.0,6.903018179,13,1.122777778,3.682487667,2.3977,0.842105263,0.0,1.157894737,2.290515115,8.364975334,0,0,0,0
Chinomethionat (Ref: ENT 25606),High,0.0,5.461849683,0,0.05280376,4.036392459,2.57462,1.733333333,22.67357176,2.466666667,2.531154168,6.036074951,0,0,2,0
Chlomethoxyfen (Ref: X-52),Not High,17.2485355,4.611206777,4,10.506766,3.0000855,4.7025,1.85,23.20187978,2.45,2.411806154,6.219337058,0,0,0,0
Chloralose,High,0.0,6.188863653,2,13.75263968,3.139236043,-0.4629,1.823529412,34.80281967,2.294117647,2.768744835,5.977935995,0,0,0,0
Chloramben (Ref: ACP M-629),High,0.0,2.976111682,1,0.0,1.935974491,2.2738,2.0,23.20187978,2.5,1.958045284,3.755000035,0,1,0,1
Chlorbromuron (Ref: C6313),Not High,0.0,4.000619816,2,0.779872003,2.963220341,3.1276,2.266666667,27.53088379,2.8,2.219055463,5.252728102,0,0,0,1
Chlordane (Ref: OMS 1437),High,0.0,9.294475915,0,-1.503194444,9.791961427,5.6828,1.388888889,92.80751912,1.944444444,2.693503014,8.354834449,0,0,0,0
Chlorethoxyfos (Ref: DPX 43898),Not High,0.0,7.97444742,6,13.66992788,5.032268286,4.2356,1.6,53.12236679,1.866666667,2.019148863,8.157770371,0,0,0,0
Chlorfenapyr (Ref: MK 242),Not High,0.0,5.782015264,4,46.04750069,4.150561453,5.45548,1.913043478,27.53088379,2.391304348,2.771851733,7.70874634,0,0,1,0
Chlorfenson (Ref: K 6451),Not High,5.749511833,5.864488819,3,28.75226505,3.887218376,3.7611,1.222222222,23.20187978,1.722222222,2.323594152,7.09312441,0,0,0,0
Chlorfenvinphos (Ref: OMS 166),Not High,0.0,6.126830739,7,27.64589406,4.395425889,5.7283,1.85,42.62551679,2.3,2.369777331,8.451834303,0,0,0,0
Chlorfluazuron (Ref: CGA 112913),High,11.62950017,7.606313293,4,70.85290959,4.838803889,7.093,1.529411765,34.80281967,2.058823529,2.702647465,9.958796458,0,0,1,1
Chloridazon (Ref: BAS 119H),Not High,0.0,3.344363132,1,1.207037037,2.326521365,1.4681,1.933333333,11.60093989,2.6,2.273637083,4.664517212,0,1,1,1
Chlormephos (Ref: MC 2188),Not High,0.0,8.415171999,6,10.585,6.677364375,3.2134,1.818181818,28.67620229,2.090909091,1.881388984,8.041153421,0,0,0,0
Chlormequat chloride (Ref: BAS 062W),Not High,0.0,3.080877592,2,0.961805556,0.92436667,-2.0646,1.625,11.60093989,1.625,1.295836389,2.959652278,0,0,0,0
Chlorobenzilate (Ref: ENT 18596),Not High,0.0,5.317537988,4,5.021427154,3.598788285,3.7924,1.380952381,23.20187978,1.714285714,2.478582733,7.154264833,0,0,0,0
Chloroneb,High,11.49902367,2.93570048,2,9.906687453,2.016979163,3.0106,1.25,23.20187978,1.5,2.078756657,4.013338829,0,0,0,0
Chlorophacinone (Ref: LM 91),Not High,0.0,6.94115026,4,0.0,5.139616427,4.7364,1.185185185,11.60093989,1.740740741,2.95134856,8.97077103,0,0,0,0
Chloropicrin,High,0.0,2.946320043,0,-2.361111111,0.621059003,1.5908,1.571428571,34.80281967,1.571428571,1.314320487,2.289595298,0,0,0,0
Chloropropylate (Ref: ENT 26999),Not High,0.0,6.051131206,4,5.229760488,3.666096717,4.1809,1.318181818,23.20187978,1.636363636,2.468350244,7.548885716,0,0,0,0
Chlorothalonil (Ref: DS 2787),Not High,0.0,3.741393636,0,0.0,3.192304069,4.04356,1.0,46.40375956,1.285714286,2.164175729,4.715000434,0,0,0,0
Chlorotoluron (Ref: C 2242),Not High,0.0,3.695742917,1,0.0,2.23648499,2.74192,2.071428571,11.60093989,2.571428571,2.109223262,4.627138715,0,0,0,1
Chloroxuron (Ref: C 1983),High,11.49902367,4.841375154,3,5.659004472,2.813083906,4.2258,1.5,11.60093989,2.0,2.431390706,6.440087544,0,0,0,1
Chlorpropham (Ref: ENT 18060),Not High,0.0,3.525846528,2,4.900872071,1.648854605,3.2969,2.214285714,11.60093989,2.785714286,2.011035419,4.686965004,0,0,0,1
Chlorpyrifos (Ref: OMS 971),Not High,5.879988336,7.029481866,6,16.05611347,4.972432894,4.7181,1.722222222,41.5214269,2.222222222,2.261184336,8.707427315,0,0,1,0
Chlorpyrifos-methyl (Ref: OMS 1155),Not High,5.879988336,6.772980042,4,15.10778014,4.852765373,3.9379,1.75,41.5214269,2.25,2.254984238,7.532360064,0,0,1,0
Chlorsulfuron (Ref: DPX 4189),High,6.01046484,6.240998093,4,30.86778538,4.3186273,1.35242,1.913043478,11.60093989,2.565217391,2.455130704,8.027179218,1,0,1,1
Chlorthal-dimethyl (Ref: DAC 893),High,0.0,4.500950086,2,8.986627771,3.747736374,3.8734,0.944444444,46.40375956,1.111111111,2.358044863,5.90078,0,0,0,0
Chlorthiamid (Ref: WL 5792.),Not High,0.0,3.215136114,1,0.0,2.043226859,2.6276,1.727272727,35.41975322,2.0,1.852729478,4.028957925,0,1,0,0
Chlozolinate (Ref: M 8164),Not High,0.0,5.262769757,3,9.662382965,3.292110929,2.7984,1.857142857,23.20187978,2.380952381,2.598288018,6.757291407,0,0,0,1
Cholecalciferol,Not High,0.0,10.83149848,6,0.0,8.353356217,7.619,1.892857143,0.0,2.642857143,2.993567921,12.06754873,0,0,0,0
Choline chloride,High,0.0,2.73753768,2,0.84375,0.770820393,-3.3111,1.625,0.0,1.625,1.295836389,2.474096319,0,0,0,0
Cinidon-ethyl (Ref: BAS 615H),Not High,0.0,6.842890409,4,4.836496637,4.988387493,4.2266,1.807692308,23.20187978,2.384615385,2.884116254,9.139483231,0,0,0,1
Cinosulfuron (Ref: CGA 142464),High,17.77044151,6.630856834,9,46.90120009,4.466042205,0.4244,1.642857143,0.0,2.25,2.671732944,9.262327649,1,0,1,1
Clethodim (Ref: RE 45601),High,0.0,7.571548922,9,0.0,5.014601045,4.0041,2.043478261,23.36282484,2.565217391,2.486484527,9.555632215,0,0,0,0
Clodinafop propargyl (Ref: CGA 184927),Not High,17.379012,5.022328112,6,29.10385739,2.961559393,3.6101,2.041666667,11.60093989,2.666666667,2.564106601,7.228379292,0,0,1,0
Clofencet (Ref: MON 21250 ),High,0.0,4.31387616,3,1.445617284,2.95303655,2.1465,2.0,11.60093989,2.526315789,2.385806357,6.024916794,0,0,1,0
Clofentezine (Ref: NC 21314),High,0.0,4.821306405,2,0.0,3.367582424,3.9074,0.9,23.20187978,1.25,2.486409173,6.583021148,0,0,1,0
Clomazone (Ref: FMC 57020),Not High,0.0,4.997697035,2,0.0,3.027221822,2.64,2.125,11.60093989,2.6875,2.485357322,5.566611789,0,0,0,0
Clopyralid,High,0.0,2.564006408,1,0.0,1.530097602,2.0866,2.090909091,23.20187978,2.545454545,1.936150798,3.41952156,0,0,1,0
Cloquintocet-mexyl (Ref: CGA 185072),Not High,5.749511833,5.937225059,8,10.91095402,3.901388328,4.779,2.130434783,11.60093989,2.913043478,2.545847626,8.347786363,0,0,1,0
Clothianidin (Ref: CGA 322704),High,0.0,4.071528145,3,0.434280255,2.491043466,0.6532,2.6,22.93772577,3.066666667,2.579238449,5.028854747,0,0,1,0
Coumachlor,Not High,5.749511833,6.094673011,4,5.328453859,4.184262891,4.263,1.833333333,11.60093989,2.5,2.541434369,7.844919513,0,0,1,0
Coumatetralyl,Not High,5.749511833,5.791589006,1,5.42631165,4.537754648,3.9668,1.818181818,0.0,2.727272727,2.549701791,7.579831722,0,0,1,0
Crimidine,High,0.0,2.869044376,1,0.0,1.440634745,1.50442,2.0,11.60093989,2.454545455,1.846046792,3.656758158,0,0,1,1
"Cyanamide (Ref: LH 21,810A)",High,0.0,0.129099445,0,0.0,0.0,-0.57382,2.0,0.0,2.0,0.918295834,0.512281932,0,1,0,0
Cyanazine,Not High,0.0,3.98184983,4,0.0,1.815855549,1.67088,1.9375,11.60093989,2.5,2.162028569,5.192854466,0,0,1,2
Cyazofamid (Ref: IKF 916),Not High,0.0,6.956353804,3,26.71506913,4.915451123,2.0381,1.857142857,11.60093989,2.333333333,2.766785094,7.746220209,0,0,1,0
Cyclanilide (Ref: RPA 090946),Not High,0.0,4.809187621,3,0.0,3.321167751,2.7967,1.941176471,23.20187978,2.411764706,3.024856896,5.71088916,0,0,0,1
Cycloate (Ref: R 2063),Not High,0.0,4.992035704,3,0.0,3.62861258,3.5141,1.928571429,11.76188495,2.428571429,2.207459104,6.711265582,0,0,0,0
Cycloxydim (Ref: BAS 517H),High,0.0,7.280361833,6,0.0,5.697717552,3.2731,1.954545455,11.76188495,2.5,2.523252746,9.574298607,0,0,0,0
Cyflufenamid (Ref: NF 149),Not High,0.0,6.654653378,6,68.15935056,4.256523497,4.4307,1.793103448,0.0,2.413793103,3.471015789,8.842267061,0,0,0,0
Cyfluthrin (Ref: OMS 2012),Not High,11.49902367,8.339998909,6,25.18054027,5.302423118,6.31708,1.931034483,23.20187978,2.551724138,3.212459838,9.646116243,0,0,0,0
Cyhalofop-butyl (Ref: DE 537),Not High,17.2485355,5.611601447,8,29.9119021,3.499519251,4.60028,1.884615385,0.0,2.5,2.645129354,8.340120417,0,0,0,0
Cyhalothrin (Ref: OMS 2011),High,11.49902367,8.178015538,6,49.24236891,5.592591845,6.54398,1.806451613,11.60093989,2.419354839,3.257324765,9.79046734,0,0,0,0
Cymoxanil (Ref: DPX T3217),High,0.0,2.047849852,3,0.0,1.067948067,-0.64192,2.214285714,0.0,2.642857143,2.137071376,3.756944534,0,0,0,0
Cypermethrin (Ref: OMS 2002),Not High,11.49902367,8.222629525,6,11.39789951,5.213148759,6.17798,1.821428571,23.20187978,2.464285714,3.195228206,9.54046734,0,0,0,0
Cyproconazole (Ref: SAN 619),High,0.0,6.086749838,5,1.687983277,4.548116068,2.8654,2.1,11.60093989,2.65,3.170509802,7.280352746,0,0,1,0
Cyprodinil (Ref: CGA 219417),High,0.0,4.523097194,3,0.0,2.899583061,3.40602,1.882352941,0.0,2.588235294,3.129922819,5.987632778,0,0,1,2
Cyromazine (Ref: OMS 2014),Not High,0.0,2.794026035,2,0.0,1.580576148,-0.3897,1.666666667,0.0,2.166666667,2.680973745,3.774162771,0,2,1,3
Daminozide,High,0.0,2.323145468,4,0.0,0.91423483,-0.556,1.909090909,0.0,2.272727273,1.818360377,3.206995858,0,0,0,0
Dazomet (Ref: N 521),High,0.0,3.813465727,0,1.0075,2.967362317,0.7967,2.222222222,23.97975839,2.666666667,1.796567574,4.157487562,0,0,0,0
DDT (Ref: OMS 16),High,0.0,7.319538645,2,-1.456687453,3.89260999,6.4955,0.947368421,58.00469945,1.210526316,2.328398468,7.343493361,0,0,0,0
Deltamethrin (Ref: OMS 1998),Not High,11.49902367,9.987583559,6,12.15291494,5.489837956,6.49018,1.821428571,31.8598878,2.464285714,3.195228206,10.37053493,0,0,0,0
Demeton-S-methyl,Not High,0.0,7.643764403,7,20.93151644,6.276061898,2.8736,1.833333333,29.94123724,2.25,2.120998184,7.908014918,0,0,0,0
