,Importance
VSA_EState5,0.015088725244850913
MaxPartialCharge,0.015048246197859145
MolLogP,0.014765247953216274
BCUT2D_LOGPHI,0.01443090225941141
MinAbsPartialCharge,0.013957312431892589
BCUT2D_LOGPLOW,0.013767886413395698
BCUT2D_MRHI,0.013423519918009018
qed,0.013300841672177701
SPS,0.013031641720241216
FpDensityMorgan1,0.012596869577357494
BCUT2D_MWLOW,0.012546719356483122
BCUT2D_CHGHI,0.0123571646954177
MinAbsEStateIndex,0.012290449691057756
Kappa3,0.012272727735467625
MaxAbsEStateIndex,0.011901869422485743
