Unnamed: 0,Environmental fate,VSA_EState5,MaxPartialCharge,MolLogP,BCUT2D_LOGPHI,MinAbsPartialCharge,BCUT2D_LOGPLOW,BCUT2D_MRHI,qed,SPS,FpDensityMorgan1,BCUT2D_MWLOW,BCUT2D_CHGHI,MinAbsEStateIndex,Kappa3,MaxAbsEStateIndex
"1,3-dichloropropene (Ref: D D92)",High,0.0,0.125170683,1.9761,1.985208061,0.100748663,-1.684164925,6.450197313,0.358100796,8.6,1.6,10.75885393,1.803379284,0.407407407,4.32,5.109567901
1-methylcyclopropene,High,0.0,-0.013879282,1.3364,2.140918074,0.013879282,-1.264129643,5.173146604,0.36590903,19.75,2.0,10.5972862,1.935947693,1.277777778,0.126914593,2.208333333
"2,3,6-TBA (Ref: HC 1281)",High,-1.1875,0.338297782,3.345,2.304882772,0.338297782,-1.981780407,6.454828587,0.744344417,9.916666667,1.166666667,10.20012896,2.149389127,0.030864198,1.657140002,10.56728395
"2,4-D (Ref: L 208)",High,-0.736589506,0.341223609,2.4568,2.266823308,0.341223609,-2.089764584,6.350397997,0.851992744,9.692307692,1.461538462,10.32560388,2.035920217,0.299768519,3.125324761,10.1567131
"2,4-DB (Ref: ENT 8538)",Not High,-0.312723608,0.302971647,3.0726,2.269712661,0.302971647,-2.017471258,6.350297251,0.819375392,9.333333333,1.388888889,10.29718747,2.024121065,0.088500786,8.16952387,10.22316018
2-aminobutane,Not High,0.0,0.000780537,0.7436,1.767400543,0.000780537,-2.112308601,4.427525784,0.486540067,15.0,1.8,10.28820324,1.791892011,0.384259259,3.96,5.291666667
(4-chlorophenoxy)acetic acid,High,-0.49375,0.341222118,1.8034,2.144912948,0.341222118,-2.085818831,6.301055373,0.783250061,9.416666667,1.416666667,10.33231871,1.97278211,0.331713908,2.798693085,10.08849693
Acephate,Not High,-0.347654321,0.352176243,1.24,2.526007046,0.309091454,-2.146868288,8.553294271,0.668589141,11.1,1.7,10.78497912,2.197068675,0.347654321,3.247086919,11.16990741
Acequinocyl,Not High,-1.210109563,0.307672257,6.1938,2.298588844,0.307672257,-2.243203081,6.26048664,0.318139743,13.64285714,0.785714286,9.855268379,2.33196542,0.076736899,6.148668148,12.8441846
Acetamiprid,Not High,0.673564815,0.206918942,2.06628,2.069034303,0.206918942,-2.228933126,6.288773588,0.333200021,10.93333333,1.666666667,10.25113454,2.018403265,0.475756435,3.563566798,8.39407689
Acetochlor (Ref: CP 55097),Not High,-0.167587554,0.243316199,3.12322,2.257425267,0.243316199,-2.350473084,6.290172313,0.586581381,10.44444444,1.388888889,10.04824597,2.186931098,0.037140023,3.466403316,11.95265023
