,Environmental fate,Ecotoxicity,Human health,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
"1,3-dichloropropene (Ref: D D92)",High,High,High,C=CC(Cl)Cl,5.109567901,5.109567901,0.407407407,-0.407407407,0.358100796,8.6,110.971,106.939,109.9690055,30,0.125170683,-0.100748663,0.125170683,0.100748663,1.6,1.8,1.8,35.53916613,10.75885393,1.803379284,-1.773999388,1.985208061,-1.684164925,6.450197313,1.636512903,1.378783493,2.825749369,31.87430298,4.28445705,2.617736266,4.129594158,2.27005561,1.178017404,2.050888965,0.570157186,1.733938695,0.178174161,0.534522484,0.0,0.0,0.32,9.651484454,5.32,2.551481481,4.32,41.38606468,0.0,4.83626969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.78081546,6.076020107,0.0,0.0,0.0,0.0,23.20187978,0.0,0.0,0.0,4.83626969,0.0,12.65495579,0.0,0.0,0.0,0.0,23.20187978,4.83626969,0.0,0.0,0.0,12.65495579,0.0,0.0,0.0,4.83626969,0.0,0.0,0.0,0.0,0.0,6.076020107,0.0,0.0,6.578935684,23.20187978,0.0,10.2191358,-0.407407407,0.0,0.0,0.0,0.0,1.447530864,3.296296296,0.0,0.333333333,5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1.9761,25.691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-methylcyclopropene,High,High,Not High,CC1=CC1,2.208333333,2.208333333,1.277777778,1.277777778,0.36590903,19.75,54.092,48.044,54.04695019,22,-0.013879282,-0.081243901,0.081243901,0.013879282,2.0,2.25,2.25,14.00115226,10.5972862,1.935947693,-1.465183,2.140918074,-1.264129643,5.173146604,1.482991861,1.75,2.536387339,51.05865003,2.991563832,2.78445705,2.78445705,1.89384685,1.550476816,1.550476816,1.254600961,1.254600961,0.612372436,0.612372436,0.102062073,0.102062073,-0.26,14.0,2.007379679,0.369226086,0.126914593,26.13864319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64912464,13.34455882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34455882,0.0,11.64912464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34455882,11.64912464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.420821623,5.57310453,0.0,12.99975731,0.0,0.0,0.0,0.0,0.0,1.541666667,0.0,0.0,3.486111111,2.138888889,0.0,0.5,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.3364,18.374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,3,6-TBA (Ref: HC 1281)",High,Not High,Not High,C1=CC(=C(C(=C1Cl)C(=O)O)Cl)Cl,10.56728395,10.56728395,0.030864198,-1.1875,0.744344417,9.916666667,225.458,222.434,223.9198624,64,0.338297782,-0.477561533,0.477561533,0.338297782,1.166666667,1.666666667,2.083333333,35.49901508,10.20012896,2.149389127,-2.017051025,2.304882772,-1.981780407,6.454828587,0.069705374,1.969724618,3.428930881,335.6685277,9.300964908,5.644055843,7.911842681,5.53658126,2.905361255,4.039254674,2.023343396,3.215708122,1.257856534,2.377111671,0.723117907,1.412915537,-0.44,403.7935467,9.64650519,3.519322271,1.657140002,83.66189977,5.106527395,0.0,0.0,0.0,0.0,5.969305288,0.0,4.794537184,0.0,0.0,34.80281967,12.13273414,0.0,20.63135143,9.901064579,40.77212496,0.0,0.0,0.0,0.0,0.0,32.76408557,0.0,0.0,0.0,0.0,34.80281967,11.07583268,0.0,0.0,10.35798868,12.13273414,15.06789994,0.0,37.3,5.969305288,4.794537184,0.0,20.63135143,0.0,0.0,12.13273414,0.0,0.0,0.0,39.90934707,0.0,16.74478395,10.56728395,8.87212963,-0.161265432,-1.1875,2.831234568,0.0,0.0,0.0,0.0,12,1,2,0,0,0,1,0,1,1,1,5,1,0,0,0,1,3.345,48.4313,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-D (Ref: L 208)",High,Not High,High,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,10.1567131,10.1567131,0.299768519,-1.049984568,0.851992744,9.692307692,221.039,214.991,219.9693994,70,0.341223609,-0.480348445,0.480348445,0.341223609,1.461538462,2.153846154,2.692307692,35.49683471,10.32560388,2.035920217,-2.041970131,2.266823308,-2.089764584,6.350397997,-0.138803542,2.020555671,2.719441518,325.1652198,9.844934983,6.458796711,7.970654603,6.092224153,3.390081958,4.146010904,2.257157536,3.100793443,1.245073631,1.775540299,0.731754175,1.194802577,-0.93,705.1739292,10.15285004,4.346851547,3.125324761,84.83712088,9.843390349,5.749511833,6.606881965,0.0,0.0,5.969305288,0.0,4.794537184,0.0,0.0,23.20187978,18.19910121,5.022633314,5.022633314,14.63792753,29.17118507,0.0,0.0,0.0,0.0,6.606881965,28.24436783,5.749511833,4.736862954,0.0,5.749511833,23.20187978,17.68271465,4.794537184,0.0,0.0,18.19910121,10.04526663,0.0,46.53,12.57618725,4.794537184,0.0,0.0,15.79477846,0.0,12.13273414,6.066367068,0.0,0.0,33.04527013,4.863070988,11.33392703,10.1567131,9.105226267,0.0,-0.736589506,4.581866024,0.0,-0.415325019,0.0,0.125,13,1,3,0,0,0,1,0,1,2,1,5,3,0,0,0,1,2.4568,49.5928,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-DB (Ref: ENT 8538)",Not High,Not High,Not High,CNC.C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)O,10.22316018,10.22316018,0.088500786,-0.832589758,0.819375392,9.333333333,294.178,277.042,293.0585488,102,0.302971647,-0.492014403,0.492014403,0.302971647,1.388888889,2.0,2.5,35.49683522,10.29718747,2.024121065,-2.064540909,2.269712661,-2.017471258,6.350297251,-0.136764311,2.271667163,8.73e-07,372.3401974,13.96625533,10.37301027,11.88486817,8.506437715,5.390081958,6.146010904,3.420497505,4.264133412,1.686471366,2.216938034,0.997785367,1.460833768,-0.97,6208.466357,17.03,9.999399203,8.16952387,116.8525827,15.16017895,5.749511833,0.0,0.0,0.0,5.969305288,4.794537184,0.0,0.0,0.0,23.20187978,38.71526679,11.44345494,11.62951528,14.63792753,29.17118507,0.0,5.316788604,0.0,12.84164325,20.70222593,28.24436783,5.749511833,10.05365156,0.0,5.749511833,23.20187978,31.77805861,4.794537184,0.0,12.84164325,18.19910121,10.04526663,0.0,58.56,5.969305288,4.794537184,0.0,6.420821623,28.82248205,0.0,0.0,18.19910121,14.09534397,5.316788604,33.04527013,5.288256173,11.54734354,10.22316018,12.12084031,0.0,-0.312723608,4.903808107,0.541168098,0.327036092,3.75,0.416666667,18,2,4,0,0,0,1,0,1,3,2,6,5,0,0,0,1,3.0726,73.8105,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2-aminobutane,Not High,Not High,Not High,CCC(C)N,5.291666667,5.291666667,0.384259259,0.384259259,0.486540067,15.0,73.139,62.051,73.08914935,32,0.000780537,-0.32799795,0.32799795,0.000780537,1.8,2.0,2.0,14.58649798,10.28820324,1.791892011,-1.914194524,1.767400543,-2.112308601,4.427525784,0.714592479,1.378783493,2.539538861,17.60964047,4.28445705,3.86180732,3.86180732,2.27005561,2.026038674,2.026038674,1.385532175,1.385532175,0.643950551,0.643950551,0.0,0.0,-0.04,9.651484454,4.96,2.212525253,3.96,33.17396807,5.733667477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9237372,13.34455882,6.041840829,0.0,0.0,0.0,0.0,0.0,5.733667477,26.31013685,0.0,0.0,0.0,5.733667477,0.0,0.0,0.0,6.041840829,0.0,0.0,20.26829602,0.0,0.0,0.0,26.02,0.0,0.0,0.0,0.0,6.041840829,6.420821623,0.0,0.0,6.9237372,6.9237372,5.733667477,0.0,0.0,0.0,0.0,5.291666667,0.0,0.384259259,1.083333333,4.074074074,0.0,1.0,5,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.7436,23.9404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(4-chlorophenoxy)acetic acid,High,Not High,Not High,C1=CC(=CC=C1OCC(=O)O)Cl,10.08849693,10.08849693,0.331713908,-0.995416667,0.783250061,9.416666667,186.594,179.538,186.0083718,64,0.341222118,-0.481917418,0.481917418,0.341222118,1.416666667,2.0,2.5,35.49569094,10.33231871,1.97278211,-2.00908143,2.144912948,-2.085818831,6.301055373,-0.138807614,2.033230406,2.529889074,268.1363913,8.974691495,6.158182507,6.914111453,5.68154055,3.284433055,3.662397528,2.136333828,2.572769609,1.175948505,1.42792482,0.675892683,0.801880841,-1.22,496.108219,8.872764378,3.97035602,2.798693085,74.53385466,9.843390349,5.749511833,6.606881965,0.0,0.0,5.969305288,0.0,4.794537184,0.0,0.0,11.60093989,24.26546827,5.022633314,0.0,14.63792753,17.57024518,0.0,0.0,0.0,0.0,6.606881965,29.28810159,5.749511833,4.736862954,0.0,5.749511833,11.60093989,17.68271465,4.794537184,0.0,0.0,24.26546827,5.022633314,0.0,46.53,5.969305288,4.794537184,0.0,6.606881965,10.77214515,0.0,0.0,24.26546827,0.0,0.0,21.44433024,4.864228395,5.602497515,10.08849693,8.873390478,0.0,-0.49375,6.507961703,0.0,-0.331713908,0.0,0.125,12,1,3,0,0,0,1,0,1,2,1,4,3,0,0,0,1,1.8034,44.5828,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acephate,Not High,High,High,CC(=O)NP(=O)(OC)SC,11.16990741,11.16990741,0.347654321,-2.920138889,0.668589141,11.1,183.169,173.089,183.0119008,60,0.352176243,-0.309091454,0.352176243,0.309091454,1.7,2.2,2.3,32.73406971,10.78497912,2.197068675,-2.113806695,2.526007046,-2.146868288,8.553294271,-0.116925187,1.866611739,4.074118885,163.885639,8.198670613,6.080206757,7.791130529,4.537822563,2.541950081,5.996550488,1.530606065,6.017040623,0.775094168,4.488507125,0.358655031,2.182704645,0.01,111.9967044,10.01,4.007779397,3.247086919,63.96318107,4.523747162,0.0,0.0,5.907179729,0.0,6.721418799,14.44688053,0.0,0.0,0.0,11.3817248,6.255769184,14.03353474,0.0,13.88333263,24.01032332,0.0,5.087295063,0.0,6.9237372,13.36556672,0.0,0.0,5.087295063,0.0,0.0,18.1031436,19.27274645,13.88333263,0.0,6.9237372,0.0,0.0,0.0,55.4,6.721418799,9.359585469,0.0,5.907179729,0.0,11.3817248,14.03353474,6.255769184,0.0,9.611042225,0.0,15.75425926,1.001944444,10.40048611,2.212962963,0.0,-0.347654321,0.0,1.61132716,-1.626597222,1.29882716,0.75,10,1,4,0,0,0,0,0,0,4,1,6,3,0,0,0,0,1.24,41.9472,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acequinocyl,Not High,High,Not High,CCCCCCCCCCCCC1=C(C(=O)C2=CC=CC=C2C1=O)OC(=O)C,12.8441846,12.8441846,0.076736899,-0.573051738,0.318139743,13.64285714,384.516,352.26,384.2300595,152,0.307672257,-0.422056259,0.422056259,0.307672257,0.785714286,1.285714286,1.821428571,16.54045828,9.855268379,2.33196542,-2.196681101,2.298588844,-2.243203081,6.26048664,-0.136090408,2.68632136,1.877743188,729.8756257,20.35516038,17.22056883,17.22056883,13.55774931,10.65863117,10.65863117,7.53713382,7.53713382,5.196842177,5.196842177,3.672103563,3.672103563,-2.23,1607234.129,22.06326033,11.57643903,6.148668148,167.9030385,4.736862954,0.0,11.54240982,5.783244946,0.0,5.969305288,14.38361155,0.0,0.0,0.0,88.97660008,12.84164325,23.62374471,0.0,19.12047451,17.53579518,0.0,0.0,0.0,84.47651225,0.0,46.72464066,0.0,0.0,0.0,0.0,0.0,17.53579518,9.531400138,0.0,105.1924896,35.59773768,0.0,0.0,60.44,5.969305288,14.38361155,0.0,17.32565476,23.12082914,19.26246487,51.86948856,24.26546827,0.0,6.9237372,4.736862954,5.155983553,0.0,36.99143861,0.0,1.068999917,-1.210109563,6.732763476,12.4465123,3.481078376,0.0,0.541666667,28,0,4,1,0,1,1,0,1,4,0,4,12,0,0,0,2,6.1938,110.356,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Acetamiprid,Not High,High,Not High,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,8.39407689,8.39407689,0.475756435,0.475756435,0.333200021,10.93333333,222.679,211.591,222.067224,78,0.206918942,-0.358245661,0.358245661,0.206918942,1.666666667,2.4,2.933333333,35.49569618,10.25113454,2.018403265,-2.16591259,2.069034303,-2.228933126,6.288773588,0.496673374,2.215300448,2.668921337,390.8785698,11.25914855,8.605976444,9.36190539,7.130228955,4.381568604,4.759533077,3.10425032,3.491499061,1.972621972,2.196200137,1.045964906,1.157753988,-1.6,2179.85564,11.47462687,5.322711058,3.563566798,93.82676374,4.899909731,10.9887296,0.0,6.193156096,0.0,0.0,0.0,4.983978521,10.25429629,0.0,17.66730696,18.55355576,19.78927196,0.0,0.0,17.43655968,5.261891555,9.883888252,4.992404733,13.46849361,7.047671983,29.04613902,6.193156096,0.0,0.0,0.0,11.60093989,22.76718002,6.544756406,11.45504765,12.48718869,23.32198244,5.153109817,0.0,52.28,0.0,0.0,0.0,0.0,17.53348601,5.563451492,0.0,25.38010394,18.01394878,9.976383254,16.86283144,0.0,5.668989881,9.480454048,8.869833326,1.022583144,0.673564815,3.631930193,3.459658814,2.438243243,1.865853647,0.3,15,0,4,0,0,0,0,1,1,3,0,5,2,0,0,0,1,2.06628,59.436,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
