,Importance
Chi2v,15.992977783719178
NumHDonors,15.300716959717859
Chi3v,14.374329134254324
BCUT2D_LOGPHI,14.347842272396573
Chi4v,13.046770853885882
MolLogP,12.641151107586765
qed,12.171426819571971
NHOHCount,11.965231442751934
SlogP_VSA8,11.175468588184044
Chi1v,9.674865166394166
fr_aniline,7.551903682187816
fr_COO2,6.347933746217145
Chi0v,6.156394850077312
fr_Al_COO,6.124362760350838
fr_NH1,6.064423069776849
SlogP_VSA3,5.942605406096498
fr_COO,5.792511034386539
MolMR,5.776304651288445
FpDensityMorgan1,5.322816120034607
