,Importance
fr_azide,24.629629629629626
VSA_EState5,7.6285593557934295
fr_urea,6.94619517557724
PEOE_VSA3,6.6881618436245285
EState_VSA10,6.374487740185413
fr_para_hydroxylation,6.074008121806381
SMR_VSA9,5.603394103408593
fr_nitrile,5.114873299592306
SMR_VSA2,5.114873299592304
fr_aryl_methyl,5.047650879428371
MinEStateIndex,4.84825924273995
BCUT2D_CHGHI,4.816978984607734
MaxAbsEStateIndex,4.783246863532454
MaxEStateIndex,4.783246863532454
fr_bicyclic,4.744719851329264
EState_VSA2,4.732045798099677
NumHeteroatoms,4.660913963784709
fr_Al_OH,4.42867276393652
SlogP_VSA11,4.172844279196044
VSA_EState3,3.999160182333276
fr_sulfonamd,3.7322254545293103
NumHDonors,3.7184718058578055
