,Importance
fr_urea,7.9308760121546324
VSA_EState5,7.685935761322009
PEOE_VSA3,7.420842079637256
SMR_VSA9,7.175493881126948
fr_bicyclic,6.652267877204326
fr_para_hydroxylation,6.45261178359747
fr_nitrile,6.319440822219558
SMR_VSA2,6.319440822219557
BCUT2D_CHGHI,6.21396915361525
SPS,6.212347871034232
NumAliphaticRings,5.8876346219362325
fr_aryl_methyl,5.628211136056722
VSA_EState8,5.605750957296935
EState_VSA10,5.5270983095512145
SlogP_VSA11,5.381618164729644
SMR_VSA10,5.318471782010722
NumHeteroatoms,5.014163628746745
EState_VSA2,4.817660383179423
fr_Al_OH,4.746293685487892
BCUT2D_MWHI,4.714517370540929
SlogP_VSA12,4.414124416865938
EState_VSA7,4.402286422866974
NumSaturatedRings,4.246710429423546
VSA_EState3,4.246552569199529
NumHDonors,4.232449692057295
MaxEStateIndex,4.215365943584696
MaxAbsEStateIndex,4.215365943584696
BCUT2D_MRHI,4.078123262486474
PEOE_VSA2,4.06780497152294
NumAliphaticCarbocycles,4.040397475591551
SMR_VSA4,3.990073338470362
VSA_EState10,3.8553325245003913
MinEStateIndex,3.7204688857982964
TPSA,3.6587874400605074
fr_C_S,3.6269624573126706
EState_VSA1,3.610032633324374
BCUT2D_LOGPLOW,3.4987514657483554
PEOE_VSA9,3.2282361372358235
fr_Al_OH_noTert,3.0688194502328563
NumAliphaticHeterocycles,3.0170345111057695
SlogP_VSA7,2.999385537519452
fr_sulfonamd,2.998737894725977
fr_nitro_arom_nonortho,2.828901689402557
Chi4v,2.812030261062578
fr_term_acetylene,2.794640324328187
fr_pyridine,2.7828316093857
PEOE_VSA7,2.7755677297569035
NumSaturatedHeterocycles,2.6742692094468685
fr_sulfone,2.6508743347777335
NumSaturatedCarbocycles,2.6421565457935534
fr_ether,2.6303587643090567
fr_halogen,2.5866132907422306
RingCount,2.5102219741061917
Chi3v,2.453877650233155
NOCount,2.3536202287490813
BCUT2D_LOGPHI,2.2415528302790118
SMR_VSA3,2.212338310758208
SlogP_VSA2,2.1527615648390848
fr_nitro,2.0213007339866285
fr_furan,1.9977492698069725
MolLogP,1.9356557009685695
VSA_EState2,1.9194118139662284
fr_amide,1.8937035858657592
VSA_EState6,1.888107391572756
NumAromaticHeterocycles,1.8553406021608387
NHOHCount,1.789342189347375
SMR_VSA6,1.7803695242698658
Kappa2,1.698673787637214
fr_SH,1.6582866900673696
fr_thiocyan,1.6582866900673694
fr_aldehyde,1.6582866900673638
NumRotatableBonds,1.640512453464378
PEOE_VSA13,1.61327422310334
PEOE_VSA1,1.5483075489445317
fr_priamide,1.5128196252744517
BCUT2D_MRLOW,1.4981822118699784
MaxPartialCharge,1.4909802590509023
BalabanJ,1.473854178243073
fr_Ar_N,1.4660347369809177
Chi4n,1.394820320666875
fr_benzene,1.3138201553111406
NumAromaticCarbocycles,1.3138201553111406
fr_quatN,1.2964645129054102
fr_COO,1.2604206124321644
HeavyAtomMolWt,1.2185936533913144
fr_nitroso,1.2090276506134567
fr_isothiocyan,1.2090276506134554
fr_piperzine,1.2090276506134514
Ipc,1.186212748367174
fr_Ar_COO,1.1674685600954937
PEOE_VSA6,1.1428061854717262
fr_oxime,1.1324452213130598
Chi2v,1.1302965642921852
fr_allylic_oxid,1.1288068272696465
fr_NH1,1.0721126708897986
Chi3n,1.0619456661306697
AvgIpc,1.0547039445405306
VSA_EState9,0.99442585141168
BCUT2D_CHGLO,0.9815979940301832
fr_imidazole,0.9514308036398207
fr_nitro_arom,0.9468160651455685
EState_VSA4,0.94078470520446
FpDensityMorgan3,0.9251582678827995
fr_ester,0.9231620606846959
PEOE_VSA14,0.905936086071586
fr_NH2,0.9033154195114445
MolWt,0.8983324978958683
ExactMolWt,0.8794263612056498
fr_COO2,0.8576686494036917
fr_azo,0.8271502119927393
fr_HOCCN,0.8271502119927386
EState_VSA9,0.8210608449836079
SlogP_VSA5,0.8108457465915236
fr_C_O,0.803968683827201
fr_hdrzone,0.794369491247303
VSA_EState4,0.7905660649600352
Kappa3,0.782391143728897
Kappa1,0.7302685120174551
VSA_EState7,0.6937717252881727
fr_alkyl_carbamate,0.6660189999670568
BertzCT,0.6577297112774502
SlogP_VSA1,0.645312922411889
PEOE_VSA4,0.6414225543129454
fr_NH0,0.6097944583082396
FpDensityMorgan2,0.5772573761793964
EState_VSA6,0.5666259846358039
EState_VSA8,0.5595132665228383
fr_morpholine,0.555175463186937
PEOE_VSA8,0.531704490670608
PEOE_VSA5,0.5303796471859642
SMR_VSA1,0.5160078211776847
FractionCSP3,0.49298152376860155
EState_VSA3,0.48452422718066535
MinAbsEStateIndex,0.46501835756239013
SMR_VSA5,0.45730849817176117
MinPartialCharge,0.45596510237074983
NumHAcceptors,0.4559091873772468
fr_Ar_OH,0.4528230447575323
EState_VSA5,0.4497538594204194
fr_oxazole,0.43951060867375086
FpDensityMorgan1,0.4218062821274337
MinAbsPartialCharge,0.4027375517393582
fr_thiazole,0.3912660629077876
fr_phos_ester,0.3876329114204719
fr_phos_acid,0.3876329114204719
fr_hdrzine,0.3876329114204617
fr_phenol,0.38327642418010527
fr_phenol_noOrthoHbond,0.3832764241801026
qed,0.37932551386432534
fr_aniline,0.3677893284240181
