,Importance
fr_azide,24.629629629629626
NHOHCount,17.152546600484946
NumHDonors,12.117852449068389
fr_NH2,8.738561496385348
PEOE_VSA4,8.135415550651445
fr_urea,7.246786896773788
SMR_VSA3,7.1307425268532345
MolLogP,7.108819816238374
SlogP_VSA1,7.028247648766455
BCUT2D_LOGPHI,6.965614356473552
SlogP_VSA12,6.539455555466007
fr_quatN,6.346740498063584
BalabanJ,6.28056615118629
VSA_EState6,5.81170776575545
fr_methoxy,5.489366060237911
SlogP_VSA8,5.425892693664772
SlogP_VSA2,5.377933575125546
TPSA,5.336789074513737
fr_aniline,5.045688244992699
fr_COO2,4.927965668200609
NumAromaticCarbocycles,4.91348425819749
fr_benzene,4.91348425819749
fr_Ar_N,4.857684566154217
SMR_VSA10,4.784667454104746
PEOE_VSA8,4.753690118038263
EState_VSA7,4.753632095945207
fr_COO,4.257892230973933
MaxPartialCharge,4.231119409942295
VSA_EState10,3.9094787170272203
fr_sulfone,3.8146870500538332
VSA_EState1,3.6803941481378275
MinPartialCharge,3.621039833334157
fr_NH0,3.597481034667793
fr_pyridine,3.5162525699856064
fr_nitro_arom_nonortho,3.498540760795356
Chi4v,3.4755729647062332
fr_alkyl_carbamate,3.436267303241637
fr_furan,3.2560863843170824
fr_Ar_OH,3.1424041825815547
PEOE_VSA3,3.076867397511271
fr_nitro,3.0568098155160564
SlogP_VSA10,2.9613233494119555
Chi3v,2.88874895838699
PEOE_VSA5,2.887385162279103
fr_Al_OH,2.844010636058299
PEOE_VSA12,2.8097670808859707
fr_Al_COO,2.7235819177520146
EState_VSA5,2.6748417583857043
MinAbsEStateIndex,2.5549872285099897
SMR_VSA7,2.505608845963168
SlogP_VSA6,2.4960735478834963
NOCount,2.434558024077517
qed,2.413508926818372
fr_Ar_NH,2.3756538924969264
fr_Nhpyrrole,2.3756538924969264
fr_Imine,2.343534160569556
fr_nitro_arom,2.3284519704992035
Chi2v,2.320250381253084
fr_aldehyde,2.2834550466702246
EState_VSA9,2.26918059233191
NumAromaticHeterocycles,2.2618431329749566
PEOE_VSA7,2.188117154581685
VSA_EState5,2.063625733553441
MinAbsPartialCharge,2.0506398606760983
NumSaturatedHeterocycles,2.0025708415241317
MaxAbsPartialCharge,1.9942425303296876
fr_thiophene,1.9898785537492856
fr_NH1,1.8932458811205266
EState_VSA6,1.827888543879916
fr_ArN,1.8228512826297483
SMR_VSA9,1.76540172434843
EState_VSA11,1.7624049165219227
fr_bicyclic,1.7618680701132534
VSA_EState4,1.7500283366030918
fr_oxime,1.7318534623071569
fr_epoxide,1.7261288050115235
fr_N_O,1.7065497148352369
SMR_VSA6,1.6737149116624126
fr_unbrch_alkane,1.6276583459740186
PEOE_VSA13,1.5779401379003282
fr_guanido,1.5220656599380604
EState_VSA3,1.475822491656711
fr_sulfonamd,1.4696716561314267
PEOE_VSA1,1.4554941156740433
fr_lactone,1.4496371586548304
fr_priamide,1.4496371586548178
BCUT2D_CHGHI,1.4344410843519162
SMR_VSA4,1.404253123327655
fr_nitrile,1.3701893628328838
SMR_VSA2,1.3701893628328834
SlogP_VSA4,1.3425748750576905
fr_Ar_COO,1.297319988106833
VSA_EState7,1.1587914339647432
fr_Al_OH_noTert,1.1415633012378046
fr_HOCCN,1.1380563737423988
SMR_VSA1,1.1180668453758091
SMR_VSA5,1.056761983904066
BCUT2D_MRHI,1.0484166673647126
