NAME,Experimental RT,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Nicotinamide,1.7,NC(=O)c1cccnc1,10.383148148148148,10.383148148148148,0.4415740740740739,-0.4415740740740739,0.5772627921564857,8.88888888888889,122.12699999999997,116.079,122.048012812,46,0,0.2497619496515242,-0.36555064039965735,0.36555064039965735,0.2497619496515242,1.6666666666666667,2.4444444444444446,2.7777777777777777,16.146291381867304,10.272056920806532,1.9437386463068345,-1.8828148839948537,1.907963817412707,-2.0997622651802295,5.917460405424664,0.0999728357080012,1.9003726279897948,2.981454614041131,207.5576620543373,6.69023444431199,4.7422132319119505,4.7422132319119505,4.304530452640311,2.5032139951773598,2.5032139951773598,1.6059511696427042,1.6059511696427042,0.9460547340291837,0.9460547340291837,0.5085121970419809,0.5085121970419809,-1.38,129.22533870330605,5.751233595800525,2.2593342006647616,1.2528322001978998,52.51740601189656,5.733667477162185,0.0,0.0,5.907179729351506,0.0,0.0,9.77851570501903,0.0,0.0,0.0,0.0,12.13273413692322,12.393687143226153,5.563451491696996,4.794537184071822,5.907179729351506,0.0,4.9839785209472085,5.733667477162185,0.0,0.0,30.08987277184637,0.0,0.0,5.733667477162185,0.0,0.0,0.0,10.891158250298714,0.0,0.0,10.357988675768818,24.526421280149375,0.0,0.0,0.0,55.980000000000004,5.907179729351506,4.794537184071822,0.0,0.0,5.563451491696996,0.0,6.196843571613076,18.3295777085363,0.0,4.9839785209472085,5.733667477162185,0.0,0.0,14.08824074074074,0.0,5.376944444444445,-0.4415740740740739,3.2871296296296295,3.0225925925925923,0.0,0.0,0.0,9,2,3,0,0,0,0,1,1,2,1,3,1,0,0,0,1,0.18050000000000016,32.7549,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Glucose,1.84,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,9.896426209372638,9.896426209372638,0.025774754346183038,-1.7873611111111114,0.28163781073046734,21.083333333333332,180.156,168.05999999999997,180.063388104,72,0,0.1507548295166195,-0.39357913291077384,0.39357913291077384,0.1507548295166195,1.0833333333333333,1.5833333333333333,1.9166666666666667,16.38943104556976,10.046436015003836,2.288811228254965,-2.219333915851844,2.0239645836161593,-2.458291756082712,5.562220399373285,-0.1359364380504993,2.1228001749259824,4.070579536848795,138.0,9.723614639131599,6.23817439509833,6.23817439509833,5.540111220059325,3.3263072091981956,3.3263072091981956,2.3577820542431085,2.3577820542431085,1.4205301194696338,1.4205301194696338,0.6181226000118402,0.6181226000118402,-0.53,358.753229562491,11.47,5.175013037303056,2.8388089924448727,68.69665246083639,30.327174158275348,24.41586555099321,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881964512918,30.327174158275348,6.286160523129555,0.0,0.0,0.0,24.41586555099321,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.8415450128392,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,118.22,31.022747515506126,4.794537184071822,0.0,6.286160523129555,0.0,0.0,0.0,0.0,0.0,0.0,25.532636974203527,0.0,0.0,9.896426209372638,43.53638652683296,0.0,0.0,0.0,-6.8393641345427065,-0.7601152683295536,0.0,0.8333333333333334,12,5,6,0,0,0,0,0,0,6,5,6,5,0,0,0,0,-3.3788,37.177,0,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raffinose,9.17,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O,10.275905151763286,10.275905151763286,0.634005102040816,-2.357986089095623,0.1464320471816625,52.14705882352941,504.43800000000005,472.1820000000003,504.1690349439998,200,0,0.22355033369268296,-0.3935665150995826,0.3935665150995826,0.22355033369268296,0.5882352941176471,1.1176470588235294,1.6470588235294117,16.810698562580253,9.978818282891755,2.5816567135173494,-2.4422062051738505,2.3582309976333726,-2.6335119349102043,4.983549675326235,-0.38764736097088953,3.076891327309638,1.6897643338729131,653.442936810205,25.36951453014407,17.79457162703018,17.79457162703018,16.005274041423256,10.561420393768103,10.561420393768103,8.407419181420153,8.407419181420153,6.163587884788488,6.163587884788488,4.012947554471216,4.012947554471216,-0.64,25232862.705804422,27.93949519870601,11.177095949776236,5.08976591342448,192.23007093367468,79.85611611224802,73.75051222974423,12.580053458670426,5.7871111525705965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.820645893538753,79.85611611224802,0.0,0.0,0.0,0.0,85.51079487647235,26.427527858051672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.11012407777176,23.684314769000245,0.0,0.0,0.0,0.0,0.0,0.0,268.67999999999995,111.93832273452401,56.17180134324775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.684314769000245,26.444941699023936,0.0,0.0,108.90761673000611,0.0,-2.357986089095623,0.0,-21.77102559964048,-3.1402134069605827,0.0,1.0,34,11,16,0,3,3,0,0,0,16,11,16,8,0,3,3,3,-7.571399999999989,101.27480000000001,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenine,4.71,Nc1ncnc2nc[nH]c12,5.478287037037037,5.478287037037037,0.4328703703703709,0.4328703703703709,0.5296759293780585,10.4,135.13,130.09,135.05449516,50,0,0.18224073593451773,-0.381798268399509,0.381798268399509,0.18224073593451773,1.3,2.2,3.0,15.021487717837115,10.504287595540557,1.9857122740093924,-1.8877931633851828,2.085580947125495,-1.912359028485203,5.796880483226038,1.2065067040486142,2.3571021521226503,2.950090305322589,351.5657969317911,6.974691494688164,5.073691594068751,5.073691594068751,4.877010097711744,2.772767331681046,2.772767331681046,1.8600526094256096,1.8600526094256096,1.2523096503295763,1.2523096503295763,0.783746194421902,0.783746194421902,-1.6500000000000004,372.42214003537873,5.159860161857645,1.6629234524260401,0.5397705083562873,56.32106271209872,10.717645998109393,11.844020792380803,11.465039998602755,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,0.0,0.0,0.0,6.3273200747645415,0.0,16.981740716219015,0.0,19.935914083788834,0.0,0.0,5.733667477162185,12.654640149529083,0.0,0.0,5.733667477162185,5.817862777835028,0.0,0.0,19.935914083788834,0.0,0.0,0.0,12.654640149529083,0.0,11.16387793838399,0.0,80.47999999999999,0.0,0.0,0.0,0.0,16.981740716219015,0.0,12.654640149529083,0.0,0.0,19.935914083788834,5.733667477162185,0.0,0.0,14.363101851851853,0.0,6.779212962962964,0.4328703703703709,0.0,2.9248148148148148,0.0,0.0,0.0,10,3,5,0,0,0,0,2,2,4,2,5,0,0,0,0,2,-0.0648999999999999,36.0961,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Threonine,8.21,C[C@@H](O)[C@H](N)C(O)=O,9.85574074074074,9.85574074074074,0.9791666666666667,-1.1805555555555556,0.42509560262695134,17.375,119.11999999999999,110.04799999999999,119.058243148,48,0,0.32266366773949673,-0.4800132023099517,0.4800132023099517,0.32266366773949673,1.75,2.125,2.125,16.37146680880959,10.19470849442005,2.1566906789597744,-2.064945541435154,1.8536490115328135,-2.3934500225977664,5.732181146355902,-0.14037845905718618,1.6403360647604435,3.6376825478398387,91.28421251514428,6.732050807568877,4.5347262890326565,4.5347262890326565,3.5534180126147956,2.2186219031801775,2.2186219031801775,1.6046245126325556,1.6046245126325556,0.8048726142168625,0.8048726142168625,0.20633934529981277,0.20633934529981277,-0.6100000000000001,39.36806555425064,7.39,2.637269224813579,1.9020806561183323,46.92395767246788,15.946722266843596,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,6.103966387748303,15.007591973753232,5.969305287951849,0.0,0.0,5.733667477162185,19.069544416586886,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,28.32816729452952,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,83.55000000000001,18.115112504848113,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,15.946722266843596,0.0,0.0,9.85574074074074,16.55287037037037,4.909722222222222,-1.1805555555555556,-1.157407407407408,-0.9791666666666667,1.3321296296296297,0.0,0.75,8,4,4,0,0,0,0,0,0,3,3,4,2,0,0,0,0,-1.2208999999999997,27.291999999999994,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arginine,9.53,N[C@@H](CCCNC(N)=N)C(O)=O,10.215000314940792,10.215000314940792,0.11213293650793621,-1.0020138888888888,0.2002751368104355,12.083333333333334,174.204,160.09199999999998,174.111675688,70,0,0.31996851078193783,-0.48008644077399965,0.48008644077399965,0.31996851078193783,1.6666666666666667,2.25,2.6666666666666665,16.367547373710128,10.155322520121212,2.09073102904787,-2.0581264453965216,1.9188753241743353,-2.3366824050704254,5.739347525719793,-0.1381995455757093,1.9663276882372422,3.3118352065890755,170.93102051518318,9.560477932315068,6.708833037092342,6.708833037092342,5.5365812602091875,3.600216226562007,3.600216226562007,2.427411095362517,2.427411095362517,1.324552902001757,1.324552902001757,0.6685076942623803,0.6685076942623803,-1.3,312.6461024297215,10.7,5.363379355687048,5.482229779997874,70.43471202895064,21.89065095317141,6.041840829147961,5.959554568743835,0.0,0.0,5.969305287951849,10.203820789863343,0.0,0.0,0.0,0.0,12.841643245852019,6.544756405912575,0.0,9.901064578912528,11.928859856695684,5.409283605791522,5.316788604006331,11.46733495432437,18.88348407499998,6.544756405912575,0.0,0.0,0.0,16.784123558330702,0.0,0.0,0.0,29.621984486596922,4.794537184071822,5.409283605791522,12.841643245852019,0.0,0.0,0.0,0.0,125.22,12.011146117099809,4.794537184071822,0.0,5.959554568743835,19.386399651764595,0.0,0.0,0.0,0.0,5.316788604006331,21.983145954956598,0.0,0.0,10.215000314940792,17.71424319727891,10.214849458301838,-1.114146825396825,-0.8205942932728651,0.9748611111111112,0.48245370370370355,0.0,0.6666666666666666,12,7,6,0,0,0,0,0,0,3,5,6,5,0,0,0,0,-1.338429999999999,44.762000000000015,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Methionine,7.37,CSCC[C@H](N)C(O)=O,10.070883408919123,10.070883408919123,0.5520833333333333,-0.9129166666666662,0.596996208092774,13.11111111111111,149.215,138.12699999999998,149.051049592,54,0,0.31999919762538026,-0.4800860693347356,0.4800860693347356,0.31999919762538026,1.8888888888888888,2.4444444444444446,2.7777777777777777,32.16636276872169,10.242435219636976,2.0841493276126606,-2.017359573111817,1.972373675817625,-2.298889185539612,7.980973217881285,-0.138048778095103,1.822759080813784,3.2659073992264416,96.95878455585176,7.276020881938894,5.332624277180031,6.149120858107757,4.180739212552622,2.654911126432596,4.048757976549948,1.7262051547045376,2.711803714358026,0.9501769166385938,1.5941274674979724,0.3682933645762833,0.8579295186575113,-0.22000000000000003,80.20139955580649,8.779999999999998,4.6392732499312475,4.294138817480717,58.61777606003371,10.84019487200289,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,11.761884949391115,0.0,0.0,18.429444413184203,0.0,0.0,9.901064578912528,17.731190237342965,0.0,0.0,5.733667477162185,12.462662452073971,12.008622790258194,0.0,0.0,0.0,5.733667477162185,0.0,0.0,11.761884949391115,29.12629630219871,4.794537184071822,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,63.32,12.011146117099809,4.794537184071822,0.0,0.0,6.4208216229260096,5.752853606746789,0.0,11.761884949391115,6.255769183511404,0.0,10.84019487200289,0.0,1.6040277777777776,10.070883408919123,8.274364134542706,5.189675925925926,-0.09995370370370316,-0.6829166666666671,2.477252456538171,0.0,0.0,0.8,9,3,3,0,0,0,0,0,0,3,2,4,4,0,0,0,0,0.1513999999999998,38.61019999999999,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Asparagine,8.81,N[C@@H](CC(N)=O)C(O)=O,9.993055555555555,9.993055555555555,0.31018518518518534,-1.2140740740740739,0.4239394773771117,12.555555555555555,132.119,124.05499999999998,132.053492116,52,0,0.3205079032307336,-0.48007541965947526,0.48007541965947526,0.3205079032307336,1.5555555555555556,2.0,2.111111111111111,16.367683700475034,10.207192308470763,2.125815490848217,-1.9937420306810074,1.8390078239636423,-2.3414352897063964,5.824984241724378,-0.13969099629592874,1.634374150092862,3.632432151939845,133.77443751081734,7.439157588755425,4.702867765183109,4.702867765183109,4.0365812602091875,2.304340371793938,2.304340371793938,1.615167728242008,1.615167728242008,0.7382950735896463,0.7382950735896463,0.3040563490674222,0.3040563490674222,-1.1,60.47184355343589,7.8999999999999995,3.032306526953668,3.479710144927536,51.63113671732834,16.573862349165076,6.041840829147961,0.0,5.907179729351506,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,14.69560176298435,11.876485017303356,0.0,0.0,11.46733495432437,12.462662452073971,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,23.02485324129202,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,106.41,17.918325846451317,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,5.733667477162185,10.84019487200289,0.0,0.0,19.895046296296297,8.098101851851851,9.565925925925926,-1.9178703703703697,-1.1643518518518523,-0.31018518518518534,0.0,0.0,0.5,9,5,5,0,0,0,0,0,0,3,3,5,3,0,0,0,0,-1.7263000000000002,29.4226,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytidine,6.85,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,11.510870653817083,11.510870653817083,0.05369758860334328,-1.3099310279667422,0.4489304892314893,32.88235294117647,243.219,230.11499999999995,243.085520516,94,0,0.3512126938330889,-0.39356685388765933,0.39356685388765933,0.3512126938330889,1.4705882352941178,2.176470588235294,2.7058823529411766,16.56298652841381,10.128301814895782,2.431834336964676,-2.162236823368874,2.273655988948241,-2.355745031918353,5.232082740016904,-0.054897640285208625,2.5654067136030916,2.3196952658217853,462.1897021796714,12.576985790260121,8.801123223941447,8.801123223941447,8.040912557858759,5.014304277265205,5.014304277265205,3.7711079251973993,3.7711079251973993,2.642834143988184,2.642834143988184,1.7293735696353043,1.7293735696353043,-1.48,7816.79425634862,11.98960467611348,4.414475063137193,2.025663273733915,95.89720926959053,25.790112615484354,24.129761941079934,6.22790117073487,0.0,0.0,5.689743398203474,4.567099647791355,4.794537184071822,4.9839785209472085,0.0,0.0,6.06636706846161,6.196843571613076,6.606881964512918,20.056445138322168,5.817862777835028,0.0,9.551078168738563,0.0,24.539800333979777,12.340549441675103,22.747491222349982,0.0,0.0,11.423410875365658,5.817862777835028,0.0,0.0,49.7894414810185,4.736862953800049,0.0,6.22790117073487,17.057747824146507,0.0,0.0,0.0,130.83,36.83642569669617,15.007591973753234,0.0,5.817862777835028,0.0,4.567099647791355,12.263210640074686,0.0,0.0,4.9839785209472085,15.57705782580294,6.187805177626606,0.0,14.98930933484505,28.15370186654909,4.629863315696649,0.05369758860334328,1.3711640211640213,-3.266372826908542,-0.45250181090954866,0.0,0.5555555555555556,17,5,8,0,1,1,0,1,1,8,4,8,2,0,1,1,2,-2.5629999999999993,55.918800000000026,0,3,3,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tryptophan,6.92,N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O,10.626393927941546,10.626393927941546,0.3465740740740739,-0.9719619236583521,0.7005840997557369,12.866666666666667,204.22899999999998,192.13299999999995,204.089877624,78,0,0.32031692105916915,-0.4800776923593587,0.4800776923593587,0.32031692105916915,1.4666666666666666,2.2,2.933333333333333,16.36755355386267,10.06102593956875,2.1371615523619276,-2.038308646805267,2.18054206112019,-2.316121789893529,5.8380055770017725,-0.13798871990339567,2.617486404067029,2.3234873713898962,490.0485079143074,10.836498814253964,8.10402055147775,8.10402055147775,7.1815405503520555,4.716241630346446,4.716241630346446,3.5083522099184106,3.5083522099184106,2.4319435418190682,2.4319435418190682,1.624730989112513,1.624730989112513,-1.8099999999999996,3732.5356121995837,9.733912004652456,3.744477633359755,1.8453598902256418,86.71270096468879,15.8241733929501,6.041840829147961,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,18.19910120538483,11.629818560158606,23.520590126620142,0.0,9.901064578912528,16.872230220032904,0.0,4.9839785209472085,5.733667477162185,12.462662452073971,0.0,36.02576333715651,0.0,0.0,5.733667477162185,0.0,0.0,0.0,22.10165203288772,11.21535880699783,0.0,5.563451491696996,30.462311845459514,0.0,10.902924932081056,0.0,79.11000000000001,12.011146117099809,4.794537184071822,0.0,0.0,6.4208216229260096,16.466376423778055,0.0,0.0,30.462311845459514,4.9839785209472085,10.84019487200289,0.0,0.0,13.710350844041319,9.75398116654069,7.434909297052155,-0.9719619236583521,6.913183578987151,2.159537037037037,0.0,0.0,0.18181818181818182,15,4,4,0,0,0,1,1,2,2,3,4,3,0,0,0,2,1.1223,57.61390000000001,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
