Feature,Score
fr_C_O,14.667074879466902
fr_COO2,14.667074879466902
fr_Al_OH,14.667074879466902
VSA_EState6,14.416492629788227
MaxAbsPartialCharge,13.106532196345018
MinAbsPartialCharge,12.757410891779923
fr_N_O,10.847632734718534
VSA_EState5,10.61459694593245
LabuteASA,9.686465149218705
VSA_EState3,7.526789261304023
SMR_VSA8,7.460531292168206
SlogP_VSA4,6.009337535768005
SMR_VSA5,5.8034143602613515
fr_quatN,5.546737400065375
SlogP_VSA7,5.3444608938070495
fr_alkyl_carbamate,5.149671645495674
PEOE_VSA9,5.138884350672073
NumAromaticRings,5.0680913013914095
fr_Ar_OH,4.893437778470145
fr_SH,4.893437778470145
fr_C_S,4.752641762698861
NOCount,4.223332579370591
fr_Ar_NH,3.8949611609578954
HeavyAtomCount,3.538208777412014
fr_azide,3.4102212645334617
MinAbsEStateIndex,3.2256872140489827
MaxEStateIndex,3.2256872140489827
PEOE_VSA4,3.209036552037941
NumHAcceptors,2.999031674244094
PEOE_VSA14,2.953529735028941
PEOE_VSA2,2.941921768815102
SMR_VSA3,2.9091979628322315
MolLogP,2.7946458884017917
EState_VSA7,2.778651964425794
SMR_VSA4,2.624461841309768
AvgIpc,2.5601131331952485
fr_C_O_noCOO,2.250936104275673
fr_urea,2.2318434077612497
EState_VSA6,2.1823714903854095
Chi0,2.161025531635506
FpDensityMorgan2,1.9637334124291081
BalabanJ,1.9295767442569127
NumSaturatedCarbocycles,1.912944977634945
VSA_EState1,1.8392142178227817
BCUT2D_MWHI,1.6607057699294954
SMR_VSA2,1.5697380617238985
fr_NH1,1.5404714043940668
Ipc,1.4101991450307938
PEOE_VSA3,1.294348376750379
qed,1.2815561004936344
FpDensityMorgan1,1.2399028506834937
MinPartialCharge,1.091144050153057
fr_amidine,1.0651262897874987
fr_halogen,0.9330876914983344
SMR_VSA7,0.9113634484315167
