Feature,Score
fr_C_O,14.66707487946686
fr_COO2,14.66707487946686
fr_Al_OH,14.66707487946686
VSA_EState6,14.416492629788188
MaxAbsPartialCharge,13.106532196345132
MinAbsPartialCharge,12.757410891779188
fr_N_O,10.847632734718498
VSA_EState5,10.6145969459324
LabuteASA,9.686465149218627
VSA_EState3,7.526789261304054
SMR_VSA8,7.46053129216822
SlogP_VSA4,6.0093375357679655
SMR_VSA5,5.803414360261327
fr_quatN,5.546737400065375
SlogP_VSA7,5.344460893807064
fr_alkyl_carbamate,5.149671645495674
PEOE_VSA9,5.138884350672085
NumAromaticRings,5.068091301391414
fr_Ar_OH,4.893437778470149
fr_SH,4.893437778470149
fr_C_S,4.752641762698871
NOCount,4.223332579370546
fr_Ar_NH,3.8949611609579016
HeavyAtomCount,3.5382087774119872
fr_azide,3.410221264533459
MinAbsEStateIndex,3.2256872140488926
MaxEStateIndex,3.2256872140488926
PEOE_VSA4,3.2090365520379467
NumHAcceptors,2.9990316742441054
PEOE_VSA14,2.9535297350289467
PEOE_VSA2,2.941921768815086
SMR_VSA3,2.909197962832228
MolLogP,2.7946458884018015
EState_VSA7,2.778651964425805
SMR_VSA4,2.6244618413097762
AvgIpc,2.5601131331952485
fr_C_O_noCOO,2.2509361042756617
fr_urea,2.2318434077612483
EState_VSA6,2.182371490385419
Chi0,2.1610255316355205
FpDensityMorgan2,1.963733412429058
BalabanJ,1.929576744256948
NumSaturatedCarbocycles,1.912944977634928
VSA_EState1,1.839214217822763
BCUT2D_MWHI,1.6607057699295225
SMR_VSA2,1.5697380617238887
fr_NH1,1.5404714043940735
Ipc,1.4101991450308073
PEOE_VSA3,1.2943483767503907
qed,1.2815561004936225
FpDensityMorgan1,1.2399028506834635
MinPartialCharge,1.0911440501530278
fr_amidine,1.0651262897875013
fr_halogen,0.9330876914983326
SMR_VSA7,0.911363448431509
SMR_VSA1,0.8583532760025314
EState_VSA9,0.7750539824354519
SPS,0.7347573281684271
fr_Al_OH_noTert,0.7258178912536117
fr_ArN,0.7258178912536117
BCUT2D_MRLOW,0.7065589186633081
PEOE_VSA8,0.6589673510384498
BCUT2D_LOGPLOW,0.6409988738439031
Chi4v,0.5786489256780933
NumHeteroatoms,0.5566931313362479
fr_prisulfonamd,0.5546360021542076
fr_NH2,0.5212449370596037
Chi1n,0.5022390508800194
HallKierAlpha,0.46723063630486894
Chi3v,0.4498765214689879
fr_NH0,0.4402702454002856
PEOE_VSA10,0.43656449051283686
PEOE_VSA7,0.43481011167790784
NumHDonors,0.4186153081909482
NumAromaticHeterocycles,0.4120450543626787
fr_benzodiazepine,0.4120450543626787
NHOHCount,0.38031634301075834
MinEStateIndex,0.34304816905452573
Kappa1,0.33652498672922737
Chi4n,0.32714847754922965
fr_phenol_noOrthoHbond,0.31555401206513295
fr_phos_acid,0.31555401206513295
ExactMolWt,0.31116594242205264
VSA_EState7,0.31072695496100555
NumAromaticCarbocycles,0.30613350493364566
NumAliphaticRings,0.30613350493364566
