Feature,Score
EState_VSA4,0.31175279768333675
LabuteASA,0.27539008422786404
fr_NH1,0.24951961204369888
PEOE_VSA14,0.23666515362540252
NumAromaticRings,0.23275375978783552
fr_Ar_NH,0.2237940645784382
EState_VSA5,0.2095164914621801
VSA_EState6,0.19501320788915133
NumHAcceptors,0.19382041352387525
fr_C_O,0.1913208492700249
fr_COO2,0.1913208492700249
fr_Al_OH,0.1913208492700249
VSA_EState5,0.18430929704383758
MinAbsPartialCharge,0.17854290637330283
MaxAbsPartialCharge,0.17822239355279024
EState_VSA9,0.1779255492127214
Chi4n,0.16063051244429838
PEOE_VSA5,0.1595978457757783
FpDensityMorgan2,0.15903315056323786
SlogP_VSA7,0.15883404411413138
fr_N_O,0.15241117611261346
BCUT2D_LOGPLOW,0.15224220477937678
MolMR,0.1398294107364464
SMR_VSA8,0.1347753177527733
MaxEStateIndex,0.12845101180743956
MinAbsEStateIndex,0.12845101180743956
SMR_VSA5,0.12739496640213188
SlogP_VSA9,0.12425550759019122
fr_diazo,0.12425550759019122
SlogP_VSA4,0.11551749389712951
VSA_EState1,0.109843751905216
VSA_EState4,0.10850779431867585
Chi3n,0.09817296770674666
EState_VSA10,0.09682953730670829
fr_SH,0.09076491027636235
BCUT2D_MWHI,0.084535299673687
PEOE_VSA4,0.0789977587283226
MolLogP,0.07881628974682942
SMR_VSA2,0.07833713717491708
VSA_EState8,0.07386519227252508
fr_Ar_OH,0.06828322529467767
NumSaturatedCarbocycles,0.06778652557197118
PEOE_VSA3,0.05986515937631376
Chi3v,0.058670933561642435
BalabanJ,0.0572717512562928
SMR_VSA10,0.05123863417025798
BertzCT,0.04956928215676415
Ipc,0.04882354956118595
HeavyAtomCount,0.04586719533220762
fr_Al_COO,0.04369661743824338
AvgIpc,0.042555697310077134
fr_urea,0.0384615384615381
SMR_VSA4,0.03814936398316715
SlogP_VSA1,0.03692307692307639
SlogP_VSA12,0.03692307692307639
fr_COO,0.03692307692307639
PEOE_VSA8,0.035253762530455646
PEOE_VSA1,0.034908061223216436
FpDensityMorgan1,0.03159549219144142
NumAliphaticRings,0.03093410111833239
NumAromaticCarbocycles,0.03093410111833239
fr_aryl_methyl,0.02730769230769181
SlogP_VSA11,0.02730769230769181
fr_Ar_COO,0.02730769230769181
NumHDonors,0.02700314744339205
MinPartialCharge,0.02570181322083953
Chi1,0.02478897989968143
fr_prisulfonamd,0.024102564102563617
PEOE_VSA9,0.02372082902354089
BCUT2D_CHGHI,0.02091348282788763
fr_imide,0.02032051282051195
Chi0,0.019870054358285927
VSA_EState3,0.01865160691305867
Chi2v,0.014064127828675499
Kappa3,0.013912188496276734
fr_C_S,0.012836771221479637
fr_phos_acid,0.012820512820512331
fr_phenol_noOrthoHbond,0.012820512820512331
Kappa1,0.012755100291146793
SMR_VSA7,0.012134959315201588
NOCount,0.011522442713758796
PEOE_VSA13,0.010405648497416875
SlogP_VSA3,0.009275370329761667
fr_Al_OH_noTert,0.008310902229951456
fr_C_O_noCOO,0.006674996954787016
SlogP_VSA6,0.006626727725773218
fr_halogen,0.0050871592175933955
qed,0.004485498113121489
SMR_VSA3,0.001666666666666039
FractionCSP3,0.001231015361449428
fr_epoxide,2.220446049250313e-16
fr_dihydropyridine,2.220446049250313e-16
fr_ester,2.220446049250313e-16
fr_bicyclic,2.220446049250313e-16
fr_benzene,2.220446049250313e-16
fr_ether,2.220446049250313e-16
fr_barbitur,2.220446049250313e-16
fr_azo,2.220446049250313e-16
fr_hdrzine,2.220446049250313e-16
fr_aniline,2.220446049250313e-16
fr_guanido,2.220446049250313e-16
fr_amide,2.220446049250313e-16
fr_allylic_oxid,2.220446049250313e-16
fr_alkyl_halide,2.220446049250313e-16
fr_Ar_N,2.220446049250313e-16
fr_lactone,2.220446049250313e-16
fr_hdrzone,2.220446049250313e-16
fr_imidazole,2.220446049250313e-16
fr_unbrch_alkane,2.220446049250313e-16
fr_thiophene,2.220446049250313e-16
fr_thiocyan,2.220446049250313e-16
fr_thiazole,2.220446049250313e-16
fr_tetrazole,2.220446049250313e-16
fr_term_acetylene,2.220446049250313e-16
fr_sulfone,2.220446049250313e-16
fr_sulfide,2.220446049250313e-16
fr_pyridine,2.220446049250313e-16
fr_priamide,2.220446049250313e-16
fr_piperzine,2.220446049250313e-16
fr_piperdine,2.220446049250313e-16
fr_phos_ester,2.220446049250313e-16
fr_para_hydroxylation,2.220446049250313e-16
fr_oxime,2.220446049250313e-16
fr_oxazole,2.220446049250313e-16
fr_nitroso,2.220446049250313e-16
fr_nitro_arom_nonortho,2.220446049250313e-16
fr_nitro_arom,2.220446049250313e-16
fr_nitro,2.220446049250313e-16
fr_nitrile,2.220446049250313e-16
fr_morpholine,2.220446049250313e-16
fr_methoxy,2.220446049250313e-16
fr_Ndealkylation1,2.220446049250313e-16
fr_lactam,2.220446049250313e-16
fr_ketone_Topliss,2.220446049250313e-16
fr_ketone,2.220446049250313e-16
fr_isothiocyan,2.220446049250313e-16
fr_isocyan,2.220446049250313e-16
fr_Nhpyrrole,2.220446049250313e-16
,2.220446049250313e-16
NumSaturatedHeterocycles,2.220446049250313e-16
PEOE_VSA6,2.220446049250313e-16
SMR_VSA9,2.220446049250313e-16
TPSA,2.220446049250313e-16
MaxPartialCharge,2.220446049250313e-16
NumAliphaticHeterocycles,2.220446049250313e-16
EState_VSA2,2.220446049250313e-16
fr_HOCCN,2.220446049250313e-16
fr_Imine,2.220446049250313e-16
SlogP_VSA8,2.220446049250313e-16
Chi0v,0.0
EState_VSA3,0.0
Chi2n,0.0
EState_VSA11,0.0
Chi1n,0.0
EState_VSA6,0.0
EState_VSA1,0.0
EState_VSA7,0.0
EState_VSA8,0.0
fr_phenol,0.0
Chi1v,0.0
fr_NH0,0.0
SlogP_VSA5,0.0
SlogP_VSA2,0.0
VSA_EState10,0.0
SlogP_VSA10,0.0
Chi4v,0.0
fr_quatN,0.0
SMR_VSA6,0.0
fr_sulfonamd,0.0
HallKierAlpha,0.0
Kappa2,0.0
SMR_VSA1,0.0
PEOE_VSA7,0.0
PEOE_VSA10,0.0
PEOE_VSA2,0.0
PEOE_VSA11,0.0
Chi0n,0.0
BCUT2D_MRHI,0.0
VSA_EState2,0.0
BCUT2D_MRLOW,0.0
fr_NH2,0.0
SPS,0.0
fr_Ndealkylation2,0.0
HeavyAtomMolWt,0.0
fr_aldehyde,0.0
fr_alkyl_carbamate,0.0
