Feature,Score
EState_VSA4,0.30890588968936994
LabuteASA,0.27410803294581254
NumAromaticRings,0.273352050386126
fr_Ar_NH,0.25819902530663064
PEOE_VSA14,0.2310983520059695
NumHAcceptors,0.21312888283234477
EState_VSA5,0.2095164914621801
VSA_EState6,0.1985097113856551
fr_COO2,0.1913208492700249
fr_C_O,0.1913208492700249
fr_Al_OH,0.1913208492700249
VSA_EState5,0.18430929704383758
fr_NH1,0.1826729830766245
MinAbsPartialCharge,0.17854290637330283
MaxAbsPartialCharge,0.17822239355279024
SlogP_VSA7,0.16652635180643882
Chi4n,0.16063051244429838
PEOE_VSA5,0.1595978457757783
fr_N_O,0.15921421784212586
FpDensityMorgan2,0.1526228941529819
BCUT2D_LOGPLOW,0.15224220477937678
MolMR,0.14752171842875383
SMR_VSA8,0.14246762544508096
EState_VSA9,0.1418641276026571
MinAbsEStateIndex,0.12845101180743956
MaxEStateIndex,0.12845101180743956
VSA_EState1,0.12591421989876084
SlogP_VSA9,0.12425550759019122
fr_diazo,0.12425550759019122
SMR_VSA5,0.12242701768418307
SlogP_VSA4,0.11678631451579502
VSA_EState4,0.11064454645542798
EState_VSA10,0.10323979371696512
Chi3n,0.09817296770674666
SMR_VSA2,0.09373902330048756
BCUT2D_MWHI,0.08795410309249041
MolLogP,0.08458056546079584
VSA_EState8,0.07763503354236656
PEOE_VSA3,0.07396772347887759
BalabanJ,0.06207944356398487
fr_SH,0.06016356717501914
Chi3v,0.058670933561642435
PEOE_VSA4,0.05839336312392707
SMR_VSA4,0.05078672662052974
BertzCT,0.04956928215676415
NumHDonors,0.04582086818419007
fr_Al_COO,0.04369661743824338
AvgIpc,0.042555697310077134
NumAliphaticCarbocycles,0.04126325639717798
fr_urea,0.0384615384615381
SlogP_VSA12,0.03692307692307639
SlogP_VSA1,0.03692307692307639
fr_COO,0.03692307692307639
Ipc,0.03493466067229711
PEOE_VSA1,0.034908061223216436
FpDensityMorgan1,0.03159549219144142
NumAliphaticRings,0.03093410111833239
fr_Ar_OH,0.029102961114412906
fr_Ar_COO,0.02730769230769181
fr_aryl_methyl,0.02730769230769181
SlogP_VSA11,0.02730769230769181
NumSaturatedCarbocycles,0.02653290739527625
MinPartialCharge,0.02570181322083953
Chi1,0.02478897989968143
fr_prisulfonamd,0.024102564102563617
PEOE_VSA9,0.02372082902354089
BCUT2D_CHGHI,0.02091348282788763
fr_imide,0.02032051282051195
Chi0,0.019870054358285927
VSA_EState3,0.01865160691305867
SMR_VSA7,0.018398189978587
NumAromaticCarbocycles,0.018113588297819616
SlogP_VSA10,0.017201256735332793
PEOE_VSA13,0.01681590490767282
NumHeteroatoms,0.01650263067889668
PEOE_VSA8,0.01633697984104865
SlogP_VSA6,0.014341929190974545
SMR_VSA10,0.014117848972550417
Chi2v,0.014064127828675499
Kappa3,0.013912188496276734
fr_phos_acid,0.012820512820512331
fr_phenol_noOrthoHbond,0.012820512820512331
Kappa1,0.012755100291146793
HeavyAtomCount,0.006614354156289526
VSA_EState7,0.006456722515295166
PEOE_VSA7,0.006281544542413142
SlogP_VSA3,0.005778866833258345
EState_VSA7,0.0053514078662533215
fr_halogen,0.0050871592175933955
VSA_EState2,0.005023056653490787
qed,0.004485498113121489
NOCount,0.002364933556249671
SMR_VSA3,0.001666666666666039
fr_amidine,0.0016025641025634307
FractionCSP3,0.001231015361449428
fr_lactam,2.220446049250313e-16
fr_imidazole,2.220446049250313e-16
fr_Ar_N,2.220446049250313e-16
fr_isocyan,2.220446049250313e-16
fr_morpholine,2.220446049250313e-16
fr_Imine,2.220446049250313e-16
fr_lactone,2.220446049250313e-16
fr_HOCCN,2.220446049250313e-16
fr_isothiocyan,2.220446049250313e-16
fr_Ndealkylation1,2.220446049250313e-16
fr_methoxy,2.220446049250313e-16
fr_ketone,2.220446049250313e-16
fr_ketone_Topliss,2.220446049250313e-16
MaxPartialCharge,2.220446049250313e-16
,2.220446049250313e-16
fr_hdrzone,2.220446049250313e-16
fr_Nhpyrrole,2.220446049250313e-16
fr_hdrzine,2.220446049250313e-16
fr_nitro,2.220446049250313e-16
fr_guanido,2.220446049250313e-16
fr_alkyl_halide,2.220446049250313e-16
fr_allylic_oxid,2.220446049250313e-16
fr_amide,2.220446049250313e-16
fr_aniline,2.220446049250313e-16
fr_ether,2.220446049250313e-16
fr_azo,2.220446049250313e-16
fr_barbitur,2.220446049250313e-16
fr_benzene,2.220446049250313e-16
fr_ester,2.220446049250313e-16
fr_bicyclic,2.220446049250313e-16
fr_nitrile,2.220446049250313e-16
fr_oxazole,2.220446049250313e-16
fr_nitro_arom,2.220446049250313e-16
fr_nitro_arom_nonortho,2.220446049250313e-16
EState_VSA2,2.220446049250313e-16
TPSA,2.220446049250313e-16
SlogP_VSA8,2.220446049250313e-16
fr_unbrch_alkane,2.220446049250313e-16
fr_thiophene,2.220446049250313e-16
fr_thiocyan,2.220446049250313e-16
fr_thiazole,2.220446049250313e-16
fr_tetrazole,2.220446049250313e-16
SMR_VSA9,2.220446049250313e-16
fr_term_acetylene,2.220446049250313e-16
fr_sulfone,2.220446049250313e-16
fr_sulfide,2.220446049250313e-16
PEOE_VSA6,2.220446049250313e-16
NumAliphaticHeterocycles,2.220446049250313e-16
fr_epoxide,2.220446049250313e-16
fr_para_hydroxylation,2.220446049250313e-16
fr_priamide,2.220446049250313e-16
fr_nitroso,2.220446049250313e-16
fr_piperzine,2.220446049250313e-16
fr_piperdine,2.220446049250313e-16
fr_phos_ester,2.220446049250313e-16
fr_dihydropyridine,2.220446049250313e-16
fr_pyridine,2.220446049250313e-16
NumSaturatedHeterocycles,2.220446049250313e-16
fr_oxime,2.220446049250313e-16
MinEStateIndex,0.0
fr_quatN,0.0
fr_phenol,0.0
fr_furan,0.0
SPS,0.0
fr_sulfonamd,0.0
HeavyAtomMolWt,0.0
MolWt,0.0
EState_VSA1,0.0
ExactMolWt,0.0
PEOE_VSA2,0.0
NumSaturatedRings,0.0
Chi4v,0.0
NumRotatableBonds,0.0
HallKierAlpha,0.0
Kappa2,0.0
PEOE_VSA10,0.0
PEOE_VSA11,0.0
NumAromaticHeterocycles,0.0
PEOE_VSA12,0.0
NHOHCount,0.0
Chi2n,0.0
VSA_EState9,0.0
SMR_VSA1,0.0
SMR_VSA6,0.0
SlogP_VSA2,0.0
VSA_EState10,0.0
SlogP_VSA5,0.0
EState_VSA8,0.0
EState_VSA6,0.0
EState_VSA3,0.0
RingCount,0.0
Chi1v,0.0
fr_benzodiazepine,0.0
fr_C_S,0.0
fr_azide,0.0
NumValenceElectrons,0.0
fr_alkyl_carbamate,0.0
EState_VSA11,0.0
NumRadicalElectrons,0.0
fr_Ndealkylation2,0.0
fr_NH2,0.0
FpDensityMorgan3,0.0
fr_NH0,0.0
fr_C_O_noCOO,0.0
Chi1n,0.0
BCUT2D_MWLOW,0.0
