NAME,Experimental RT
Nicotinamide,1.7
Glucose,1.84
Raffinose,9.17
Adenine,4.71
Threonine,8.21
Arginine,9.53
Methionine,7.37
Asparagine,8.81
Cytidine,6.85
Tryptophan,6.92
Sarcosine,7.82
Ethanolamine,7.15
Hypoxanthine,4.99
Cysteine,5.31
Creatinine,4.93
Sucrose,8.05
Guanine,6.4
Allothreonine,7.95
Thymidine,2.57
1-Methylnicotinamide,6.26
Isoleucine,7.18
Leucine,7.08
Valine,7.24
Alanine,8.05
Glutamine,8.19
Glycerophosphocholine,8.67
Tyrosine,7.61
Histidine,9.48
Phenylalanine,6.94
Betaine,7.24
Lysine,9.54
Taurine,7.85
Glycine,8.33
Inosine,6.19
Uridine,4.72
Adenosine,4.77
Uracil,2.4
Creatine,8.15
