NAME,Experimental RT,Predicted RT,mae
Nicotinamide,1.7,5.214068226405471,3.5140682264054712
Glucose,1.84,4.848967901563153,3.008967901563153
Raffinose,9.17,7.854917147015422,1.3150828529845775
Adenine,4.71,4.213977904097975,0.49602209590202495
Threonine,8.21,7.949584693639278,0.26041530636072263
Arginine,9.53,7.865441595172601,1.6645584048273987
Methionine,7.37,6.572512188585619,0.7974878114143813
Asparagine,8.81,8.889977043642077,0.07997704364207614
Cytidine,6.85,4.780425778826656,2.069574221173344
Tryptophan,6.92,7.68411785212746,0.7641178521274599
Sarcosine,7.82,7.49414438110393,0.3258556188960702
Ethanolamine,7.15,4.859439602616968,2.2905603973830324
Hypoxanthine,4.99,4.461438121351723,0.5285618786482775
Cysteine,5.31,7.483684081760283,2.1736840817602836
Creatinine,4.93,4.483594862754995,0.4464051372450051
Sucrose,8.05,7.681236244341805,0.36876375565819597
Guanine,6.4,4.577389204672676,1.822610795327324
Allothreonine,7.95,7.949584693639278,0.0004153063607219565
Thymidine,2.57,4.848895222973066,2.2788952229730666
1-Methylnicotinamide,6.26,5.15355531117619,1.1064446888238102
Isoleucine,7.18,7.51701721717445,0.3370172171744503
Leucine,7.08,7.153566261041143,0.07356626104114294
Valine,7.24,7.6047809451111155,0.36478094511111525
Alanine,8.05,7.672762435123525,0.3772375648764754
Glutamine,8.19,8.536818787976184,0.3468187879761846
Glycerophosphocholine,8.67,4.849064789386194,3.820935210613806
Tyrosine,7.61,7.738797945854818,0.12879794585481807
Histidine,9.48,7.728119421901639,1.751880578098361
Phenylalanine,6.94,7.6680975793257655,0.7280975793257651
Betaine,7.24,8.174810105823994,0.9348101058239937
Lysine,9.54,7.634909355693922,1.9050906443060773
Taurine,7.85,4.847260780125982,3.0027392198740177
Glycine,8.33,7.680096536687861,0.649903463312139
Inosine,6.19,5.90029328752437,0.2897067124756303
Uridine,4.72,4.848881232826228,0.12888123282622832
Adenosine,4.77,4.570904626910542,0.1990953730894578
Uracil,2.4,4.288109534016911,1.8881095340169112
Creatine,8.15,8.013766449802358,0.13623355019764283
