NAME,Experimental RT,Predicted RT,mae
Nicotinamide,1.7,2.1161890152309297,0.41618901523092977
Glucose,1.84,2.25618784827891,0.41618784827890987
Raffinose,9.17,8.391443531836932,0.7785564681630674
Adenine,4.71,6.483640434673451,1.7736404346734513
Threonine,8.21,7.904106952406014,0.3058930475939867
Arginine,9.53,9.229248219157062,0.30075178084293697
Methionine,7.37,7.447205631826707,0.0772056318267067
Asparagine,8.81,8.569433410969022,0.24056658903097805
Cytidine,6.85,6.363635213016965,0.4863647869830343
Tryptophan,6.92,6.704738338692827,0.2152616613071725
Sarcosine,7.82,7.242440737920992,0.5775592620790082
Ethanolamine,7.15,6.994120941242723,0.15587905875727692
Hypoxanthine,4.99,4.567669334720742,0.422330665279258
Cysteine,5.31,5.726188714189167,0.41618871418916736
Creatinine,4.93,5.3461857088719125,0.41618570887191275
Sucrose,8.05,7.911576231575583,0.13842376842441784
Guanine,6.4,6.090874512776958,0.30912548722304223
Allothreonine,7.95,7.904106952406014,0.04589304759398605
Thymidine,2.57,2.9861859042098393,0.4161859042098395
1-Methylnicotinamide,6.26,5.466283678518019,0.7937163214819805
Isoleucine,7.18,7.849552020164542,0.6695520201645424
Leucine,7.08,7.97027328112886,0.8902732811288603
Valine,7.24,7.777455717124534,0.5374557171245335
Alanine,8.05,7.734803915501328,0.3151960844986723
Glutamine,8.19,8.397624346810074,0.2076243468100749
Glycerophosphocholine,8.67,7.423322880104507,1.2466771198954927
Tyrosine,7.61,7.493776361064984,0.11622363893501664
Histidine,9.48,7.068966109068859,2.411033890931141
Phenylalanine,6.94,7.1729370895336295,0.23293708953362913
Betaine,7.24,7.634440261115945,0.3944402611159452
Lysine,9.54,9.030500605783244,0.5094993942167552
Taurine,7.85,7.5238589029418055,0.32614109705819416
Glycine,8.33,8.02070977763856,0.3092902223614402
Inosine,6.19,6.4648166494583235,0.27481664945832307
Uridine,4.72,4.394419638319346,0.32558036168065385
Adenosine,4.77,6.962830796696161,2.1928307966961613
Uracil,2.4,3.744032126620838,1.3440321266208382
Creatine,8.15,8.015106803670324,0.134893196329676
