NAME,Experimental RT,Predicted RT,mae
Nicotinamide,1.7,3.176242425539716,1.4762424255397162
Glucose,1.84,6.80572496658325,4.965724966583251
Raffinose,9.17,8.456533566644035,0.7134664333559648
Adenine,4.71,6.093295788903931,1.383295788903931
Threonine,8.21,6.118746384667292,2.0912536153327093
Arginine,9.53,9.938089001244425,0.4080890012444254
Methionine,7.37,8.566275134442472,1.1962751344424722
Asparagine,8.81,7.27574957009579,1.5342504299042101
Cytidine,6.85,6.409846163017069,0.44015383698293054
Tryptophan,6.92,5.443757574460292,1.4762424255397075
Sarcosine,7.82,7.239293103962742,0.5807068960372579
Ethanolamine,7.15,6.534885652570712,0.6151143474292882
Hypoxanthine,4.99,4.38322094757264,0.6067790524273606
Cysteine,5.31,6.536744744003817,1.2267447440038177
Creatinine,4.93,4.527229950878804,0.4027700491211954
Sucrose,8.05,7.090271642350626,0.9597283576493751
Guanine,6.4,4.54414829916336,1.8558517008366406
Allothreonine,7.95,6.118746384667292,1.8312536153327086
Thymidine,2.57,5.2674414836065955,2.6974414836065956
1-Methylnicotinamide,6.26,6.4767745612027445,0.21677456120274474
Isoleucine,7.18,6.862991901774469,0.31700809822553033
Leucine,7.08,8.393879587977105,1.3138795879771052
Valine,7.24,6.1394576990868215,1.1005423009131787
Alanine,8.05,5.986345138724029,2.063654861275972
Glutamine,8.19,7.546261326527022,0.6437386734729778
Glycerophosphocholine,8.67,12.174086566552829,3.5040865665528287
Tyrosine,7.61,7.961651108950779,0.35165110895077856
Histidine,9.48,6.5399818750425895,2.940018124957411
Phenylalanine,6.94,8.064591316588931,1.1245913165889307
Betaine,7.24,8.982100209837752,1.7421002098377514
Lysine,9.54,9.33085651322736,0.20914348677263916
Taurine,7.85,6.568336861552579,1.2816631384474206
Glycine,8.33,7.2392931039627415,1.0907068960372586
Inosine,6.19,6.261060536922035,0.07106053692203496
Uridine,4.72,5.692978203356054,0.9729782033560541
Adenosine,4.77,6.620865560344412,1.8508655603444124
Uracil,2.4,3.9528745827042373,1.5528745827042374
Creatine,8.15,7.422210201304579,0.7277897986954214
