sel__k,MAE
1,1.5813878606898195
2,1.4754848189415115
3,1.4177315111343307
4,1.3953126921842793
5,1.353057538099192
6,1.4850638807918168
7,1.5587060212056294
8,1.5481311841443086
9,1.4664158780935472
10,1.5254329036616112
11,1.5128112264349376
12,1.5742203092042601
13,1.638742824288046
14,1.765624567960181
15,1.7892050302818763
16,1.844129858681828
17,1.8381944160686996
18,1.7139768050504225
19,1.7746552041477068
20,1.8809702762273377
21,2.0976748339079463
22,2.216827936795851
23,2.3424841154643508
24,2.2245736124699387
25,2.67741572292134
26,2.842506341502898
27,2.9500637680407586
28,131266437.513516
29,1455747098.9225335
30,28932507.096485615
31,9.316546355875719
32,13.705865362256565
33,38.688461194129836
34,31.349939000500065
35,29.00743799054891
36,27.744863526468812
37,6.986247873478589
38,6.294746771850701
39,3.886119835258897
40,4.265997489641266
41,3.864968048123802
42,4.294733061484442
43,3.892870280134845
44,3.4727732028874843
45,3.1083996299930257
46,3.0212099371403918
47,2.8843606868964526
48,2.7978197548791566
49,2.9068740027245776
50,3.0102468770481434
51,2.6463178462792616
52,2.6792349627880503
53,2.5652906001759344
54,2.4914327788686577
55,2.36045963725964
56,2.5742619596744962
57,2.6295243135110886
58,2.6594583649674255
59,2.5398516757636975
60,2.3342102859329077
61,2.3043606627467867
62,2.2877818470366207
63,2.3547886276596723
64,2.1536348128715344
65,2.295447888375572
66,2.142573517011328
67,2.130099909930964
68,2.2304559030109092
69,2.1898496405137005
70,2.099202431359534
71,2.069788559560881
72,2.0505659631364384
73,1.924928656337496
74,1.9676903022780325
75,2.0857536192997386
76,2.058696616690705
77,2.0888662611811117
78,2.0648780153023036
79,2.0349075701520287
80,1.9568881790100074
81,1.9673621095730718
82,1.9452478704871712
83,1.8919680467508517
84,1.845679070101281
85,1.7170288000865492
86,1.7371266177616143
87,1.7430207995927796
88,1.683604199043
89,1.6880965562974646
90,1.679079999750337
91,1.624088505364047
92,1.6123403958372304
93,1.6381022320728382
94,1.6433359739643065
95,1.7311262838943307
96,1.723019054307088
97,1.7218374605053464
98,1.7341685597727559
99,1.7557134040915516
100,412775146.50528795
101,26232727.856889177
102,1.6785660417391277
103,12.313806182024496
104,12.454445867123649
105,12.426694009672126
106,12.431638198914921
107,11.818831193543442
108,11.231434251384787
109,101267372.44212992
110,580.6473862800356
111,8135263.521718746
112,13.615883577740629
113,11.893632566100594
114,325319521.6826976
115,12.651737490707712
116,12.257542296188907
117,12.26808746377098
118,183247855.8125924
119,7903465.87998935
120,2813086.4335518205
121,25020002.597706724
122,44321168.52982411
123,34263372.81804634
124,58092236.345294245
125,7545570.78666314
126,65040070.77550546
127,43930051.21775455
128,10.760975698948906
129,23997.490942577107
130,193183.09904182464
131,9.050934023819346
132,9.003775536195455
133,530902.8572826614
134,9.524665247504636
135,9.475550637580708
136,162662.9714214411
137,189439.20613943457
138,175799.7536734483
139,66076.54196519087
140,70183.54053068823
141,137325.77381018442
142,7.09613790469505
143,198817.69937915727
144,224539.04852254738
145,100552.305581742
146,5.633442776147857
147,6.086256688091736
148,7.463659974761
149,7.395884474584324
150,5.475647305827451
151,6033829.605462079
152,5.490019125129851
153,5.669077495720795
154,5.668327407139399
155,5.668327407139399
156,5.668327407139399
157,5.668327407139399
158,5.668327407139399
159,5.668327407139399
160,5.6683274071394
161,5.668327407139399
162,5.668327407139399
163,5.6683274071394
164,5.6683274071394
165,5.6683274071394
166,5.6683274071394
167,5.6683274071394
168,5.6683274071394
169,5.668327407139399
170,5.668327407139399
171,5.6683274071394
172,5.668327407139399
173,5.668327407139399
174,5.668327407139399
175,5.6683274071394
176,5.6683274071394
177,5.6683274071394
178,5.668327407139399
179,5.6683274071394
180,5.668327407139399
181,5.668327407139399
182,5.668327407139399
183,5.668327407139399
184,5.6683274071394
185,5.6683274071394
186,5.668327407139399
187,5.6683274071394
188,5.668327407139399
189,5.668327407139399
190,5.6683274071394
191,5.668327407139399
192,5.668327407139399
193,5.668327407139399
194,5.668327407139399
195,5.668327407139399
196,5.668327407139399
197,5.6683274071394
198,5.6683274071394
199,5.668327407139399
200,5.668327407139399
201,5.683033239243502
202,5.683033239241825
203,5.683033239241076
204,5.683033239207116
205,5.683033239240114
206,5.683033239231891
207,5.683033239226805
208,5.68303323923505
209,5.683033239242161
210,5.683033239231744
