sel__k,MAE
1,1.6467700602172402
2,1.5969787834880471
3,1.5416093231573906
4,1.5343984853775952
5,1.4814457762958086
6,1.5034350899287154
7,1.519448557026691
8,1.5100888991866401
9,1.5128528470425355
10,1.5374420549836616
11,1.4520240336092667
12,1.4386198138887645
13,1.3207570038762833
14,1.3801929271149187
15,1.411187013164968
16,1.4201722661170455
17,1.3789845812705404
18,1.3943347732757265
19,1.3857675808691312
20,1.3600558092469919
21,1.384340048387112
22,1.3744586899074176
23,1.4061644579517443
24,1.3879103660195744
25,1.3539988200582787
26,1.3865963315531316
27,1.3456451518174801
28,1.3573580777530212
29,1.359878794281234
30,1.369298069489425
31,1.3508992395064274
32,1.3824063790461867
33,1.3953729073998025
34,1.3777753070777732
35,1.3974654960900332
36,1.3642201153212627
37,1.3624961811811531
38,1.3974343041476796
39,1.3702363872114025
40,1.3717535541880808
41,1.3574168508138302
42,1.3751413236667576
43,1.3720513650982888
44,1.382287693497581
45,1.3872371147192846
46,1.362318656685226
47,1.3609084577411583
48,1.3851483243596001
49,1.4139879798880386
50,1.438543734741271
51,1.4330915843391177
52,1.425139651268509
53,1.3966813027564513
54,1.3881804577455144
55,1.398688320956881
56,1.3804937190747462
57,1.386832737906807
58,1.3461962495379183
59,1.3764568351157196
60,1.3785811746011674
61,1.3592624146377732
62,1.393131860996422
63,1.379642609876129
64,1.4097093988482599
65,1.384591950360618
66,1.4057970789521963
67,1.3784504782487175
68,1.3768447862617768
69,1.4057890756878577
70,1.3683135857614572
71,1.355709111592708
72,1.3720613058716578
73,1.3702499312798797
74,1.3475853608650203
75,1.3429296699410012
76,1.340895047209822
77,1.316922767386512
78,1.3444224203643274
79,1.3517900441927888
80,1.3180317522141516
81,1.3247407875673949
82,1.3355883193740357
83,1.3376308520486668
84,1.2948410583219774
85,1.274873997681874
86,1.3184908787583458
87,1.333279934199178
88,1.310844815134169
89,1.3380796870371683
90,1.2685646367656673
91,1.3233500038116615
92,1.3124434005211332
93,1.307367964756769
94,1.3074617847863867
95,1.3100834953331328
96,1.3461768206628728
97,1.315851988815253
98,1.321494240891092
99,1.3287431953324118
100,1.3299564260901553
101,1.3323718782636829
102,1.3380339846511584
103,1.3213073813262872
104,1.3369410616285284
105,1.3360824030562157
106,1.3400054541850328
107,1.3559736174857309
108,1.3197433765278808
109,1.3287222037688788
110,1.3172997896658571
111,1.3136845389839742
112,1.3007393727315455
113,1.3220912618415837
114,1.3320420029654134
115,1.3366051298346926
116,1.2945106600367644
117,1.307001160490532
118,1.268003943558236
119,1.2676237246248852
120,1.2704649874557872
121,1.2731256726775964
122,1.262192160461396
123,1.2558314360127327
124,1.2641037453346295
125,1.2662664851375713
126,1.263721026684558
127,1.253125095991154
128,1.2643507563045036
129,1.2643151525160803
130,1.2550884511599394
131,1.2653640204801444
132,1.2612441839665611
133,1.2676038790164335
134,1.2667504758170198
135,1.2617042004147712
136,1.2664769561649287
137,1.2678697557436185
138,1.2710909339850536
139,1.2647105896749655
140,1.2709677933214354
141,1.2660060996984044
142,1.2669272811737382
143,1.2737870966572389
144,1.2682931707385308
145,1.2746812479803273
146,1.258026155785798
147,1.2654108464220972
148,1.2579078104907644
149,1.2605859646205173
150,1.260741812962925
151,1.266563064461949
152,1.2756511578445824
153,1.264782453863578
154,1.2736056725588445
155,1.2452491071074754
156,1.287607491223251
157,1.2516309234576295
158,1.2420373641015805
159,1.2419036816692142
160,1.23707861111097
161,1.236258570541966
162,1.23719249341183
163,1.2349766168515504
164,1.2318824665319865
165,1.237511245793589
166,1.2341547288067978
167,1.2460380903356187
168,1.2410700874443799
169,1.248097053120244
170,1.2457101285709136
171,1.2428771080589789
172,1.23836171919725
173,1.2486121027756776
174,1.2366366955682218
175,1.2372669573999977
176,1.231686908662603
177,1.2426568217550815
178,1.2415126101567915
179,1.2391665476992841
180,1.2360212718667933
181,1.239500051379222
182,1.2339926732061275
183,1.2369794672479804
184,1.245321612587294
185,1.2382827370599883
186,1.2426651269587476
187,1.231402711260237
188,1.2307302801335207
189,1.2307131352155918
190,1.231381858572587
191,1.2336396541695047
192,1.2276027253520956
193,1.2277708454388685
194,1.227768142166954
195,1.2326777839274035
196,1.2311752606656567
197,1.2311746662250296
198,1.2319640239362277
199,1.2319622714551146
200,1.2322124764726874
201,1.2379042609602353
202,1.237181767647124
203,1.2423963509809928
204,1.238818810157102
205,1.2423610878203228
206,1.2423642067685756
207,1.242364852552541
208,1.2414422696935425
209,1.2414992906073088
210,1.2414958644511278
