sel__k,MAE
1,1.603796512834425
2,1.6388318760303167
3,1.6615320263136089
4,1.6892270938261347
5,1.6808278806902415
6,1.7867484208178914
7,1.5722529665022338
8,1.5735654873662293
9,1.7280682296926928
10,1.7065145668492563
11,1.8595712653454923
12,1.9230022343382014
13,1.8899041760825133
14,1.7843302780343906
15,2.1410860968446483
16,2.3297279912389213
17,2.2732879768159235
18,2.4483402635624096
19,2.3356355881484534
20,2.4411519621447844
21,3.086122084283144
22,2.6351816601416393
23,2.8456611266827676
24,2.6530293027352956
25,3.5429155093266558
26,4.269312567930337
27,3.5800466263909287
28,4.668058969740199
29,5.147338650561825
30,8.39285590203281
31,31.74139160682254
32,9.607157731131435
33,8.99148912760072
34,5.789850303675766
35,4.434406244832658
36,4.214656600625348
37,4.404086072354184
38,4.716768999795296
39,4.020627635022729
40,4.190346470508093
41,3.048543777377164
42,3.291926670996982
43,3.284680126155011
44,3.512977213666753
45,3.3660208303261414
46,3.3489722584582133
47,2.945398408273856
48,3.2732018585947005
49,3.518123563990557
50,3.119103430237988
51,3.153879456267412
52,3.073402317403961
53,3.054309209467241
54,3.6426169253748766
55,3.1455106482739774
56,3.3970643042690885
57,3.1631801622101814
58,3.3132299969340298
59,2.909289719399711
60,2.8373329079008944
61,2.8761352964162534
62,2.6705486239168414
63,2.562379937766163
64,2.647372754787709
65,2.536485078443861
66,2.597016304612951
67,2.5156094750306655
68,2.4851320939301633
69,2.5571383230862628
70,2.506666742943518
71,2.493603080201614
72,2.4204587067759595
73,2.5064465729703858
74,2.3276909986243917
75,2.3797648505753717
76,2.346158251505643
77,8327214.232693088
78,372638004.78017914
79,3213620.9985627225
80,9339445.995814422
81,9668078.90609357
82,11410112.530107351
83,4155204.1875357674
84,844174.8282102068
85,11843217.666574301
86,7966264.103906327
87,583665.415278045
88,21606725.206519622
89,1.9557646707030927
90,1949179.693239114
91,10.161420592034533
92,10.068786262460254
93,2.102199804622815
94,2.5580971244333797
95,6365628.128042132
96,2.5635669482349317
97,3.479082997673545
98,115877760.30251811
99,9.6789460561459
100,11.315931668985387
101,3.332728332692211
102,4.397724152510052
103,2.3719822631180785
104,122128546.73929858
105,11.378504570866799
106,8.285310817939422
107,2.698868338125546
108,3.1596696094263743
109,9598291.250773001
110,3.2242493220049675
111,1060526.8422376406
112,6.0011249759337915
113,7.005852974163335
114,9288700.808271056
115,6.903576239934575
116,6.489526742033759
117,3.2469684139326023
118,9288703.959117888
119,6.459930109260421
120,3.262595429826758
121,6.896402215707221
122,6.276682374478749
123,6.4173575071974485
124,3.232124884542025
125,3.3373450188543115
126,7.0367444993875745
127,7.387832038791216
128,3.303375828238983
129,6.529824008498433
130,6.969666209427118
131,15252697.800303848
132,6.929732285643821
133,6.735255592635072
134,6.00195312672881
135,6.162189498498183
136,6.597968832046937
137,6.682119263540115
138,6.735648077126859
139,6.637792518581231
140,6.462466415066104
141,6.576292331558447
142,7.221597449851227
143,93901260.13336994
144,3.4268382502181765
145,858598645.2482247
146,149258331.20870706
147,3.3356852695960533
148,6.751385687672182
149,6.476267178943517
150,7.6353614673240635
151,2.4566292202676694
152,1779857.8344606136
153,2.742791047489358
154,6.869686122169386
155,2.884115794541487
156,6.536656206958918
157,8.260579765056693
158,3.094545080446003
159,3.020925315517339
160,47408412.583155416
161,49262388.23955347
162,6.653809253367837
163,6.905397853070051
164,8.495362500680503
165,11585.491060052846
166,12222905.487454433
167,6.547415228282844
168,6.439018392188
169,2.390272196113467
170,6.373098856660762
171,174066144.44220513
172,3.039249090994296
173,6.294895991803966
174,204478625.7044963
175,10718775.878479183
176,6.790858297483243
177,2.531261085537604
178,2.496414338614763
179,16287872.76392557
180,6.216714717175089
181,6.803617024035159
182,496666.9450940128
183,6.09921839821943
184,5236827.623912687
185,210852313.91440398
186,45728994.63750369
187,1.8085423511194625
188,7241187.762394179
189,2.101701607405406
190,2.3857617720550994
191,2432332.6765773017
192,227970406.42294228
193,939839.882858852
194,1668374383.3774102
195,306189.53556441324
196,579534.9254743999
197,259951.36660521192
198,5.976960047513886
199,11962.878758323333
200,710393.044514285
201,5.2625914773647855
202,5.336267981791508
203,5.348225539777101
204,5.196756046197037
205,5.152071617382816
206,5.156920880621852
207,5.223186495536813
208,5.419580309729609
209,5.706761083352939
210,5.683033239231744
