Feature,Score
NOCount,138.91196894138452
MolMR,134.97672362409818
NumHeteroatoms,103.46867351485695
EState_VSA1,90.71104062914982
PEOE_VSA10,86.13277750727488
VSA_EState1,83.7655776389668
BCUT2D_MRHI,76.87138143483625
PEOE_VSA7,71.4310665197533
SPS,67.57552916301077
SlogP_VSA3,61.475354919860784
NumRotatableBonds,53.94305660430509
NumAliphaticCarbocycles,52.89281128306901
VSA_EState8,51.34919679396557
EState_VSA10,48.99204651491412
SMR_VSA10,43.25068199623681
fr_N_O,38.829783185648466
SlogP_VSA6,36.620966326306736
VSA_EState7,36.00447725548935
SlogP_VSA7,35.32361736398403
qed,34.29374017357782
VSA_EState9,33.295863995908874
SMR_VSA8,33.007836883477694
EState_VSA6,32.12182376618026
NumHDonors,27.304352854005423
SMR_VSA7,24.93902635074258
NumAromaticHeterocycles,24.494666651637683
fr_benzodiazepine,24.494666651637683
SlogP_VSA10,24.143060182259624
EState_VSA7,23.355862256746946
VSA_EState5,22.91372807368001
PEOE_VSA11,22.81358845907532
