Feature,Score
MolMR,0.49030055162737884
PEOE_VSA10,0.4613206252892659
NOCount,0.4028987266285622
BCUT2D_MRHI,0.3870425595854661
VSA_EState9,0.3554858957934055
Ipc,0.3526122923846149
EState_VSA1,0.3494937831902458
fr_Al_COO,0.3349421405505253
VSA_EState1,0.33324876119352576
MinPartialCharge,0.3291872693018325
PEOE_VSA7,0.32291688141790487
VSA_EState3,0.32198605836831007
qed,0.31231155846118686
SlogP_VSA3,0.3093310997253509
FpDensityMorgan1,0.3080302176162837
NumRotatableBonds,0.29262524309094884
NumHeteroatoms,0.29173235661875596
Chi1,0.2845054985570483
NumHDonors,0.28269014614774335
Chi1n,0.27353658038150774
PEOE_VSA1,0.2709857280545509
VSA_EState5,0.27002419849533155
SPS,0.2658994444151177
NumAliphaticCarbocycles,0.2551358767847627
VSA_EState7,0.2516446198713549
MolWt,0.24866849206984432
SMR_VSA10,0.24632391209828297
BalabanJ,0.24534240279021668
BCUT2D_CHGLO,0.24161485032302732
MaxAbsPartialCharge,0.23969221982028222
EState_VSA10,0.23664340575103138
Chi1v,0.23633593063757674
MinAbsPartialCharge,0.23541359638468595
Kappa2,0.2342888778556138
HeavyAtomCount,0.2253752982489856
Chi0v,0.22493128490985947
SMR_VSA6,0.2173112337519858
BCUT2D_CHGHI,0.21565389264992207
NHOHCount,0.21435423761699157
PEOE_VSA2,0.2138636814489363
BCUT2D_MRLOW,0.20818274146447013
VSA_EState4,0.2039282894960106
SMR_VSA2,0.20095704638376422
Chi2n,0.19803294031722096
EState_VSA11,0.19667314739262665
Chi0n,0.1953546467922327
ExactMolWt,0.1891833829623648
LabuteASA,0.1879053549438443
VSA_EState6,0.1849171788845485
MinEStateIndex,0.18350627511864603
SlogP_VSA6,0.18097845142440772
Chi3n,0.1739862881902825
Chi4v,0.17312228717529266
NumValenceElectrons,0.16974409462489692
fr_C_O,0.1692986974897619
fr_COO2,0.1692986974897619
HeavyAtomMolWt,0.1684071878992266
Chi4n,0.16733554459604205
NumRadicalElectrons,0.16372089910510912
PEOE_VSA11,0.1623020156863868
EState_VSA5,0.160488716589541
EState_VSA9,0.15961716706459006
VSA_EState10,0.1585578398816032
VSA_EState8,0.15079025642590071
SMR_VSA7,0.15068182041010525
AvgIpc,0.1491431204750837
SlogP_VSA4,0.14749143979754997
Kappa3,0.14617385495511082
BCUT2D_LOGPLOW,0.14583886626634657
SlogP_VSA10,0.14374716045660518
SMR_VSA8,0.143171091122964
BCUT2D_MWLOW,0.14111694195047453
Chi2v,0.140712171448504
fr_C_O_noCOO,0.13937540992990138
Chi0,0.13534721840006902
NumSaturatedCarbocycles,0.130493453050053
Chi3v,0.12604390369475782
fr_Al_OH,0.12514183594314643
HallKierAlpha,0.12078009972653181
fr_ArN,0.11880654823825765
FractionCSP3,0.11592050240428242
SlogP_VSA7,0.11176165177569963
EState_VSA7,0.11172717642537355
EState_VSA3,0.10655250669334349
MolLogP,0.10147717454077476
FpDensityMorgan3,0.10066861726943266
BertzCT,0.09808448014305737
NumHAcceptors,0.08999041541251285
NumAromaticHeterocycles,0.08341724354218027
fr_benzodiazepine,0.08341724354218027
EState_VSA4,0.0827155338935679
fr_Al_OH_noTert,0.0780732334635117
EState_VSA8,0.07198141874736108
fr_N_O,0.07066914882036834
SlogP_VSA2,0.07050559747593899
fr_piperdine,0.06885654434872679
fr_phos_ester,0.06885654434872679
BCUT2D_MWHI,0.06683802922997062
fr_urea,0.06356402865175115
PEOE_VSA12,0.060711759074383975
FpDensityMorgan2,0.06054000851421426
BCUT2D_LOGPHI,0.057117065545200685
MinAbsEStateIndex,0.057019840011725
MaxEStateIndex,0.05540171703437835
