Feature,Score
MolMR,0.489538076117757
PEOE_VSA10,0.4572619424872064
NOCount,0.4013735033370103
BCUT2D_MRHI,0.38513958437662676
EState_VSA1,0.35540159272771055
Ipc,0.3532350091031331
VSA_EState9,0.3507810864399161
VSA_EState1,0.33987505000727003
fr_Al_COO,0.33534016159951685
MinPartialCharge,0.33180309829473265
VSA_EState3,0.3225608656178749
PEOE_VSA7,0.3192219689126943
qed,0.31117853838564313
FpDensityMorgan1,0.30893569843702107
SlogP_VSA3,0.3077631530974365
NumHDonors,0.28507455553645666
Chi1,0.2846000205138477
NumRotatableBonds,0.28076935833170724
NumHeteroatoms,0.277954679871252
Chi1n,0.2736540603913573
NumAliphaticCarbocycles,0.27219534528361766
VSA_EState5,0.27173110562723846
PEOE_VSA1,0.270107792276828
SPS,0.2655751156383164
VSA_EState7,0.2522235589865711
SMR_VSA10,0.24871111806478252
MolWt,0.24766282410942564
BalabanJ,0.24448248196625588
BCUT2D_CHGLO,0.2423897239106214
EState_VSA10,0.23811875115380543
MaxAbsPartialCharge,0.23804923828154045
Chi1v,0.23544017789751814
MinAbsPartialCharge,0.23527981826641797
NHOHCount,0.2311693541292259
Kappa2,0.23036223400083422
Chi0v,0.2234755367336283
PEOE_VSA2,0.22061629434844132
SMR_VSA6,0.21905413804516893
HeavyAtomCount,0.21739626387902788
BCUT2D_CHGHI,0.21388907171034344
BCUT2D_MRLOW,0.20766719288428126
EState_VSA11,0.20581144504652338
VSA_EState4,0.20344599547694964
SMR_VSA2,0.19945508812458357
Chi2n,0.19694793899249552
Chi0n,0.19435027381352654
ExactMolWt,0.1891041631262227
LabuteASA,0.18594629267573115
MinEStateIndex,0.1849725103680946
VSA_EState6,0.18081049471477328
Chi3n,0.1728841339310221
SlogP_VSA6,0.17158745502105743
VSA_EState10,0.17152008964103205
Chi4v,0.17106806372016292
NumValenceElectrons,0.17089113965233338
NumRadicalElectrons,0.1701009357512664
Chi4n,0.16727593461735824
HeavyAtomMolWt,0.1672723466347774
PEOE_VSA11,0.1634912127394439
fr_COO2,0.16282427924349885
fr_C_O,0.16282427924349885
EState_VSA5,0.15737475230868947
SMR_VSA7,0.1535168547172625
EState_VSA9,0.15133290299243418
AvgIpc,0.14791399393185056
Kappa3,0.1475810037053895
BCUT2D_LOGPLOW,0.14695600620343408
VSA_EState8,0.14147952023222077
SlogP_VSA10,0.14015650974032434
Chi2v,0.13928084961696863
fr_C_O_noCOO,0.13850908773042803
SlogP_VSA4,0.13743768576548554
SMR_VSA8,0.13493179848739167
Chi0,0.13485699130214535
BCUT2D_MWLOW,0.12898946200112826
Chi3v,0.1262422811352395
fr_Al_OH,0.1257910114709626
fr_ArN,0.12176733300540032
HallKierAlpha,0.12086443367534416
NumSaturatedCarbocycles,0.11962961560836272
FractionCSP3,0.115161619857443
EState_VSA7,0.11423453485791812
SlogP_VSA7,0.11360465738920089
EState_VSA3,0.11170878705409182
FpDensityMorgan3,0.10015023407315748
BertzCT,0.09707066560286304
MolLogP,0.09568075840307522
EState_VSA4,0.09492322902558392
NumHAcceptors,0.08947734738678159
fr_benzodiazepine,0.08380806186311873
NumAromaticHeterocycles,0.08218993888577164
fr_Al_OH_noTert,0.07378487930075739
fr_N_O,0.07080270817722867
EState_VSA8,0.07079118526918737
SlogP_VSA2,0.06767150267296906
fr_phos_ester,0.06723842137138059
fr_piperdine,0.06723842137138059
FpDensityMorgan2,0.061946095603544915
PEOE_VSA4,0.06192223275840991
PEOE_VSA12,0.05975858659987798
MinAbsEStateIndex,0.059651823306119844
MaxEStateIndex,0.059651823306119844
SMR_VSA4,0.0592720529033941
BCUT2D_LOGPHI,0.05824882173565005
BCUT2D_MWHI,0.05761371336957399
