Feature,Score
MolMR,0.4910440618849181
PEOE_VSA10,0.4575116497390086
NOCount,0.39661433468404095
BCUT2D_MRHI,0.38875439977188053
Ipc,0.3572398773755916
VSA_EState9,0.35573488944629483
EState_VSA1,0.3432651496669621
fr_Al_COO,0.33831556042324795
VSA_EState1,0.33186327481123934
MinPartialCharge,0.3306077014954196
VSA_EState3,0.32166101734866626
PEOE_VSA7,0.319514808494773
qed,0.31338717883585065
FpDensityMorgan1,0.31159897874842457
SlogP_VSA3,0.3069736091646216
NumAliphaticCarbocycles,0.2886605612254787
Chi1,0.28431582272847544
NumHDonors,0.2842821463117309
NumRotatableBonds,0.28406305343889704
NumHeteroatoms,0.283973466263566
VSA_EState5,0.27740200758114586
Chi1n,0.27102685534720194
PEOE_VSA1,0.26973056359006486
SPS,0.2677123860331321
SMR_VSA10,0.2559144534573141
VSA_EState7,0.24739838693079186
MolWt,0.24699224499022954
BalabanJ,0.24622893563053383
NHOHCount,0.24119238258790743
BCUT2D_CHGLO,0.24026753242376442
MaxAbsPartialCharge,0.2377057851689548
Chi1v,0.2370111992740105
MinAbsPartialCharge,0.23564400056901968
Kappa2,0.2339130473299238
EState_VSA10,0.2282677193648568
Chi0v,0.22448123185278623
SMR_VSA6,0.2205000199322864
HeavyAtomCount,0.22023356937251437
BCUT2D_CHGHI,0.2163773780821452
PEOE_VSA2,0.2082067149211264
BCUT2D_MRLOW,0.20801010032383527
VSA_EState4,0.20082316625100383
SMR_VSA2,0.20020666510428287
Chi2n,0.1986823372385218
Chi0n,0.189058013178951
ExactMolWt,0.1885843481847651
EState_VSA11,0.18801310484836753
VSA_EState6,0.18526661404325662
LabuteASA,0.18476004053358452
MinEStateIndex,0.18305448982638017
NumRadicalElectrons,0.18052270496669287
PEOE_VSA11,0.17708468530247812
Chi3n,0.17357918167305897
Chi4v,0.17257491820206505
NumValenceElectrons,0.1722454937229947
SlogP_VSA6,0.17116430773440916
HeavyAtomMolWt,0.17047048313188862
Chi4n,0.1669114970175496
fr_C_O,0.16262394020820836
fr_COO2,0.16262394020820836
VSA_EState10,0.15816442204631498
EState_VSA5,0.15480557905030512
EState_VSA9,0.1542149351225417
