sel__k,MAE
1,1.9753616215155354
2,1.8355788838982454
3,1.8551096074770341
4,1.9010001635023202
5,1.8926577872037786
6,1.8573132014902596
7,1.7825714734648246
8,1.7796268336796706
9,1.779626953217471
10,1.779626937167826
11,1.7798450617335855
12,1.780028959723695
13,1.782411279293801
14,1.7799386636177454
15,1.7819011525375108
16,1.7820540748634555
17,1.7768451945040264
18,1.761323450183788
19,1.7434503147649931
20,1.7104421767446751
21,1.6938395585795987
22,1.6852701428974273
23,1.6803819790950105
24,1.6637518952363781
25,1.6370934109121904
26,1.6293892361945252
27,1.617994826771806
28,1.6147301308735362
29,1.6145495021373386
30,1.6107654736654797
31,1.60217973301679
32,1.5988352373938328
33,1.5985319213814457
34,1.597620000728528
35,1.5976740851277802
36,1.5976740105872864
37,1.595164465855657
38,1.5949650992177602
39,1.596793549564252
40,1.5967935572100556
41,1.5956799155286134
42,1.5964802193243137
43,1.5981274290019025
44,1.5981275301908997
45,1.598127523516642
46,1.5982502714842428
47,1.5980312632758114
48,1.5970940102412177
49,1.5970940051370979
50,1.5983874463239889
51,1.5983874642929246
52,1.5985555507203464
53,1.5983316593395442
54,1.5983316695398955
55,1.5983316695398955
56,1.5982789382700477
57,1.5979416992484727
58,1.5979415478914716
59,1.5973580405894932
60,1.5973581260690426
61,1.5965049341334734
62,1.5965049341334734
63,1.596955683153955
64,1.5969555272626674
65,1.5965965572828533
66,1.5961222695603567
67,1.5999440724513936
68,1.598354916964439
69,1.5982461038523283
70,1.5982461000061343
71,1.5982777588752641
72,1.5943396970853068
73,1.5943395473728945
74,1.5943395490014955
75,1.59433955064109
76,1.594418577723838
77,1.5944477362941814
78,1.5949817370894537
79,1.59482218068055
80,1.5948221835286067
81,1.594478440365753
82,1.594576090508128
83,1.594576120965558
84,1.5950393249417416
85,1.593684279081073
86,1.5940426863542638
87,1.5940426863542638
88,1.5940426832335348
89,1.5940426827252028
90,1.5940426706459927
91,1.594014396362764
92,1.5921156285790516
93,1.592115632612779
94,1.592115632612779
95,1.5887418254641539
96,1.5887418254641539
97,1.5848333047384802
98,1.5834730951835634
99,1.5808839646289339
100,1.5794619090575885
101,1.5771029643315695
102,1.9012859846268728
103,1.8978692088503688
104,1.8973204369126704
105,1.8961973350418346
106,1.5669207378377383
107,1.5676424654993797
108,1.5676411050973504
109,1.5683853838362345
110,1.567984328084678
111,1.5634731556646624
112,1.5587038692233801
113,1.5586054114613217
114,1.558605411244889
115,2.128804907894806
116,2.0605107712096715
117,2.060116753278556
118,2.060116753004792
119,2.060116752938684
120,2.060774819967625
121,2.061192359670549
122,2.0597104947210143
123,2.058969115947289
124,1.8735004386213066
125,1.8735004385814085
126,1.8741055825651938
127,2.9853257297174034
128,2.985325731550714
129,4.3099028763442355
130,4.311184390639229
131,4.310276196511372
132,4.30694816921653
133,4.299710912057149
134,4.299710912058314
135,4.299014385491763
136,4.302836652844935
137,4.304884540909517
138,4.304884540690055
139,4.384360658013336
140,4.384776234742137
141,4.384776234758593
142,4.385863249666515
143,4.385863249539529
144,4.433928007725603
145,4.434249122777686
146,4.387793673143976
147,4.279491678534429
148,4.280220065846536
149,4.281192211257522
150,4.281192209851466
151,4.280877934358481
152,4.280877934358481
153,4.27224449718262
154,4.218903371219636
155,4.218906663587459
156,4.9392541137195405
157,4.94146401644834
158,4.941463809942283
159,4.943130352843529
160,4.9389377482804315
161,4.938937770895309
162,4.938937770895054
163,4.931467395321358
164,4.925817497655509
165,4.925825100113143
166,4.916724423051895
167,4.879100668013749
168,4.807103503426647
169,4.808754627075415
170,4.808754627075394
171,4.808754627209433
172,4.810314469415119
173,4.8027195078949125
174,4.831230750738326
175,4.826118647258141
176,4.826118647258141
177,4.826118644086918
178,4.826118644086918
179,4.826118644086918
180,4.826118644086918
181,4.826118644086918
182,4.826118644086918
183,4.826118644086918
184,4.826118644086918
185,4.826118644086918
186,4.826118644086918
187,4.826118644086918
188,4.826118644086918
189,4.826118644086918
190,4.826118644086918
191,4.826118644086918
192,4.826118644086918
193,4.826118644086918
194,4.826118644086918
195,4.826118644086918
196,4.826118644086918
197,4.826118644086918
198,4.826118644086918
199,4.826118644086918
200,4.826118644086918
201,4.826118644086918
202,4.826118644086918
203,4.826118644086918
204,4.826118644086918
205,4.826118644086918
206,4.826118644086918
207,4.826118644086918
208,4.826118644086918
209,4.826118644086918
210,4.826118644086918
