sel__k,MAE
1,1.9173108029821206
2,1.7032241188893251
3,1.6596950263090584
4,1.6489909282176507
5,1.6415881174180043
6,1.6362849225934153
7,1.640647632035053
8,1.6072017863894883
9,1.5965657111714435
10,1.5872100020886133
11,1.579560326749267
12,1.5515198723116697
13,1.5629552784652856
14,1.564911144253304
15,1.552976157793003
16,1.5492167857573664
17,1.5471607578206121
18,1.5339789342374621
19,1.4991418204987377
20,1.4921169916280126
21,1.4825097272711096
22,1.4737118632210102
23,1.4604213231756533
24,1.4429918476865151
25,1.4521876737088777
26,1.447984184427508
27,1.4323354173501435
28,1.4353088355446137
29,1.4359917144252763
30,1.434759451100048
31,1.4302683973793608
32,1.438219394992993
33,1.4487967384754183
34,1.458871522282346
35,1.4595920995527316
36,1.4698230653900923
37,1.4722519478558052
38,1.4810372055767755
39,1.4731426206021347
40,1.4739368715955659
41,1.472889041055572
42,1.4685860525483228
43,1.4630534852287136
44,1.4693569798638744
45,1.4685079143592772
46,1.4821711276181175
47,1.4873069166195907
48,1.494709539155893
49,1.4840496902432843
50,1.4765793655545731
51,1.4832300157471967
52,1.4838752440683578
53,1.483587455409389
54,1.4837342703623173
55,1.4972840058149306
56,1.4965530329109682
57,1.5162405471978166
58,1.5125173536735814
59,1.523180746382905
60,1.5142127125753952
61,1.4979495717382532
62,1.518590261015287
63,1.5193512467314017
64,1.5148676541860013
65,1.5073268288228612
66,1.504448065364605
67,1.5188409032423786
68,1.5175162900208112
69,1.524645339525133
70,1.5159838794871556
71,1.4982412616316145
72,1.4974454314995576
73,1.5092453206803438
74,1.4958792782565822
75,1.4943727188412863
76,1.4766734945596296
77,1.4904756122810265
78,1.4994553618253776
79,1.489967423662602
80,1.5039164114468717
81,1.5166093768022395
82,1.5155855814694312
83,1.5438716847377623
84,1.552226773287233
85,1.56171817634336
86,1.584890074388136
87,1.5877843429537593
88,1.5738377845864762
89,1.5887635799553523
90,1.591581087984963
91,1.6533651899374893
92,1.653199121030449
93,1.6551240745169482
94,1.6463879641584573
95,1.6400750590570499
96,1.6396607846317643
97,1.678971962970309
98,1.6985867517117341
99,1.7000184776377887
100,1.7064289445382665
101,1.6715815819823046
102,4.5478384737984685
103,4.6745253007624035
104,4.657302281820146
105,4.433910669510796
106,4.500237587852065
107,4.375196390664554
108,3.7059602031006316
109,3.332552608669795
110,1.897166500762592
111,2.146784477421057
112,2.9737511157478482
113,3.118449771298468
114,2.2304121858164647
115,4.353869274358558
116,4.278620881627748
117,5.031343311438342
118,7.295351034615959
119,8.455494046100714
120,8.772974987378403
121,8.257532736345716
122,9.938723995771324
123,10.322877558186416
124,10.477113145486562
125,10.747543529819687
126,11.064499511754853
127,14.60759050198883
128,15.267888634285436
129,17.36342681672274
130,20.67964329371853
131,26.327282613725394
132,27.589003802662845
133,38.78905888909768
134,38.374964445759964
135,38.85562803358141
136,37.64645846545754
137,56.950475338875634
138,78.4861396221207
139,61.856821394458066
140,59.08513380848496
141,82.9395466804969
142,75.34049345085357
143,72.38471401727789
144,92.17318943940106
145,82.80683885653731
146,62.16521473534452
147,155.0729465772861
148,122.89871518541062
149,99.0928356231118
150,122.18916935656209
151,121.71361951650569
152,166.0526678915774
153,281.4344810238139
154,277.39382616995283
155,327.5046618761826
156,749.0010188615233
157,734.3173083731472
158,708.3170574359971
159,721.3001039656378
160,323.0646370057241
161,798.7554809104296
162,1555.9608747238456
163,1311.2138915289388
164,1743.579331690635
165,1519.6842431121183
166,820.6380393400843
167,2746.134529444901
168,5193.255512285646
169,1278.1579075786249
170,5777.178292347183
171,3489.8206010726353
172,8092.4290941884055
173,14802.544098052886
174,8891.445187722247
175,12693.648721395777
176,6134.902888215296
177,24299.804340786974
178,5423.556011546141
179,11468.671121312202
180,19426.765153275148
181,17758.47823447053
182,46924.64353493133
183,7010.42871784796
184,8091.1124128121
185,12550.00642732868
186,24176.332359427306
187,30878.288752336422
188,10515.751333517886
189,11120.786464531428
190,12713.997691652237
191,8829.96139449901
192,4635.561349135572
193,28142.499805750325
194,6135.901923159452
195,5423.272864140604
196,9039.83160094544
197,5199.347931021987
198,15798.777915632725
199,13214.119198814113
200,7512.94857058254
201,6130.739784636255
202,25785.308581206096
203,6214.75073852942
204,22793.749262222707
205,22853.934574254887
206,41982.654488836015
207,20978.45934256612
208,31904.30309931101
209,10659.432351198971
210,33291.26781680738
