sel__k,MAE
1,1.6707703418270006
2,1.3354677894135054
3,1.3098329011972019
4,1.2422747903775444
5,1.1730603251502107
6,1.1681506782351359
7,1.1532507430051118
8,1.140487355394135
9,1.1267242675544795
10,1.1099452228948075
11,1.0979306333064298
12,1.0909160288539141
13,1.1013863403954802
14,1.1010226265805758
15,1.1016917764998653
16,1.103590979889696
17,1.0981833782620392
18,1.0957126490449285
19,1.090089441283293
20,1.1029302304277642
21,1.0822722559187516
22,1.0813502325800373
23,1.0834851504573584
24,1.072353254977132
25,1.0635130647027173
26,1.0639819903147698
27,1.062941298560667
28,1.0748332052730698
29,1.0754602484530535
30,1.0766491397632503
31,1.0761132815442562
32,1.0728546154156575
33,1.065117642386333
34,1.0604652075598602
35,1.062064778786656
36,1.0467095925477534
37,1.0432970150659133
38,1.0280997574656983
39,1.0322756400322841
40,1.0283138265402207
41,1.037064017890772
42,1.0244934227199354
43,1.0333646581248321
44,1.0222461939736347
45,1.0242244338848532
46,1.0193467193301051
47,1.0225295686037126
48,1.0149456499865483
49,1.0136347889426958
50,1.0176238657519503
51,1.023137943637342
52,1.0201635343018565
53,1.0267862471078828
54,1.0207527454936776
55,1.02193658118106
56,1.0233581574522463
57,1.0279312233656173
58,1.0285804503631961
59,1.0261299189534572
60,1.0258446988162495
61,1.0314307813424803
62,1.0282659408797419
63,1.0333975831988162
64,1.031656421912833
65,1.0321463658864676
66,1.0323247361447405
67,1.0299280134517084
68,1.02909736669357
69,1.0326873592951304
70,1.038119868442292
71,1.0366313149044928
72,1.033066186709712
73,1.0278827615684694
74,1.0272643724105461
75,1.0297869441754102
76,1.034578603040086
77,1.0411711643126176
78,1.0319786366020987
79,1.0306040470809794
80,1.0330587498654829
81,1.0280653260694108
82,1.0251203737557169
83,1.0320276571832119
84,1.0291591476324993
85,1.0304720585149314
86,1.0243652438794726
87,1.0315996881894
88,1.035374611850955
89,1.0363544753833736
90,1.0412717901533495
91,1.0324987233656173
92,1.0325304238633306
93,1.0397665634920634
94,1.0344379669760562
95,1.0318655736481035
96,1.0371453646085553
97,1.026335715630885
98,1.036734605125101
99,1.0314534153214958
100,1.0251259038875438
101,1.0270521865079365
102,1.0232599368442292
103,1.0261364201641106
104,1.0206418623890234
105,1.0219463906376107
106,1.0227291337772395
107,1.0266213640704869
108,1.0326816802528922
109,1.0306843188727468
110,1.0302829227199355
111,1.0273990205138552
112,1.0296341251008878
113,1.0247908313828356
114,1.0285822016411084
115,1.0215693462469733
116,1.0275037719935431
117,1.0279119156577885
118,1.0280866523405974
119,1.0164251348533766
120,1.0158087584073179
121,1.028078400322841
122,1.0275794789480763
123,1.0278593166532148
124,1.0255336396287327
125,1.0225425365213883
126,1.0276437029862793
127,1.0219073381759485
128,1.0229958320554213
129,1.0312812407183212
130,1.022690725921442
131,1.0244687206080174
132,1.022934027777778
133,1.0219795837368846
134,1.0248398288942697
135,1.0254842865886469
136,1.023313146959914
137,1.0251437991659942
138,1.028040829297821
139,1.0247626495829971
140,1.0232912763653483
141,1.026355703726123
142,1.025445511164918
143,1.0272491359967715
144,1.0242540653753025
145,1.0286682015065913
146,1.026214890503094
147,1.0323862888754372
148,1.0324149763922519
149,1.0369714680521926
150,1.0330766542910947
151,1.0364888666263115
152,1.0326767522867903
153,1.0294655498385796
154,1.0335421939736344
155,1.0229895909335485
156,1.0276633985068604
157,1.0354849172047351
158,1.027283272329836
159,1.0261160346381488
160,1.0295685589857413
161,1.0278624926688191
162,1.0254936388216302
163,1.0329237630481571
164,1.028338189938122
165,1.0307855603981706
166,1.0295085740516545
167,1.031590560667205
168,1.0288643685095509
169,1.0258156367366156
170,1.0318626053941349
171,1.0279783837772398
172,1.0252309991256388
173,1.0327555375975248
174,1.0309823850551518
175,1.0283082106537527
176,1.0373606189803606
177,1.0289410905972558
178,1.0250240381355933
179,1.0375065026230832
180,1.0255453785310735
181,1.0272719081920905
182,1.0317094611245627
183,1.0274595731100349
184,1.0321158995157385
185,1.0296810843422117
186,1.037279714891041
187,1.0313537851089587
188,1.031791124024751
189,1.0340547017756256
190,1.0306362386333063
191,1.0335793551923593
192,1.0268255812483185
193,1.0279625296610169
194,1.0311218414043581
195,1.0268668816922248
196,1.0324169810330912
197,1.0288869085956416
198,1.031245044659672
199,1.033803596919559
200,1.033938921778316
201,1.029420303605058
202,1.0333168569410816
203,1.0231117256524078
204,1.0321102128060264
205,1.0248759572908257
206,1.0253187820150658
207,1.0307712624428302
208,1.0237696688861984
209,1.0294539605864943
210,1.030702164716169
