sel__k,MAE
1,1.917291963225432
2,1.7033006190515272
3,1.660462116619711
4,1.649919442642093
5,1.6425148967503607
6,1.6371306782878425
7,1.6410634439536076
8,1.6077361331617488
9,1.5963527124389327
10,1.585935338663541
11,1.5781627096161304
12,1.5505164270173155
13,1.5588419323391718
14,1.5604388891571843
15,1.5514579436928482
16,1.5404328025478444
17,1.5374698481217355
18,1.521069576666818
19,1.4849260929446269
20,1.4787698575851944
21,1.4679840778242097
22,1.4568980846921136
23,1.4425651368393346
24,1.426599259161932
25,1.4348349966975384
26,1.4305569363595123
27,1.4187172365984926
28,1.4206944926833416
29,1.4239994528462996
30,1.4223165276536787
31,1.4172230299930801
32,1.4204302495929708
33,1.4289274539375205
34,1.4337335715977728
35,1.4349874086516972
36,1.444362516699336
37,1.4468660849974
38,1.4534562843140553
39,1.4427922974116827
40,1.4464228095367893
41,1.4471705863066278
42,1.4437054928167052
43,1.4393498074302244
44,1.4400828029159836
45,1.4424333304658583
46,1.4460356682534437
47,1.4480707416960696
48,1.4465989902741259
49,1.4368410522775068
50,1.431519649767274
51,1.4341310804060199
52,1.438490678921422
53,1.43890717105168
54,1.4364561731061907
55,1.4448977160613936
56,1.4484750803423703
57,1.4553566127825133
58,1.4531221064683346
59,1.453370655278556
60,1.4535017223473428
61,1.4404860990003732
62,1.4423238281559483
63,1.4400207966154215
64,1.4373681879375588
65,1.4341037541932302
66,1.4337640085175687
67,1.4381183099392516
68,1.4324123177491803
69,1.4343936283697452
70,1.434714835150003
71,1.4274538881094523
72,1.4205447475389767
73,1.4231538008779685
74,1.4147388142706105
75,1.4137010509128214
76,1.403352133402303
77,1.406982573284334
78,1.4060157687372417
79,1.3938174118910465
80,1.3984697908123846
81,1.3994947428327555
82,1.4030462345980226
83,1.411772846155799
84,1.4223473290414868
85,1.4226767803419713
86,1.4322832284893823
87,1.4278949264813472
88,1.4118069696712363
89,1.412755190978055
90,1.4096172898401875
91,1.4213322316323276
92,1.4142416111451357
93,1.4153472901135389
94,1.413214364919763
95,1.4105252260224277
96,1.4061254229210494
97,1.410966789254278
98,1.4095710559207437
99,1.4154549530272404
100,1.4122619474134843
101,1.4036267172014691
102,2.8459899976182412
103,2.814424850513645
104,2.644191222490866
105,2.619416231411114
106,2.706257725370478
107,2.805445937086417
108,2.4270194252318444
109,2.47905141356106
110,2.4583837029319833
111,2.4963281995238367
112,2.5106041428111743
113,2.4962894325068246
114,2.5647665474882198
115,4.132416302230475
116,4.023314247369407
117,4.022616574491234
118,4.3513341726205335
119,3.593924431646916
120,3.5255210544580557
121,3.626016301123733
122,3.4790174376043925
123,3.4519782094098637
124,3.2108815582782557
125,3.202402925055348
126,3.245731267956557
127,3.3874919267146675
128,3.3294256578343027
129,3.781035625444261
130,3.9513106145356165
131,3.86146640027881
132,3.9764601539600615
133,4.21291912187838
134,4.612371143443639
135,4.588187347861481
136,4.608880291040273
137,5.007931747437306
138,5.062367932922503
139,5.088442926506534
140,5.015739837119553
141,4.933592745213186
142,4.834327222510712
143,4.919304689741107
144,4.87446887556098
145,4.641748447188603
146,4.651019087795147
147,4.844609982089227
148,4.788287697594156
149,4.714036612713236
150,4.712122315428399
151,4.49142561659008
152,4.277829532728671
153,4.428771693300239
154,4.450472097279485
155,4.431995996141213
156,5.074151083202002
157,5.235608963330867
158,5.550612249011729
159,5.541826670304557
160,5.653376286209363
161,6.126157133908866
162,6.248149383339679
163,5.4929384929669265
164,5.704978367011879
165,5.703279816815113
166,5.73783977534912
167,5.709461290279979
168,6.330867335685074
169,6.3494224610329635
170,6.6115757231216845
171,6.650364925708675
172,6.633707156745706
173,6.72241473926908
174,6.706104438096731
175,6.550166298898073
176,6.176137664754574
177,6.177911567232012
178,6.17791156723201
179,6.177911567232014
180,6.177911567232008
181,6.177911567232008
182,6.177911567232012
183,6.177911567232014
184,6.1779115672320115
185,6.177911567232008
186,6.177911567232008
187,6.177911567232011
188,6.177911567232006
189,6.177911567232006
190,6.177911567232008
191,6.177911567232008
192,6.177911567232008
193,6.177911567232005
194,6.177911567232007
195,6.177911567232007
196,6.177911567232004
197,6.177911567232012
198,6.177911567232011
199,6.177911567232015
200,6.177911567232006
201,6.177911567232007
202,6.1779115672320035
203,6.177911567232008
204,6.177911567232011
205,6.1779115672320115
206,6.177911567231655
207,6.177911567231688
208,6.177911567231383
209,6.177911567231431
210,6.177911567231117
