sel__k,MAE
1,1.936139692414453
2,1.8440791717728577
3,1.7508565539611842
4,2.1646000867108643
5,2.6629390990686885
6,2.637452820726436
7,2.5628154917959676
8,2.5689373481365845
9,2.5401954818708004
10,2.8777925518662917
11,2.6627050842094513
12,2.5615270131684817
13,2.5551557619106062
14,2.4153414866998912
15,2.3696162426831764
16,2.560771652563723
17,2.7872393071181745
18,2.828171430013631
19,2.5957839274069614
20,2.3851977012851893
21,2.50434147165801
22,2.32656065118653
23,2.345857660820443
24,2.1819534832177108
25,2.1439438390405603
26,2.2113973499544572
27,2.221770496903582
28,2.3470191721875553
29,2.2293028178931547
30,2.354684457634077
31,2.6668891870003244
32,2.536633100296901
33,2.5436034571147257
34,2.6381952746425084
35,2.7063569436411963
36,2.453250386648446
37,2.702205230334907
38,2.6948032388717986
39,2.66122009006916
40,2.756863022038455
41,2.899535696178252
42,3.061220689029629
43,3.1950012042100027
44,2.8202803577255784
45,2.9078293989599677
46,2.627711873375956
47,2.7327892729403183
48,2.827743442178237
49,2.845838657257424
50,2.9404645215683853
51,2.805816847428924
52,2.715083211779134
53,2.939598621728092
54,2.9510323412312256
55,3.043952203011971
56,3.035694095717991
57,3.098738325269099
58,3.3771944863004517
59,3.153930640130898
60,3.4614086931743175
61,3.129446683154367
62,3.1490213975200416
63,3.2179257544960986
64,2.978304925007705
65,3.0667315738663583
66,2.8982232739245584
67,3.078892152446511
68,3.1245850764656216
69,3.201573929369462
70,3.29971909560541
71,3.3243085786537847
72,3.133178644092718
73,3.2480809059926155
74,2.9944268760859782
75,3.2639398458997024
76,3.159411928215973
77,2.9088901295999845
78,2.9084364359394095
79,2.962424059523004
80,2.7320777963701355
81,2.955240402201786
82,2.631491907231076
83,2.8990746157095972
84,2.722515057909008
85,3.243336629132898
86,3.1863551419369975
87,3.279662220797016
88,2.8092060971327553
89,3.02563637724958
90,2.9948919400981837
91,2.8529355640193796
92,2.7294289513004415
93,2.783470196167815
94,2.775299832659862
95,2.821267204027706
96,2.817997137230397
97,2.9642095210480965
98,2.943315410530599
99,3.098267246837099
100,3.2448855557657126
101,3.7166696819657266
102,19308.99778932096
103,20328.52637324218
104,15148.591098659901
105,17835.87291154778
106,23673.269412548994
107,16771.600540076015
108,21473.270808916448
109,56159.5762862534
110,57102.036703999154
111,52586.46394384885
112,53569.527309240104
113,53922.72929812564
114,63537.14151334078
115,62820.241385031244
116,69283.54187387758
117,63882.084100864755
118,66936.04730834319
119,69709.23721468417
120,67998.32747579481
121,83741.49172061337
122,64343.059771056796
123,63346.65370983765
124,40932.74487156235
125,34840.5930548929
126,24916.13282444908
127,70208.66518282858
128,45730.273077159465
129,39369.31133397769
130,23183.875400960485
131,60687.79052406527
132,18195.68017113418
133,19623.793255810644
134,27319.920383512388
135,34217.971097457215
136,26955.75446192834
137,25211.963137243154
138,31442.028566802146
139,111915.96402748422
140,120935.67375771921
141,222481.58852630813
142,65204.7693777713
143,63341.554411575686
144,694072.6043644154
145,162498.28285415247
146,144849.0724252029
147,59700.79295504961
148,133129.48062403532
149,134955.45571345818
150,133922.85060257348
151,30846958.92141587
152,2568357.199566153
153,586481.0339771708
154,984.2206081024977
155,300300.0729087075
156,241377.40129225436
157,3144400.98148917
158,326352.0278520342
159,259161.43405969566
160,2455113.358497606
161,2335657.5330241206
162,131234.90741413189
163,2921773.504928972
164,118.64565553430064
165,2932083.372834067
166,79.40235035138586
167,78.05352139430703
168,2544337.502195629
169,91.03435715424762
170,139627.45308473572
171,44.648159122067405
172,1356.8494782920282
173,119.61302713394058
174,65.12781399704211
175,58.91753397279282
176,2574959.5054240245
177,247.26702898316097
178,10115.984772442567
179,2195651.3915731874
180,2295330.831283972
181,117171.36528752056
182,2029724.5584963723
183,2102446.8661888633
184,285.87866104600033
185,142941.53259480666
186,7109.4978099559485
187,428618.57117993117
188,214.09408621283274
189,9693.687766860183
190,15192.979948950724
191,1031.779197425506
192,318563.22003918537
193,386.94448891970137
194,2046.7439092270222
195,4613.899872961784
196,3440307.249639986
197,2118.3989425782947
198,4809.601478337113
199,3707454.7954434073
200,3693563.041542183
201,14423.634232502638
202,6949.658271132048
203,7362.47213483174
204,3031154.151518435
205,5817202.970714462
206,73180.98249875894
207,64880.37388390082
208,61249.69347055013
209,85560.10559263214
210,33291.26781680738
