sel__k,MAE
1,1.6147714954009647
2,1.2872771961931666
3,1.207064606492691
4,1.2051104051878758
5,1.1597731327235226
6,1.1151593437135683
7,1.0997830766747376
8,1.0881630812483185
9,1.087763979015335
10,1.081928138283562
11,1.0818815874361043
12,1.0692051087570624
13,1.067543898237826
14,1.057918829432338
15,1.054638457021792
16,1.05360499307237
17,1.0481714768630617
18,1.0465339059053
19,1.045922351156847
20,1.0473741845574387
21,1.0459963044121603
22,1.0459117391041162
23,1.0507154249394672
24,1.04765590637611
25,1.043089559456551
26,1.0447294842615011
27,1.041136384449825
28,1.0447233949421577
29,1.042467952111918
30,1.0478035444578961
31,1.0399034404761904
32,1.0452075815173527
33,1.0418468260021523
34,1.041195203457089
35,1.039655242063492
36,1.0310360217245091
37,1.0394181626984127
38,1.0364952961393596
39,1.0321748871401668
40,1.0325755043718052
41,1.0384704461259078
42,1.033572465025558
43,1.0344676715765402
44,1.0376711017621738
45,1.0377552775087435
46,1.0246137547753564
47,1.0350284202313695
48,1.0179543954129675
49,1.0231605442561205
50,1.0250859400726393
51,1.0236816123217645
52,1.0279742480495027
53,1.0312295051116491
54,1.028308273944041
55,1.020261556362658
56,1.0213352246435299
57,1.0165244441081518
58,1.0163660293247243
59,1.020155360976594
60,1.0205578591606135
61,1.0186331698950768
62,1.0111079677158998
63,1.0085922304277644
64,1.018699198614474
65,1.0143319649582998
66,1.0242380422383641
67,1.017855017419962
68,1.021368299771321
69,1.0196249423594295
70,1.0198781791767553
71,1.0220387987624429
72,1.0255568554613936
73,1.0252065569007263
74,1.0224627694377186
75,1.0268074490852837
76,1.0217060656443369
77,1.027590939669088
78,1.0255007851089588
79,1.0255668795399513
80,1.0325911050578425
81,1.0305625940274414
82,1.0268150201103041
83,1.029387777979553
84,1.0301492067527576
85,1.0311823426822706
86,1.0343303538471886
87,1.036572879741727
88,1.0327070308716706
89,1.034366781678773
90,1.035194185835351
91,1.036285784032822
92,1.043573115415658
93,1.029357212873285
94,1.035069565778854
95,1.0301037708501481
96,1.0382966127925746
97,1.0347961775625505
98,1.0314192539009954
99,1.032681867769707
100,1.0371023219666398
101,1.0356607565240787
102,1.030124407990315
103,1.039075182943234
104,1.0297489609900456
105,1.031807603914447
106,1.040775743408663
107,1.0360941599408122
108,1.033551863801453
109,1.0317930229351628
110,1.0330136440005382
111,1.0350933687785848
112,1.0346878428167876
113,1.028749655299973
114,1.0346335416330374
115,1.0288711025020176
116,1.0377022411891312
117,1.0301161559725587
118,1.0385491879876243
119,1.0408624585014798
120,1.0339415764057034
121,1.0289792828221684
122,1.0323155938256658
123,1.0386039720204465
124,1.0385776480360507
125,1.039926905569007
126,1.0283188523002422
127,1.039994927495292
128,1.034132202448211
129,1.0299009807640573
130,1.0390756692224912
131,1.030744716505246
132,1.0290485145278452
133,1.0317707992332528
134,1.036425871670702
135,1.027832417070218
136,1.0369562525558247
137,1.0284019875571697
138,1.0339129548695185
139,1.0330984566182404
140,1.0256912654694645
141,1.035115451439333
142,1.0274208332660748
143,1.0388033935969867
144,1.030722190274415
145,1.0302258299704063
146,1.0348054829163307
147,1.0297543090529997
148,1.033332792843691
149,1.0284784087974175
150,1.0347881742668819
151,1.0329292836292712
152,1.033249988431531
153,1.0248358469195589
154,1.0381372199354317
155,1.031573295803067
156,1.026166516881894
157,1.029073401062685
158,1.0288116844901802
159,1.026006969061071
160,1.0308566156174332
161,1.0305033527710519
162,1.0315768344094702
163,1.0313212135458703
164,1.0329280878396554
165,1.031619488835082
166,1.0354499223836426
167,1.02972786669357
168,1.0334260552865215
169,1.0335891242265267
170,1.031304752623083
171,1.0298307130750604
172,1.0336822133440948
173,1.0259235423728814
174,1.0311135782889427
175,1.0344370285848803
176,1.0310903433548562
177,1.029408573110035
178,1.029583432136131
179,1.0318663690476189
180,1.02847227858488
181,1.0299023728813559
182,1.0310196568469194
183,1.035397063828356
184,1.028196125504439
185,1.0271795742534302
186,1.0298834557438794
187,1.0311213871401668
188,1.0273313346785042
189,1.0243045141915523
190,1.0277788873419424
191,1.0296236295399515
192,1.0303011131288673
193,1.037294631826742
194,1.0270559680521927
195,1.030307065644337
196,1.0282022956012915
197,1.034523775423729
198,1.0319545542103847
199,1.0302656671374764
200,1.0285309744417541
201,1.0327609102771054
202,1.0320545657115954
203,1.0378404451842884
204,1.0297833884853376
205,1.0270107232311
206,1.0306563308447674
207,1.0294337658057573
208,1.032528793179984
209,1.0348366284638149
210,1.030702164716169
