sel__k,MAE
1,1.5231703404853247
2,1.6366482960254085
3,1.763308762801689
4,1.7598839168225608
5,1.7607004089658758
6,1.7758878608074338
7,1.7639991060989124
8,1.7684375618172299
9,1.7446980799698593
10,1.752226834422229
11,1.738355542479468
12,1.7190857510604014
13,1.7107962335364186
14,1.7007870759643435
15,1.6793588987276151
16,1.6649339311510252
17,1.6374056069450496
18,1.6237276857932026
19,1.6194669329539726
20,1.6160183092573537
21,1.6215102126805718
22,1.5995982126752344
23,1.6001307549213093
24,1.5863907036835712
25,1.6004203764780813
26,1.590249567123824
27,1.5917386799566107
28,1.5811779443924652
29,1.5746941361507423
30,1.580855125384301
31,1.5853533901256776
32,1.599582527210192
33,1.6168864867622679
34,1.621302828404491
35,1.6261986971514166
36,1.652183010250931
37,1.6624666378544395
38,1.6779692079788442
39,1.6680361469599414
40,1.6918143668077976
41,1.6874395865226404
42,1.6860034696712438
43,1.6883133906761865
44,1.6943664795036164
45,1.7119760185978643
46,1.7128760563266627
47,1.720590324181578
48,1.728046190385092
49,1.7323415729117209
50,1.7370187113267543
51,1.736329748034182
52,1.7577315711598724
53,1.7586520150640501
54,1.7666933871715564
55,1.7774167606275901
56,1.783966332280738
57,1.7836920346013025
58,1.7845682334888915
59,1.7930677023106525
60,1.7881216079738054
61,1.8070566715946477
62,1.8109083540144366
63,1.810410821259466
64,1.8126199268756902
65,1.8114998860964866
66,1.8101574255018098
67,1.8112559980150738
68,1.8310795191235025
69,1.8252719388734624
70,1.8251088457481843
71,1.8259171709071758
72,1.8290145500574149
73,1.825025123221924
74,1.8241074400328634
75,1.8264348704275142
76,1.825276494661322
77,1.8300294472867351
78,1.8258815642997184
79,1.82480669052163
80,1.8241367693180295
81,1.836833467761834
82,1.8360645578446004
83,1.8384508338121746
84,1.8386483563024365
85,1.8381104737154343
86,1.8367847236760502
87,1.8371847575300608
88,1.8386108017991178
89,1.835288048469882
90,1.8352150101593783
91,1.835764585724862
92,1.8336865230925576
93,1.8340879173169102
94,1.8325643054080736
95,1.8320704758147528
96,1.8324165529275396
97,1.8302725095140318
98,1.8296947598655955
99,1.8284873407091227
100,1.8296734600111155
101,1.8284227155190145
102,1.8279876424152575
103,1.831207993741802
104,1.830623718388518
105,1.8312115252512777
106,1.8303206146055389
107,1.8296792769050993
108,1.89270237245701
109,1.8631109109070572
110,1.8621887440620155
111,1.862309588235591
112,1.8920986972187057
113,1.8920052775156444
114,1.892785177494829
115,1.892909944715521
116,1.8930299259406766
117,1.8922361556720597
118,1.8923096696510997
119,1.8924067780830656
120,1.8924387865901517
121,1.8925182715594826
122,1.8925977745588634
123,1.8928507181008767
124,1.8927959140194124
125,1.892891816668651
126,1.9317894999773282
127,1.9317705216928254
128,1.9318205526905265
129,1.9319689410403191
130,1.9319078758862147
131,1.932033597760893
132,1.9321954658254161
133,1.932150785776995
134,1.9322145482924722
135,1.9321513498576521
136,1.9664166195139985
137,2.0028587599642687
138,2.0028376208120666
139,2.040525645241492
140,2.0830501548275984
141,2.0831348679437736
142,2.111609609268037
143,2.11167390063541
144,2.195152360244216
145,2.185823576591594
146,2.256007429046337
147,2.2230923494051544
148,2.2560601330812866
149,2.2282269379115505
150,2.2560952919624273
151,2.256107805432801
152,2.2373304165347774
153,2.2561391407013422
154,2.228284652130377
155,2.2561688306576384
156,2.256176801100623
157,2.279602369685509
158,2.2796183867776034
159,2.2562317871416107
160,2.2890042768210934
161,2.3124140461279463
162,2.2796561597624034
163,2.312428343924185
164,2.289047816296216
165,2.2890581685600724
166,2.256321966473712
167,2.3124559705155874
168,2.3124635299922702
169,2.3124699472497148
170,2.3124579234987346
171,2.2891156059183317
172,2.2891265827668055
173,2.289131695351217
174,2.289146377653071
175,2.312503933895566
176,2.31250609980186
177,2.289168355317396
178,2.2891710848744995
179,2.312519294030348
180,2.289186848153187
181,2.3125272937903714
182,2.3125315030096614
183,2.312535486731076
184,2.312538345196263
185,2.3125418930260655
186,2.312528145537189
187,2.2892314336649893
188,2.2892380609887817
189,2.31255699564381
190,2.289250095652169
191,2.3125630175459677
192,2.2892601176549063
193,2.289266045607555
194,2.289255733268796
195,2.2892608395351215
196,2.289285807269556
197,2.289294856263567
198,2.3125869555666765
199,2.289284769957161
200,2.3125962358865357
201,2.2893220087970874
202,2.3126100577567925
203,2.312599907654428
204,2.3126029899217193
205,2.3126107580549924
206,2.2893428632933013
207,2.2893453441506044
208,2.2893343845089102
209,2.289335098772294
210,2.354116795020138
