NAME,Experimental RT,Predicted RT,mae
PALMITIC ACID,1.27,1.2696241896187073,0.00037581038129275157
Nα-Acetyl-L-arginine,7.74,7.7393858293465065,0.0006141706534936731
NADPH,9.186,9.18759993239612,0.0015999323961199963
Inosine,5.609,5.602714861713926,0.006285138286074243
D-Maltose,8.088,8.070228946702159,0.017771053297840567
D-Pantothenic acid,5.95,5.979614634702813,0.02961463470281256
Pseudouridine,6.32,6.358134085938714,0.03813408593871337
Spaglumic Acid,8.232,8.189449125364405,0.04255087463559448
3-Ureidopropionic acid,6.835,6.882837247778876,0.04783724777887599
Trehalose,8.25,8.197270001232841,0.052729998767159
3-methyl-adipic acid,5.124,5.177527364677504,0.053527364677504075
Vanillylmandelic acid,4.35,4.438297297231837,0.08829729723183721
D-Lactose,8.178,8.070228946702159,0.1077710532978422
O-Phospho-L-serine,8.85,8.72205646418066,0.12794353581933926
2-Furoic acid,3.8,3.9427208216652376,0.1427208216652378
3-Hydroxy-DL-kynurenine,6.935,6.7864479185585544,0.14855208144144516
D-GLUCOSE 6-PHOSPHATE,8.87,9.026156866982774,0.15615686698277464
L-Glutamine,7.93,7.7738168288233975,0.1561831711766022
L-Arginine,8.7,8.51813717589973,0.18186282410026955
THYMIDINE TRIPHOSPHATE,9.33,9.52176432639817,0.19176432639816987
OXALOACETIC ACID,6.616,6.423511739857805,0.1924882601421949
D-(+)-Neopterin,7.28,7.483571655933555,0.20357165593355475
L-Citrulline,8.093,8.296741258990185,0.2037412589901848
Cysteine-S-sulfate,7.372,7.588346752819113,0.21634675281911342
L-Kynurenine,6.392,6.1671123410844135,0.22488765891558682
L-Homocitrulline,7.946,8.171037589829101,0.2250375898291015
Homoarginine,8.624,8.390486410183804,0.2335135898161962
PENTADECYLIC ACID,1.282,1.5199829620327348,0.23798296203273472
UBIQUINOL,1.33,1.5704832585902995,0.2404832585902994
HEPTADECANOIC ACID,1.261,1.0193447106671907,0.24165528933280922
cGMP,7.63,7.880582003486547,0.2505820034865467
Guanidinoacetic acid,7.75,7.488015774428135,0.2619842255718652
Thymol,1.37,1.652797597553844,0.2827975975538439
L-Asparagine,8.05,7.758737214224643,0.29126278577535736
"2,3-Diphospho-D-Glyceric Acid",9.53,9.84209281437086,0.31209281437086034
CHOLESTERYL SULFATE,1.228,0.9083300292438934,0.3196699707561066
Methylguanidine,5.85,6.201765672143136,0.35176567214313614
N-Formylmethionine,4.7,5.076692769047859,0.37669276904785853
D-Galactonic acid,8.26,7.873708432782189,0.38629156721781044
Argininosuccinic acid,9.138,9.526232076323346,0.3882320763233462
D-Ribulose 5-phosphate,8.17,8.560243534201954,0.3902435342019537
Oleamide,1.25,1.6434400834840903,0.3934400834840903
LINOLEIC ACID,1.263,0.8563585883800306,0.40664141161996925
Citric acid,7.9,7.4848127078191276,0.4151872921808728
GUANINE,6.06,6.475735932936504,0.4157359329365047
Citramalic acid,6.747,6.329485485028766,0.41751451497123426
D-Fructose,6.877,7.301842633773916,0.42484263377391596
alpha-D-Glucose-1-phosphate,8.62,8.184161619744424,0.435838380255575
Xanthosine,6.83,6.376967488583366,0.4530325114166338
Cytidine,6.2,6.657508100269687,0.4575081002696866
D-Sorbitol,6.88,7.338000614833927,0.45800061483392707
MYRISTIC ACID,1.29,1.770436675032489,0.4804366750324889
Folic acid,7.906,7.420747486151582,0.48525251384841805
Stearic acid,1.255,0.7691320055043276,0.4858679944956723
Dihydrofolic acid,8.0,8.498148667060724,0.4981486670607236
Biotin,3.9,4.403428550964269,0.5034285509642689
"2,4-DI-TERT-BUTYLPHENOL",1.232,0.7224024725926719,0.5095975274073281
Creatine,7.63,7.106450884403827,0.5235491155961727
D-(+)-Mannose,6.69,7.216719019280868,0.5267190192808675
3-AMINO-9-ETHYLCARBAZOLE,1.295,0.7627481827894158,0.5322518172105841
6-Phosphogluconic acid,9.145,9.679143703553166,0.5341437035531662
D-Mannitol,6.8,7.338000614833927,0.5380006148339271
L-(+)-MANDELIC ACID,2.65,3.1951765293442214,0.5451765293442214
GLUCONIC ACID,8.42,7.873708432782189,0.5462915672178106
5-METHYLCYTIDINE,5.94,6.493949427449786,0.553949427449786
2-Methylglutaric acid,5.846,5.269687503946758,0.5763124960532418
CYTOSINE,5.129,5.7060699583044325,0.577069958304433
p-Coumaric acid,2.374,2.96265877457762,0.58865877457762
Threonate,7.36,6.761989523536046,0.598010476463954
Chenodeoxycholic Acid,1.766,2.3756558795193383,0.6096558795193383
Meclofenamic acid,1.38,0.7437871640404152,0.6362128359595847
D-Fructose 6-phosphate,8.475,9.112337209801238,0.6373372098012382
D-GLUCURONIC ACID,8.4,7.751545323018286,0.6484546769817143
L-Xylonate,7.97,7.3165912730035405,0.6534087269964592
D-Glycerate 2-phosphate,8.665,8.009070911948228,0.6559290880517707
Tetradecanoylcarnitine,1.71,2.368278619504056,0.6582786195040562
5-Methyl-THF,8.83,8.170494026457652,0.6595059735423483
D-Glycerate 3-phosphate,8.665,8.004487445879091,0.660512554120908
XYLITOL,6.13,6.79221074050351,0.66221074050351
3-Hydroxy-3-methylglutaric acid,6.733,6.054822482072831,0.6781775179271685
Adenylosuccinic acid,8.756,9.467243060122124,0.7112430601221238
L-ARABITOL,6.08,6.79221074050351,0.7122107405035099
Folinic acid,7.946,8.663471941613205,0.7174719416132049
Guanosine,6.65,7.3742153249304865,0.7242153249304861
Aminoacetone,4.63,5.360772610769464,0.7307726107694643
Cystathionine,8.73,7.997352491936322,0.7326475080636783
TETRAHYDROBIOPTERIN,8.33,7.594388682621382,0.7356113173786181
NONADECANOIC ACID,1.26,0.5189758454826889,0.7410241545173111
"D-fructose 1,6-bisphosphate",9.41,10.158618612493047,0.748618612493047
4-ETHYLBENZOIC ACID,1.768,2.5451137472216208,0.7771137472216207
3-Indolebutyric acid,1.432,2.2244110502420185,0.7924110502420185
O-Phosphorylethanolamine,8.41,7.587301865145603,0.8226981348543969
Cotinine,1.67,2.5012024974040474,0.8312024974040475
PHENYLACETIC ACID,1.645,2.4847514591814317,0.8397514591814317
MEDRONIC ACID,9.11,8.211023074127175,0.8989769258728249
D-Glucosamine,8.247,7.321323683154349,0.9256763168456512
Indole-3-carboxylic acid,1.699,2.6343872650232756,0.9353872650232755
3-Sulfinoalanine,8.3,7.3590971317491265,0.9409028682508742
2-Hydroxy-butanoic acid,4.123,5.071982467602181,0.948982467602181
L-Norleucine,6.3,5.3489940627567005,0.9510059372432993
dTMP,7.672,6.701605348621929,0.9703946513780703
Agmatine,8.473,7.485006864393123,0.9879931356068781
dTMP,7.69,6.701605348621929,0.988394651378071
DL-Homoserine,7.753,6.7640646650660425,0.9889353349339576
L-Dihydroorotic acid,7.27,6.2776008003983375,0.9923991996016621
L-Leucine,6.47,5.433892690904639,1.0361073090953612
Hypoxanthine,3.745,4.781316424441521,1.0363164244415213
Glycolic acid,6.78,5.7331358182605445,1.0468641817394557
2-Indolecarboxylic acid,1.688,2.754359603899582,1.066359603899582
meso-Tartaric acid,8.38,7.304814619959831,1.0751853800401694
L-Serine,7.99,6.898821965002405,1.0911780349975952
Riboflavin,5.8,4.706647557110301,1.0933524428896986
Alpha-N-Phenylacetyl-L-glutamine,6.03,4.935809063958126,1.0941909360418745
Malonaldehyde,3.43,4.536284002544032,1.1062840025440317
Nε-Acetyl-L-lysine,7.555,6.443672517408553,1.111327482591447
Benzoic acid,1.68,2.7923404971437527,1.1123404971437527
ETHANOLAMINE ,6.904,5.765247404619271,1.138752595380729
L-Norleucine,6.491,5.3489940627567005,1.1420059372432991
L-Threonine,7.71,6.563524325578177,1.146475674421823
D-Xylose,5.5,6.665263049135865,1.1652630491358646
Isocitrate,8.736,7.552181907892086,1.1838180921079147
Orotic acid,7.172,5.979699576942604,1.1923004230573957
3-Isopropylmalate,4.545,5.747601587954566,1.2026015879545664
N-Acetyl-L-alanine,6.41,5.205029470517575,1.2049705294824253
Myo-Inositol,8.165,6.955001414787235,1.2099985852127642
PGE2,1.25,2.4675366917225894,1.2175366917225894
N2-Acetyl-L-ornithine,7.891,6.664989011758611,1.2260109882413888
α-Hydroxyisobutyric acid,3.85,5.0841175487203,1.2341175487203002
L-Methionine,6.82,5.583379070765368,1.2366209292346326
N-ACETYLGLYCINE,6.77,5.525475195482499,1.2445248045175008
Tartaric acid,8.551,7.304814619959831,1.2461853800401688
N-Acetylputrescine,6.788,5.535173815769122,1.2528261842308783
Glutaric acid,6.8,5.540078025698743,1.2599219743012569
DL-2-Aminoadipic acid,8.2,6.939374727067127,1.260625272932872
L-Isoleucine,6.62,5.338221595345322,1.2817784046546778
L-Glutamic acid,8.35,7.067462642921566,1.282537357078434
Isoleucine,6.622,5.338221595345322,1.2837784046546776
Hypotaurine,7.52,6.2215372327509595,1.29846276724904
Cholic acid,1.634,2.975485923729512,1.341485923729512
Glycerophosphocholine,7.915,6.564522252696767,1.3504777473032332
Xanthine,6.83,5.474688633275113,1.3553113667248873
Biopterin,6.158,7.527619036818045,1.3696190368180448
ADMA,8.39,7.003409441800059,1.3865905581999414
7-Methylguanine,4.25,5.641253290371749,1.3912532903717487
Retinoic acid,1.3,-0.1152442913324121,1.4152442913324121
ISOVALERYL-L-CARNITINE,6.007,4.582026467460946,1.4249735325390533
Melatonin,1.391,2.817906748496537,1.426906748496537
Phenylbutazone,1.24,-0.1884861127840085,1.4284861127840085
Phenylpyruvic acid,1.591,3.020200686612772,1.429200686612772
Tetracaine,1.675,3.1099213435636646,1.4349213435636645
cis-Aconitic acid,7.87,6.429735110107875,1.4402648898921253
Methylsuccinic acid,3.95,5.399501455563799,1.4495014555637988
5-HYDROXYMETHYL-2'-DEOXYURIDINE,4.03,5.4861234777203025,1.4561234777203023
Caffeine,1.46,2.919605160644893,1.4596051606448932
Phenylglyoxylic acid,1.622,3.0836621142949863,1.4616621142949862
L-Valine,7.02,5.557326728843842,1.4626732711561576
L-Valine,7.02,5.557326728843842,1.4626732711561576
S-Methyl-L-cysteine,7.02,5.557220884863044,1.4627791151369554
Glutarylcarnitine,7.87,6.379350604400139,1.4906493955998608
Glyceraldehyde,4.03,5.524879948677974,1.4948799486779736
1-Methylguanosine,5.0,6.500289334830068,1.500289334830068
"3,4-Dihydroxybenzoic acid",3.08,4.584014199678697,1.5040141996786973
Urocanic acid,5.78,4.274659237216957,1.5053407627830433
L-Lysine,8.76,7.223796715571503,1.5362032844284972
2-Aminoisobutyric acid,7.35,5.80509062425435,1.5449093757456493
Dopamine,6.25,4.703635546421088,1.5463644535789118
Imidazole,2.18,3.726530093535596,1.546530093535596
2-HYDROXYPHENYLACETIC ACID,1.763,3.3131704617568465,1.5501704617568466
L-2-Aminobutyric acid,7.35,5.785555418796658,1.5644445812033414
Nitrotyrosine,6.22,4.652072244472605,1.5679277555273945
4-Methoxyphenylacetic acid,1.69,3.2804504022947008,1.5904504022947008
Suberic acid,3.38,4.972842653462429,1.5928426534624291
Pyroglutamic acid,6.877,5.266864201476913,1.6101357985230864
L-Alanine,7.59,5.975286994781946,1.6147130052180536
Methyl ALPHA-D-glucopyranoside,4.5,6.1362528301998225,1.6362528301998225
Hydrocortisone,1.461,3.0996363068429478,1.6386363068429477
GLYCINE,7.79,6.150806013664663,1.6391939863353366
β-Alanine,7.723,6.0672519528203495,1.6557480471796504
Phthalate,2.125,3.7813971339079657,1.6563971339079657
L-Cystine,9.07,7.4099112388935815,1.6600887611064188
4-Hydroxybenzaldehyde,1.365,3.0365593119024634,1.6715593119024634
(R)-(+)-2-Pyrrolidone-5-carboxylic acid,6.939,5.266864201476913,1.6721357985230867
Hydrocortisone,1.425,3.0996363068429478,1.6746363068429477
5-Aminopentanoic acid,7.589,5.910371552127513,1.6786284478724873
Pregnenolone sulfate,1.346,3.031891580955861,1.685891580955861
N-GLYCYL-L-PROLINE,8.15,6.461112880437837,1.688887119562163
Picolinic acid,5.34,3.617617396432436,1.722382603567564
Glutaconic acid,6.88,5.153647636288711,1.726352363711289
