NAME,Experimental RT,Predicted RT,mae
D-GLUCURONIC ACID,8.4,8.402085761725377,0.002085761725377111
Methylguanidine,5.85,5.846424514220705,0.0035754857792946737
Biopterin,6.158,6.167856572545174,0.009856572545174025
LINOLEIC ACID,1.263,1.2824301201963917,0.019430120196391787
Caffeine,1.46,1.4821956264167129,0.02219562641671291
Carnosine,8.69,8.712970134511844,0.022970134511844265
Nitrotyrosine,6.22,6.18638447347385,0.033615526526149964
D-Galactonic acid,8.26,8.294991647353452,0.03499164735345239
BETAINE,6.65,6.686472628410752,0.03647262841075172
Pyridoxamine,7.42,7.468081642912142,0.04808164291214201
L-Tryptophan,6.48,6.528531514078846,0.04853151407884582
5-HYDROXYMETHYL-2'-DEOXYURIDINE,4.03,4.080328440587668,0.050328440587668055
OXALOACETIC ACID,6.616,6.692738444468094,0.07673844446809408
D-Pantothenic acid,5.95,6.054018047495654,0.10401804749565358
ISOVALERYL-L-CARNITINE,6.007,6.119388413198821,0.11238841319882109
L-Carnitine,7.6,7.480326534849036,0.11967346515096366
D-Maltose,8.088,7.966345700791053,0.12165429920894599
GLUCONIC ACID,8.42,8.294991647353452,0.12500835264654775
Retinaldehyde,1.211,1.0852512160423244,0.12574878395767564
1-Methylguanosine,5.0,4.872378966855129,0.12762103314487128
L-CARNITINE ,7.619,7.480326534849036,0.1386734651509638
L-Kynurenine,6.392,6.253227470191909,0.13877252980809107
Alpha-N-Phenylacetyl-L-glutamine,6.03,5.887842114476113,0.1421578855238872
S-Methyl-L-cysteine,7.02,7.178346512863024,0.1583465128630248
2-Hydroxy-butanoic acid,4.123,3.961456596882583,0.16154340311741722
7-Methylguanine,4.25,4.415871187826685,0.16587118782668497
3-Hydroxy-DL-kynurenine,6.935,6.768172801104297,0.1668271988957022
Picolinic acid,5.34,5.166477530676687,0.17352246932331283
Cytidine,6.2,6.024903411403695,0.17509658859630495
Suberic acid,3.38,3.556594183144318,0.17659418314431807
Trehalose,8.25,8.060521749326831,0.1894782506731687
"D-fructose 1,6-bisphosphate",9.41,9.21607062614828,0.19392937385172004
Hypoxanthine,3.745,3.5365542212418495,0.20844577875815062
MYRISTIC ACID,1.29,1.0784652938853259,0.21153470611467418
D-Lactose,8.178,7.966345700791053,0.21165429920894763
O-Phospho-DL-Tyrosine,8.74,8.960337272902976,0.22033727290297556
5-Methyl-THF,8.83,9.069204278425413,0.23920427842541336
Malonaldehyde,3.43,3.6834757010218135,0.2534757010218134
O-Phosphorylethanolamine,8.41,8.14326560403584,0.2667343959641606
GUANINE,6.06,5.790943740516082,0.26905625948391787
4-Hydroxybenzaldehyde,1.365,1.0945207324716297,0.27047926752837026
L-Xylonate,7.97,7.692280372730175,0.2777196272698248
Benzoic acid,1.68,1.3754788132963185,0.30452118670368145
L-Methionine,6.82,6.514877856124846,0.30512214387515435
Aminoacetone,4.63,4.945293104873887,0.31529310487388695
NADPH,9.186,8.86466061754526,0.3213393824547399
Pseudouridine,6.32,6.645531994399515,0.3255319943995145
Tetracaine,1.675,2.003501759516327,0.3285017595163271
PENTADECYLIC ACID,1.282,0.949185951908843,0.332814048091157
D-(+)-Neopterin,7.28,6.946088039262607,0.33391196073739327
Agmatine,8.473,8.131280056911416,0.34171994308858444
2-Furoic acid,3.8,3.4430647381391952,0.3569352618608046
alpha-D-Glucose-1-phosphate,8.62,8.24744054136085,0.37255945863914874
Acetylcarnitine,7.01,6.6343970737798825,0.37560292622011726
Riboflavin,5.8,6.1884003009065855,0.3884003009065857
Nicotinuric acid,6.76,6.37030854557764,0.3896914544223602
3-Sulfinoalanine,8.3,7.888423215407781,0.4115767845922198
