NAME,Experimental RT,Predicted RT,mae
D-Fructose 6-phosphate,8.475,8.46224106373497,0.012758936265029774
O-Phospho-L-serine,8.85,8.824894346767602,0.025105653232397884
Homoarginine,8.624,8.661700562056513,0.03770056205651251
4-ETHYLBENZOIC ACID,1.768,1.7242464849237615,0.04375351507623848
"D-fructose 1,6-bisphosphate",9.41,9.360003670863819,0.04999632913618157
cGMP,7.63,7.576566580448558,0.05343341955144165
PALMITIC ACID,1.27,1.2111516550159749,0.058848344984025136
Guanidinoacetic acid,7.75,7.822871639923343,0.07287163992334289
L-Kynurenine,6.392,6.317451227978128,0.07454877202187227
6-Phosphogluconic acid,9.145,9.232134342541368,0.08713434254136843
5-METHYLCYTIDINE,5.94,6.041179704296338,0.10117970429633782
D-(+)-Mannose,6.69,6.791674337684285,0.10167433768428502
3-AMINO-9-ETHYLCARBAZOLE,1.295,1.401102837405892,0.1061028374058921
Citramalic acid,6.747,6.630407903864718,0.11659209613528176
LINOLEIC ACID,1.263,1.1314066415057038,0.1315933584942961
Citric acid,7.9,8.046647518313772,0.1466475183137721
Adenylosuccinic acid,8.756,8.595058105768892,0.16094189423110805
Guanosine,6.65,6.811248181305644,0.1612481813056439
D-Pantothenic acid,5.95,6.122782366799863,0.17278236679986314
4-Hydroxybenzaldehyde,1.365,1.538031628969316,0.1730316289693159
D-Ribulose 5-phosphate,8.17,7.996734761485319,0.17326523851468068
2-Methylglutaric acid,5.846,5.666565935487456,0.1794340645125443
PENTADECYLIC ACID,1.282,1.476856682417055,0.194856682417055
2-Furoic acid,3.8,3.6028630756345166,0.19713692436548325
Creatine,7.63,7.41407158230642,0.21592841769358007
D-Fructose,6.877,7.102581286441924,0.22558128644192443
OXALOACETIC ACID,6.616,6.843176639625903,0.2271766396259034
Cystathionine,8.73,8.975577014345088,0.24557701434508772
Folinic acid,7.946,8.197056794701997,0.2510567947019968
L-Arginine,8.7,8.95486239788299,0.2548623978829916
Nα-Acetyl-L-arginine,7.74,7.997447482209948,0.2574474822099475
L-Glutamine,7.93,8.187628124737742,0.2576281247377423
