NAME,Experimental RT,Predicted RT,mae
HEPTADECANOIC ACID,1.261,1.2610250000000005,2.500000000060787e-05
Benzoic acid,1.68,1.6795499999999997,0.0004500000000002835
LINOLEIC ACID,1.263,1.2625499999999992,0.0004500000000007276
NONADECANOIC ACID,1.26,1.26125,0.0012499999999999734
PHENYLACETIC ACID,1.645,1.6472000000000002,0.002200000000000202
D-Maltose,8.088,8.085624999999999,0.002375000000000682
D-Galactonic acid,8.26,8.25680833333333,0.0031916666666695903
Stearic acid,1.255,1.2593750000000001,0.00437500000000024
PALMITIC ACID,1.27,1.2648000000000004,0.005199999999999649
Folinic acid,7.946,7.938850000000002,0.007149999999997547
4-Methoxyphenylacetic acid,1.69,1.6819499999999992,0.008050000000000779
(R)-(+)-2-Pyrrolidone-5-carboxylic acid,6.939,6.930425,0.008575000000000443
Valeric acid,1.56,1.5691000000000002,0.009100000000000108
PENTADECYLIC ACID,1.282,1.27085,0.011149999999999993
MYRISTIC ACID,1.29,1.2753750000000001,0.014624999999999888
Retinoic acid,1.3,1.2848749999999993,0.015125000000000721
Retinaldehyde,1.211,1.2268249999999994,0.015824999999999312
DL-Methionine sulfoxide,7.888,7.871324999999999,0.016675000000001106
D-Fructose 6-phosphate,8.475,8.492200000000002,0.017200000000002547
L-Histidine,8.25,8.232149999999999,0.01785000000000103
Isoleucine,6.622,6.642275000000002,0.020275000000002485
L-Isoleucine,6.62,6.642275000000002,0.022275000000002265
"2,4-DI-TERT-BUTYLPHENOL",1.232,1.2544499999999994,0.022449999999999415
L-Citrulline,8.093,8.115675,0.022674999999999557
D-Glycerate 2-phosphate,8.665,8.642300000000002,0.022699999999996834
Glycolic acid,6.78,6.753583333333334,0.02641666666666609
5-METHYLCYTIDINE,5.94,5.913449999999998,0.026550000000002072
CAPRYLIC ACID,1.374,1.4005750000000008,0.02657500000000068
2-PENTENOIC ACID,1.66,1.6896249999999984,0.029624999999998458
L-2-Aminobutyric acid,7.35,7.32,0.02999999999999936
Paraxanthine,1.68,1.7102,0.030200000000000005
L-Norleucine,6.491,6.457859999999999,0.03314000000000039
L-Threonine,7.71,7.745425,0.03542500000000004
D-GLUCURONIC ACID,8.4,8.361900833333332,0.03809916666666879
L-Methionine,6.82,6.777068749999998,0.04293125000000231
D-Glycerate 3-phosphate,8.665,8.620900000000002,0.0440999999999967
Cyclohexaneacetic acid,1.454,1.5039250000000006,0.04992500000000066
meso-Tartaric acid,8.38,8.430111249999998,0.05011124999999694
L-Dihydroorotic acid,7.27,7.322383333333333,0.052383333333333226
Pyroglutamic acid,6.877,6.930425,0.053424999999999834
4-ETHYLBENZOIC ACID,1.768,1.7140500000000003,0.05394999999999972
Guanidinoacetic acid,7.75,7.8046750000000005,0.05467500000000047
Cytidine,6.2,6.145324999999998,0.05467500000000225
N-ACETYLGLYCINE,6.77,6.712450000000001,0.057549999999998214
"3,4-Dihydroxybenzoic acid",3.08,3.1384999999999996,0.05849999999999955
Homovanillic acid,2.1,2.040975,0.059025000000000105
Thymol,1.37,1.4316999999999998,0.061699999999999644
L-Carnitine,7.6,7.53199375,0.06800624999999982
Adenylosuccinic acid,8.756,8.687675,0.06832499999999975
4-Hydroxy-3-methylbenzoic acid,1.67,1.743375000000001,0.07337500000000108
D-Sorbitol,6.88,6.956474999999999,0.0764749999999994
Folic acid,7.906,7.825550000000004,0.08044999999999547
cGMP,7.63,7.711624999999998,0.08162499999999806
L-Asparagine,8.05,8.134375,0.08437499999999964
L-CARNITINE ,7.619,7.53199375,0.08700624999999995
Suberic acid,3.38,3.467299999999999,0.08729999999999905
Chenodeoxycholic Acid,1.766,1.8563749999999999,0.09037499999999987
Dihydrofolic acid,8.0,7.9089375,0.0910624999999996
D-Lactose,8.178,8.085624999999999,0.09237500000000232
OXALOACETIC ACID,6.616,6.523324999999995,0.09267500000000428
Methylguanidine,5.85,5.75351875,0.09648125000000007
Aminoacetone,4.63,4.532524999999998,0.09747500000000198
Trehalose,8.25,8.150175,0.09982499999999916
Isocaproic acid,1.432,1.5348000000000002,0.10280000000000022
2-Indolecarboxylic acid,1.688,1.7921250000000004,0.10412500000000047
O-Phospho-L-serine,8.85,8.745650000000001,0.10434999999999839
Cotinine,1.67,1.7746500000000007,0.1046500000000008
D-Glucosamine,8.247,8.141625000000005,0.10537499999999511
DL-2-Aminoadipic acid,8.2,8.092474999999997,0.10752500000000254
Tetracaine,1.675,1.5663499999999992,0.1086500000000008
L-Alanine,7.59,7.48065,0.10935000000000006
Theobromine,1.686,1.795875,0.10987500000000017
L-Glutamic acid,8.35,8.236500000000003,0.1134999999999966
2-HYDROXYPHENYLACETIC ACID,1.763,1.8777749999999997,0.11477499999999985
Nε-Acetyl-L-lysine,7.555,7.6705250000000005,0.11552500000000077
D-(+)-Neopterin,7.28,7.161099999999996,0.11890000000000445
Tartaric acid,8.551,8.430111249999998,0.12088875000000243
XYLITOL,6.13,6.251075000000002,0.12107500000000204
L-Leucine,6.47,6.592816250000001,0.1228162500000014
4-PENTENOIC ACID,1.66,1.7840499999999984,0.12404999999999844
Imidazoleacetic acid,7.41,7.284025,0.1259750000000004
Imidazoleacetic acid,7.41,7.284025,0.1259750000000004
Oleamide,1.25,1.3781999999999999,0.12819999999999987
L-Glutamine,7.93,8.059450000000002,0.12945000000000206
N2-Acetyl-L-ornithine,7.891,7.760450000000001,0.1305499999999986
Anthranilic acid,1.61,1.7409,0.1308999999999998
Creatine,7.63,7.497724999999998,0.1322750000000017
ISOVALERIC ACID,1.87,1.7359999999999993,0.13400000000000079
3-Hydroxyphenylacetic acid,1.605,1.7392749999999992,0.13427499999999926
L-Homocitrulline,7.946,8.084050000000003,0.13805000000000334
D-Pantothenic acid,5.95,6.089174999999997,0.13917499999999716
Theophylline,1.655,1.7986000000000004,0.1436000000000004
β-Alanine,7.723,7.57687916666667,0.14612083333333015
D-Mannitol,6.8,6.956474999999999,0.15647499999999948
L-Norleucine,6.3,6.457859999999999,0.15785999999999945
L-Xylonate,7.97,7.810758333333337,0.15924166666666295
