NAME,Experimental RT,Predicted RT,mae
N-Acetylputrescine,6.788,6.773312652586057,0.014687347413943286
Hypotaurine,7.52,7.504050381263845,0.015949618736154747
L-Methionine,6.82,6.803712956050595,0.016287043949405167
Riboflavin,5.8,5.823775347313049,0.02377534731304909
PENTADECYLIC ACID,1.282,1.255731037640996,0.026268962359004
DL-Homoserine,7.753,7.780498831562539,0.027498831562539294
L-Threonine,7.71,7.681139491408583,0.028860508591416867
L-Serine,7.99,8.021276438751075,0.031276438751074664
Theobromine,1.686,1.72260912328449,0.036609123284490064
Trehalose,8.25,8.287083875723614,0.0370838757236136
L-Kynurenine,6.392,6.351403990721104,0.040596009278896616
ETHANOLAMINE ,6.904,6.9643254204327265,0.060325420432726595
Tartaric acid,8.551,8.616279259373524,0.06527925937352386
Thiamine pyrophosphate,9.05,8.979310140002864,0.0706898599971364
N2-Acetyl-L-ornithine,7.891,7.807738358712344,0.08326164128765612
MYRISTIC ACID,1.29,1.374737609638907,0.08473760963890697
NADPH,9.186,9.276091187298361,0.09009118729836096
6-METHYL-DL-TRYPTOPHAN,6.02,6.110092257464402,0.09009225746440208
Guanosine,6.65,6.558312826883638,0.09168717311636243
N-ACETYLGLYCINE,6.77,6.673455300132273,0.09654469986772618
2-Hydroxy-butanoic acid,4.123,4.21977502383974,0.09677502383974002
L-Lysine,8.76,8.860921282216308,0.10092128221630858
D-Lactose,8.178,8.291557074448118,0.11355707444811713
5-METHYLCYTIDINE,5.94,5.819205828227447,0.12079417177255358
Nitrotyrosine,6.22,6.097661440748163,0.1223385592518369
4-ETHYLBENZOIC ACID,1.768,1.8909644167787478,0.12296441677874781
ADMA,8.39,8.515304553898378,0.1253045538983777
Alpha-N-Phenylacetyl-L-glutamine,6.03,5.902099854060956,0.1279001459390443
PALMITIC ACID,1.27,1.1407182613528764,0.12928173864712367
Glutarylcarnitine,7.87,8.003234182325478,0.13323418232547812
XYLITOL,6.13,6.264640550687097,0.1346405506870969
7-Methylguanine,4.25,4.390073649830553,0.14007364983055304
D-Xylose,5.5,5.64177682671263,0.14177682671263003
D-Pantothenic acid,5.95,6.097687217615647,0.14768721761564674
D-Glucosamine,8.247,8.408164728078368,0.16116472807836857
4-NITROPHENYL FORMATE,1.51,1.671223687501743,0.16122368750174298
Hypoxanthine,3.745,3.5750045197023903,0.1699954802976098
D-Mannitol,6.8,6.625506119371928,0.1744938806280718
Creatinine,3.7,3.8789322311166137,0.1789322311166135
GUANINE,6.06,5.8803478905067825,0.17965210949321708
L-ARABITOL,6.08,6.264640550687097,0.18464055068709673
Benzoic acid,1.68,1.4914520571963528,0.18854794280364717
D-Glycerate 3-phosphate,8.665,8.475135424345986,0.18986457565401338
OXALOACETIC ACID,6.616,6.424868586171975,0.19113141382802468
D-Fructose 6-phosphate,8.475,8.272374008712488,0.2026259912875119
D-Maltose,8.088,8.291557074448118,0.20355707444811877
Indole-3-carboxylic acid,1.699,1.91185841396624,0.21285841396623995
PGE2,1.25,1.4655096140028374,0.2155096140028374
HEPTADECANOIC ACID,1.261,1.0269288578029276,0.23407114219707226
meso-Tartaric acid,8.38,8.616279259373524,0.23627925937352323
4-Trimethylammoniobutanoic acid,7.809,7.567827508676592,0.24117249132340834
Inosine,5.609,5.364768900548811,0.2442310994511887
Guanidinoacetic acid,7.75,7.994923577761643,0.24492357776164297
D-Sorbitol,6.88,6.625506119371928,0.2544938806280719
Threonate,7.36,7.092439412701648,0.26756058729835264
LINOLEIC ACID,1.263,0.9780712196221519,0.28492878037784797
D-Glycerate 2-phosphate,8.665,8.376121880135301,0.28887811986469814
Citric acid,7.9,7.604492981778176,0.2955070182218247
Glycerophosphocholine,7.915,8.212865088013052,0.2978650880130518
Hydrocortisone,1.461,1.7591556416639507,0.2981556416639506
Folic acid,7.906,8.204667520361978,0.2986675203619784
L-CARNITINE ,7.619,7.9238582505378385,0.30485825053783877
