NAME,Experimental RT,Predicted RT,mae
LINOLEIC ACID,1.263,1.278032037827873,0.01503203782787299
TETRAHYDROBIOPTERIN,8.33,8.307174414676169,0.022825585323831277
D-Lactose,8.178,8.15014986901193,0.027850130988070987
HEPTADECANOIC ACID,1.261,1.2949519977674155,0.03395199776741564
DL-Homoserine,7.753,7.797390493050472,0.04439049305047149
3-AMINO-9-ETHYLCARBAZOLE,1.295,1.249615710157319,0.045384289842680836
L-Citrulline,8.093,8.138662908052593,0.04566290805259321
UBIQUINOL,1.33,1.272883904069416,0.05711609593058409
D-Maltose,8.088,8.15014986901193,0.06214986901193065
L-Dihydroorotic acid,7.27,7.3332439647304035,0.06324396473040395
L-Glutamine,7.93,7.995312367344733,0.06531236734473289
Dihydrofolic acid,8.0,7.925839259333072,0.0741607406669278
PALMITIC ACID,1.27,1.1867631664156768,0.08323683358432321
L-Threonine,7.71,7.797542437906018,0.08754243790601812
Meclofenamic acid,1.38,1.2886014735755378,0.09139852642446211
Threonate,7.36,7.260418679194988,0.09958132080501247
Trehalose,8.25,8.15014986901193,0.09985013098807016
Folic acid,7.906,8.005868777144517,0.09986877714451747
Retinoic acid,1.3,1.2000338511456263,0.09996614885437372
Citric acid,7.9,7.7999297696408565,0.10007023035914386
5-Hydroxy-L-tryptophan,7.0,7.100261973389966,0.10026197338996568
Cotinine,1.67,1.569669118319494,0.10033088168050597
Azelaic acid,2.325,2.224668684285807,0.10033131571419318
dTMP,7.69,7.805421159365292,0.11542115936529118
Nε-Acetyl-L-lysine,7.555,7.436098199268901,0.11890180073109846
Orotic acid,7.172,7.294203693918826,0.12220369391882624
Phenylbutazone,1.24,1.1152078204980942,0.1247921795019058
dTMP,7.672,7.805421159365292,0.13342115936529186
L-Asparagine,8.05,7.911529910925033,0.13847008907496772
3-Hydroxy-3-methylglutaric acid,6.733,6.5880429538209215,0.14495704617907812
Creatine,7.63,7.782399385590768,0.15239938559076815
Benzoic acid,1.68,1.8440310612095647,0.1640310612095648
Stearic acid,1.255,1.419504209480623,0.16450420948062305
