NAME,Experimental RT,Predicted RT,mae
Tetracaine,1.675,1.6739483735683622,0.0010516264316378088
D-Sorbitol,6.88,6.878700098802091,0.0012999011979086816
MYRISTIC ACID,1.29,1.2873998926216599,0.002600107378340155
meso-Tartaric acid,8.38,8.383561465481602,0.0035614654816011893
Methylguanidine,5.85,5.8463034395905185,0.0036965604094811866
Spaglumic Acid,8.232,8.235822291414394,0.0038222914143943854
N-ACETYLGLYCINE,6.77,6.765442158390151,0.004557841609848623
Inosine,5.609,5.6142579188113,0.005257918811300222
PENTADECYLIC ACID,1.282,1.2873998926216599,0.005399892621659852
L-Norleucine,6.491,6.496404415621798,0.005404415621798719
Cotinine,1.67,1.6756524884340245,0.00565248843402455
D-Fructose 6-phosphate,8.475,8.467977264164661,0.007022735835338523
4-Methoxyphenylacetic acid,1.69,1.6809482256436596,0.009051774356340303
O-Phospho-L-serine,8.85,8.859966608866662,0.009966608866662341
Homovanillic acid,2.1,2.084845316397154,0.01515468360284622
L-Dihydroorotic acid,7.27,7.285226706152685,0.015226706152685843
PALMITIC ACID,1.27,1.2873998926216599,0.017399892621659863
Valeric acid,1.56,1.539918603252122,0.020081396747878122
Hydrocortisone,1.461,1.4811351838138456,0.020135183813845492
Biotin,3.9,3.8769004113751184,0.023099588624881484
NONADECANOIC ACID,1.26,1.2837586568119406,0.02375865681194056
CHOLESTERYL SULFATE,1.228,1.2519198681608885,0.023919868160888536
LINOLEIC ACID,1.263,1.2873998926216599,0.02439989262165998
ADMA,8.39,8.415829381411415,0.02582938141141433
HEPTADECANOIC ACID,1.261,1.2873998926216599,0.02639989262165998
D-Pantothenic acid,5.95,5.976979874176711,0.02697987417671044
Stearic acid,1.255,1.2837586568119406,0.028758656811940675
2-PENTENOIC ACID,1.66,1.628142205467619,0.03185779453238102
L-Alanine,7.59,7.621982861406947,0.03198286140694684
(R)-(+)-2-Pyrrolidone-5-carboxylic acid,6.939,6.972358423319335,0.03335842331933492
Paraxanthine,1.68,1.6461502503717058,0.033849749628294123
Homoarginine,8.624,8.65866771468158,0.03466771468157859
D-Maltose,8.088,8.12353153470247,0.03553153470247139
XYLITOL,6.13,6.166893195909034,0.03689319590903395
L-Histidine,8.25,8.287646297301206,0.03764629730120639
L-Carnitine,7.6,7.561865931889086,0.03813406811091369
Cyclohexaneacetic acid,1.454,1.4928276932138858,0.038827693213885794
Acetyl-L-tyrosine,5.85,5.810388747547436,0.03961125245256358
dTMP,7.672,7.632299734327325,0.03970026567267482
D-Galactonic acid,8.26,8.300387820062383,0.040387820062383284
UBIQUINOL,1.33,1.3710369607656538,0.041036960765653774
cis-Aconitic acid,7.87,7.827969001466247,0.04203099853375303
Orotic acid,7.172,7.21577649798474,0.043776497984739926
Isocaproic acid,1.432,1.4763473310029926,0.04434733100299271
Imidazoleacetic acid,7.41,7.454494811170091,0.044494811170090465
Imidazoleacetic acid,7.41,7.454494811170091,0.044494811170090465
Pseudouridine,6.32,6.275425429175244,0.04457457082475624
D-Glycerate 3-phosphate,8.665,8.618044918618416,0.046955081381582886
Triphenyl phosphate,1.21,1.2571281676408055,0.04712816764080552
CAPRYLIC ACID,1.374,1.4215564550157753,0.04755645501577521
Uracil,2.28,2.328769356334757,0.04876935633475732
MEDRONIC ACID,9.11,9.060072606978725,0.04992739302127447
2-Furoic acid,3.8,3.7492041672401277,0.050795832759872095
"2,4-DI-TERT-BUTYLPHENOL",1.232,1.2828017997307397,0.05080179973073973
Glyceraldehyde,4.03,4.082392446385518,0.0523924463855181
NADPH,9.186,9.132850297470558,0.05314970252944207
D-Lactose,8.178,8.12353153470247,0.054468465297530244
Citric acid,7.9,7.954744489764409,0.05474448976440893
L-Serine,7.99,8.045031238872983,0.055031238872983224
N6-Methyladenosine,2.89,2.8341938047307105,0.05580619526928965
L-Valine,7.02,6.963978266072787,0.05602173392721266
L-Valine,7.02,6.963978266072787,0.05602173392721266
Hydrocortisone,1.425,1.4811351838138456,0.056135183813845524
D-GLUCOSE 6-PHOSPHATE,8.87,8.813008537747585,0.05699146225241414
L-CARNITINE ,7.619,7.561865931889086,0.057134068110913816
Thymol,1.37,1.3126931391213692,0.057306860878630905
dTMP,7.69,7.632299734327325,0.0577002656726755
N-Acetyl-L-alanine,6.41,6.4681527753544685,0.05815277535446839
3-Hydroxyphenylacetic acid,1.605,1.6634640125490798,0.05846401254907985
4-HYDROXY-3-NITROPHENYLACETIC ACID,1.7,1.7594580188672384,0.05945801886723845
6-Phosphogluconic acid,9.145,9.085296836754177,0.05970316324582292
PHENYLACETIC ACID,1.645,1.585230385326401,0.05976961467359909
Guanosine,6.65,6.710322957891139,0.06032295789113906
D-Glycerate 2-phosphate,8.665,8.602867118811957,0.06213288118804172
Adenylosuccinic acid,8.756,8.818438629532128,0.062438629532127976
2-Indolecarboxylic acid,1.688,1.7518288102386388,0.06382881023863884
Biopterin,6.158,6.222252199865444,0.06425219986544395
ISOVALERYL-L-CARNITINE,6.007,5.94256434117661,0.06443565882339009
Trimethylamine N-oxide,7.25,7.185557466519301,0.06444253348069928
Carnosine,8.69,8.623669742475332,0.06633025752466715
Folic acid,7.906,7.972599785300655,0.06659978530065569
Glycolic acid,6.78,6.713065208935979,0.06693479106402123
Glycocholic acid,6.4,6.33236424961084,0.0676357503891607
Suberic acid,3.38,3.3111000933749675,0.06889990662503243
4-Hydroxybenzaldehyde,1.365,1.4344163039835844,0.06941630398358445
Isoleucine,6.622,6.693899382318741,0.07189938231874127
L-Glutamic acid,8.35,8.277343973168495,0.0726560268315044
L-Isoleucine,6.62,6.693899382318741,0.07389938231874105
D-Mannitol,6.8,6.878700098802091,0.07870009880209139
Anthranilic acid,1.61,1.6894442923461497,0.07944429234614958
5-Hydroxy-L-tryptophan,7.0,6.919609818342288,0.08039018165771239
Aminoacetone,4.63,4.711439913102534,0.08143991310253451
Trehalose,8.25,8.166934510824403,0.0830654891755973
β-Alanine,7.723,7.638450488360442,0.08454951163955826
L-ARABITOL,6.08,6.166893195909034,0.08689319590903377
Acetylcarnitine,7.01,6.920801461466947,0.08919853853305248
L-Arginine,8.7,8.610717981178448,0.08928201882155129
L-Methionine,6.82,6.9096874413737455,0.08968744137374518
Guanidinoacetic acid,7.75,7.840861009108894,0.09086100910889439
2-Methylglutaric acid,5.846,5.754294265530095,0.09170573446990549
4-Hydroxy-3-methylbenzoic acid,1.67,1.7638255794392075,0.09382557943920755
Pyrrole-2-carboxylic acid,2.432,2.5262495987246183,0.09424959872461836
Pyroglutamic acid,6.877,6.972358423319335,0.0953584233193352
Citramalic acid,6.747,6.650017252189729,0.09698274781027116
3-Methyl-2-oxovaleric acid,1.674,1.774514856203119,0.10051485620311906
Retinoic acid,1.3,1.401742467242295,0.10174246724229485
2'-Deoxyadenosine,3.177,3.2801230504436294,0.10312305044362935
Hypoxanthine,3.745,3.8484952341099503,0.10349523410995021
L-Threonine,7.71,7.8142098021759185,0.10420980217591858
Tiglic acid,1.53,1.6351471207856914,0.10514712078569133
6-METHYL-DL-TRYPTOPHAN,6.02,6.126796666258942,0.10679666625894235
cGMP,7.63,7.7399345738945255,0.10993457389452566
trans-4-Hydroxy-L-proline,7.551,7.441022916153263,0.10997708384673732
cis-4-Hydroxy-D-proline,7.551,7.441022916153263,0.10997708384673732
DL-Homoserine,7.753,7.863662026058934,0.11066202605893416
Theophylline,1.655,1.767918868930878,0.11291886893087799
Caffeine,1.46,1.574284751637256,0.11428475163725604
Folinic acid,7.946,8.060792764879462,0.11479276487946244
DL-Methionine sulfoxide,7.888,7.770701312865675,0.11729868713432534
OXALOACETIC ACID,6.616,6.496562521388922,0.11943747861107745
GLUCONIC ACID,8.42,8.300387820062383,0.11961217993761686
"3,4-Dihydroxybenzoic acid",3.08,3.20472680705112,0.12472680705112005
4-PENTENOIC ACID,1.66,1.5331809932141491,0.12681900678585079
Xanthurenic acid,6.013,5.8857690676088765,0.12723093239112337
Urea,2.6,2.7307134768613825,0.13071347686138246
Indole-3-carboxylic acid,1.699,1.8316668733138801,0.13266687331388005
Melatonin,1.391,1.5243254087144575,0.13332540871445753
Dihydrofolic acid,8.0,8.134244966847922,0.13424496684792153
D-GLUCURONIC ACID,8.4,8.53516740405016,0.1351674040501596
Myo-Inositol,8.165,8.029273960925744,0.13572603907425496
1-Methylnicotinamide,6.542,6.401979527174073,0.14002047282592667
Theobromine,1.686,1.826654357188118,0.14065435718811803
2-HYDROXYPHENYLACETIC ACID,1.763,1.6175300848260994,0.1454699151739005
Phenylglyoxylic acid,1.622,1.7693975537226283,0.1473975537226282
Isocitrate,8.736,8.588030247414165,0.14796975258583522
D-Ribulose 5-phosphate,8.17,8.31874592260684,0.1487459226068406
4-NITROPHENYL FORMATE,1.51,1.662309715050403,0.15230971505040292
7-Methylguanine,4.25,4.095481132575803,0.15451886742419685
Cytidine,6.2,6.043396508403955,0.15660349159604525
Oleamide,1.25,1.4068157510985329,0.15681575109853285
Retinaldehyde,1.211,1.053229702222815,0.1577702977771851
L-Homocitrulline,7.946,8.105737050069429,0.1597370500694293
2-Hydroxy-butanoic acid,4.123,4.284673064901188,0.16167306490118794
"CIS,CIS-MUCONIC ACID",6.875,6.709664830669089,0.16533516933091086
Tartaric acid,8.551,8.383561465481602,0.16743853451839819
L-Proline,7.07,6.90253584953766,0.1674641504623402
DL-2-Aminoadipic acid,8.2,8.031565315532344,0.16843468446765542
Creatine,7.63,7.800521165216663,0.17052116521666338
Vanillylmandelic acid,4.35,4.522223412539452,0.17222341253945217
L-Xylonate,7.97,7.786299974910489,0.1837000250895109
Argininosuccinic acid,9.138,8.95158883309026,0.18641116690973902
3-Hydroxy-3-methylglutaric acid,6.733,6.543729955836664,0.1892700441633357
L-Tryptophan,6.48,6.2905838500577165,0.18941614994228395
Threonate,7.36,7.170555543900823,0.18944445609917704
L-Norleucine,6.3,6.496404415621798,0.19640441562179856
Meclofenamic acid,1.38,1.576466664259494,0.1964666642594941
L-Citrulline,8.093,8.291645101787186,0.19864510178718575
Alpha-N-Phenylacetyl-L-glutamine,6.03,6.229574008540343,0.1995740085403428
ISOVALERIC ACID,1.87,1.6696882983688364,0.20031170163116374
Benzoic acid,1.68,1.8807461068034228,0.20074610680342286
Nitrotyrosine,6.22,6.018160715244699,0.20183928475530077
p-Coumaric acid,2.374,2.171826666092389,0.20217333390761105
N2-Acetyl-L-ornithine,7.891,7.688769303389448,0.2022306966105516
L-(+)-MANDELIC ACID,2.65,2.447707962482031,0.2022920375179691
α-Hydroxyisobutyric acid,3.85,4.057696890076409,0.2076968900764089
5'-Methylthioadenosine,1.708,1.923532638772822,0.21553263877282203
"2,3-Dihydroxybenzoic acid",1.77,1.9903765664869186,0.2203765664869186
3-Ureidopropionic acid,6.835,7.057236359013038,0.22223635901303762
"3,4-PYRIDINEDICARBOXYLIC ACID",6.83,7.05423583034681,0.22423583034681016
Kynurenic acid,5.31,5.084618431525817,0.2253815684741829
Glutaric acid,6.8,6.574379200357065,0.22562079964293513
"3,3-Dimethylglutaric acid",1.665,1.8923899452141044,0.22738994521410438
Dopamine,6.25,6.014496910628949,0.23550308937105058
Creatinine,3.7,3.939355115163808,0.23935511516380803
1-Methylguanosine,5.0,5.241596798608862,0.24159679860886207
Cysteine-S-sulfate,7.372,7.618576529933981,0.24657652993398127
5-METHYLCYTIDINE,5.94,5.692572136890092,0.24742786310990805
PGE2,1.25,1.498525879089467,0.2485258790894671
D-(+)-Neopterin,7.28,7.030817802765723,0.24918219723427715
2-Isopropylmalic acid,2.42,2.66983984155222,0.24983984155222005
2-Isopropylmalic acid,2.42,2.66983984155222,0.24983984155222005
GUANINE,6.06,5.808259602833835,0.2517403971661647
