NAME,Experimental RT,Predicted RT,mae
L-Glutamine,7.93,7.946549994149395,0.016549994149395175
Stearic acid,1.255,1.2228273985813234,0.032172601418676505
Cystathionine,8.73,8.778127069235556,0.0481270692355551
Homoarginine,8.624,8.701146355252245,0.07714635525224445
L-Arginine,8.7,8.781519670244867,0.08151967024486773
Thymol,1.37,1.4549529055000268,0.08495290550002665
Trimethylamine N-oxide,7.25,7.159922596696077,0.09007740330392267
L-Asparagine,8.05,8.148346643456287,0.09834664345628674
Adenylosuccinic acid,8.756,8.656398214932636,0.09960178506736383
ADMA,8.39,8.497015879276418,0.10701587927641754
3-methyl-adipic acid,5.124,5.253041161845719,0.129041161845719
Guanidinoacetic acid,7.75,7.610052338722628,0.1399476612773718
HEPTADECANOIC ACID,1.261,1.4447591543768477,0.18375915437684776
GUANINE,6.06,5.86986428693916,0.19013571306083943
Pseudouridine,6.32,6.514940773933221,0.1949407739332205
L-(+)-MANDELIC ACID,2.65,2.8665790826503885,0.2165790826503886
Chenodeoxycholic Acid,1.766,1.984895190132237,0.2188951901322369
UBIQUINOL,1.33,1.5504644899907571,0.22046448999075707
D-(+)-Neopterin,7.28,7.044401079028875,0.23559892097112556
D-Fructose,6.877,7.1141733384728525,0.2371733384728527
O-Phospho-L-serine,8.85,9.089966078512242,0.23996607851224283
alpha-D-Glucose-1-phosphate,8.62,8.861085439671497,0.24108543967149743
Methylguanidine,5.85,6.092798180628797,0.24279818062879777
NONADECANOIC ACID,1.26,1.0029778944807783,0.25702210551922167
D-Lactose,8.178,8.436364795635969,0.25836479563596804
OXALOACETIC ACID,6.616,6.344243806185945,0.27175619381405447
5-METHYLCYTIDINE,5.94,6.22455443611752,0.28455443611751985
Guanosine,6.65,6.36476652650789,0.28523347349211026
Indole-3-carboxylic acid,1.699,1.9991475566798607,0.3001475566798606
Vanillylmandelic acid,4.35,4.036475198274687,0.31352480172531294
Dihydrofolic acid,8.0,7.6830449342176586,0.31695506578234145
Cytidine,6.2,6.5246186658154715,0.3246186658154713
1-Methylguanosine,5.0,5.328233393245687,0.3282333932456867
Folinic acid,7.946,8.27561058476848,0.3296105847684796
Isocitrate,8.736,8.395859898371437,0.34014010162856323
D-Maltose,8.088,8.436364795635969,0.34836479563596967
Hydrocortisone,1.461,1.8177433227278983,0.3567433227278982
2-Furoic acid,3.8,4.158292638195827,0.35829263819582735
"2,4-DI-TERT-BUTYLPHENOL",1.232,0.8483994785310323,0.3836005214689677
D-(+)-Mannose,6.69,7.082291126760197,0.3922911267601963
Hydrocortisone,1.425,1.8177433227278983,0.39274332272789825
PALMITIC ACID,1.27,1.6627614342279688,0.39276143422796883
3-Hydroxy-DL-kynurenine,6.935,6.51927349011098,0.41572650988901927
L-Xylonate,7.97,7.544553957906938,0.42544604209306147
Citric acid,7.9,7.473758337072988,0.42624166292701204
3-Indolebutyric acid,1.432,1.8770333913030743,0.4450333913030744
Threonate,7.36,6.911206923202329,0.44879307679767155
Trehalose,8.25,8.700190510756084,0.45019051075608374
L-Dihydroorotic acid,7.27,6.817809563429636,0.45219043657036373
D-GLUCOSE 6-PHOSPHATE,8.87,9.327314548074366,0.45731454807436656
D-Pantothenic acid,5.95,6.416028949777319,0.4660289497773187
3-Hydroxy-3-methylglutaric acid,6.733,6.257246138562887,0.47575386143711285
D-Glycerate 2-phosphate,8.665,8.165096383648038,0.49990361635196123
TETRAHYDROBIOPTERIN,8.33,7.82940447464075,0.50059552535925
D-Glycerate 3-phosphate,8.665,8.163228930154522,0.5017710698454767
Pregnenolone sulfate,1.346,1.8505343117821835,0.5045343117821834
O-Phosphorylethanolamine,8.41,7.897238192149956,0.512761807850044
Aminoacetone,4.63,5.145225088516349,0.515225088516349
D-Galactonic acid,8.26,7.738678816723439,0.5213211832765605
2-Methylglutaric acid,5.846,5.323546414335633,0.5224535856643673
Nε-Acetyl-L-lysine,7.555,7.015357032007518,0.5396429679924815
2-Hydroxy-butanoic acid,4.123,4.671750080404834,0.548750080404834
Caffeine,1.46,2.0218563567572128,0.5618563567572128
2-Indolecarboxylic acid,1.688,2.251003543085792,0.5630035430857923
L-Kynurenine,6.392,5.828121710715587,0.5638782892844132
D-Sorbitol,6.88,7.446305502927942,0.5663055029279418
Cysteine-S-sulfate,7.372,7.9423693531696085,0.5703693531696086
4-ETHYLBENZOIC ACID,1.768,2.356815415626037,0.5888154156260368
D-Ribulose 5-phosphate,8.17,8.759740466600274,0.5897404666002739
PENTADECYLIC ACID,1.282,1.8827770259577716,0.6007770259577716
7-Methylguanine,4.25,4.858960877360207,0.6089608773602073
D-Mannitol,6.8,7.446305502927942,0.6463055029279419
XYLITOL,6.13,6.778680122812531,0.6486801228125314
dTMP,7.672,7.013446247833864,0.658553752166136
Hypoxanthine,3.745,4.405650952041826,0.6606509520418262
Nα-Acetyl-L-arginine,7.74,8.404704467971454,0.664704467971454
Citramalic acid,6.747,6.07270635719894,0.67429364280106
dTMP,7.69,7.013446247833864,0.6765537521661367
GLUCONIC ACID,8.42,7.738678816723439,0.6813211832765607
p-Coumaric acid,2.374,3.058910712111355,0.6849107121113547
L-Citrulline,8.093,8.783319410200443,0.6903194102004431
L-ARABITOL,6.08,6.778680122812531,0.6986801228125312
CYTOSINE,5.129,5.8375123758736684,0.7085123758736689
PHENYLACETIC ACID,1.645,2.359539069526355,0.7145390695263552
L-Cystine,9.07,8.318424800766682,0.7515751992333186
L-Homocitrulline,7.946,8.70442327620495,0.758423276204951
Alpha-N-Phenylacetyl-L-glutamine,6.03,5.260046559779308,0.769953440220692
cGMP,7.63,6.850008047346675,0.779991952653325
MEDRONIC ACID,9.11,8.329553634702123,0.7804463652978768
Inosine,5.609,4.815743033438352,0.793256966561648
N2-Acetyl-L-ornithine,7.891,7.0916034085129205,0.7993965914870795
LINOLEIC ACID,1.263,2.066508235597502,0.8035082355975023
6-Phosphogluconic acid,9.145,9.94919513237658,0.8041951323765808
Spaglumic Acid,8.232,9.038687589847994,0.8066875898479946
MYRISTIC ACID,1.29,2.09879098327161,0.80879098327161
3-Ureidopropionic acid,6.835,7.64681359328684,0.81181359328684
3-AMINO-9-ETHYLCARBAZOLE,1.295,0.47698366787937685,0.8180163321206231
Cotinine,1.67,2.494505794562015,0.8245057945620151
