NAME,Experimental RT,Predicted RT,mae
N-Formylmethionine,4.7,4.710924418495789,0.010924418495788402
3-Isopropylmalate,4.545,4.556075555116398,0.011075555116398128
L-Arginine,8.7,8.65976224599165,0.0402377540083485
Nα-Acetyl-L-arginine,7.74,7.782826939957736,0.042826939957735455
Dihydrofolic acid,8.0,7.946258318233706,0.05374168176629368
D-Fructose 6-phosphate,8.475,8.409602956622376,0.06539704337762409
UBIQUINOL,1.33,1.243389005355247,0.08661099464475308
L-Kynurenine,6.392,6.489000768419551,0.09700076841955063
GLUCONIC ACID,8.42,8.517823577444943,0.09782357744494341
PENTADECYLIC ACID,1.282,1.1806446536675712,0.10135534633242882
D-Glucosamine,8.247,8.35783806756757,0.11083806756757042
MYRISTIC ACID,1.29,1.4127329395923032,0.12273293959230314
ADMA,8.39,8.517960078399156,0.12796007839915546
Vanillylmandelic acid,4.35,4.481109791444959,0.1311097914449597
TETRAHYDROBIOPTERIN,8.33,8.186357744500096,0.14364225549990373
Malonaldehyde,3.43,3.2659840186442795,0.1640159813557207
3-Hydroxy-DL-kynurenine,6.935,7.101701980712132,0.1667019807121326
Homoarginine,8.624,8.427673960066919,0.19632603993308173
Alpha-N-Phenylacetyl-L-glutamine,6.03,5.830351009952373,0.19964899004762682
Guanidinoacetic acid,7.75,7.529745621807146,0.22025437819285365
D-Pantothenic acid,5.95,6.1702594597123355,0.2202594597123353
6-Phosphogluconic acid,9.145,8.916106375233166,0.22889362476683317
D-Galactonic acid,8.26,8.517823577444943,0.25782357744494355
Folinic acid,7.946,7.683566641938092,0.2624333580619078
Argininosuccinic acid,9.138,9.404445791845053,0.2664457918450527
Tetracaine,1.675,1.9939179250347172,0.31891792503471716
Phenylbutazone,1.24,1.5607886905163468,0.32078869051634684
PALMITIC ACID,1.27,0.9485563677428397,0.3214436322571603
Xanthine,6.83,6.493673408907271,0.3363265910927291
L-Citrulline,8.093,7.748492095466004,0.34450790453399627
Folic acid,7.906,7.55628001389091,0.34971998610908983
Retinoic acid,1.3,0.9186306031132214,0.3813693968867786
L-Asparagine,8.05,7.666874104676367,0.3831258953236336
Suberic acid,3.38,3.7992645142169463,0.41926451421694644
L-Homocitrulline,7.946,7.516403809541273,0.4295961904587271
2-Furoic acid,3.8,3.3556906975462213,0.44430930245377853
3-Ureidopropionic acid,6.835,6.386387185356768,0.44861281464323177
Meclofenamic acid,1.38,1.8522583154312857,0.4722583154312858
Oleamide,1.25,1.7306225798935824,0.48062257989358237
Cysteine-S-sulfate,7.372,6.88094812488338,0.49105187511661974
L-Glutamine,7.93,7.434785818751635,0.4952141812483646
LINOLEIC ACID,1.263,0.7509154331512069,0.512084566848793
HEPTADECANOIC ACID,1.261,0.7164680818181077,0.5445319181818922
Myo-Inositol,8.165,8.72099750629215,0.555997506292151
Agmatine,8.473,7.896896759493988,0.5761032405060131
D-Ribulose 5-phosphate,8.17,7.5918239895021715,0.5781760104978284
L-Xylonate,7.97,7.351740697965092,0.6182593020349074
Methylsuccinic acid,3.95,4.581261035671618,0.631261035671618
alpha-D-Glucose-1-phosphate,8.62,7.979706636442028,0.6402933635579711
NADPH,9.186,9.831234300220427,0.6452343002204266
"2,4-DI-TERT-BUTYLPHENOL",1.232,1.8797057558504986,0.6477057558504986
GUANINE,6.06,6.714698523645752,0.6546985236457523
Aminoacetone,4.63,5.285482147258016,0.6554821472580157
2-Hydroxy-butanoic acid,4.123,4.78348305152862,0.6604830515286197
Pregnenolone sulfate,1.346,2.0319002238266775,0.6859002238266774
Chenodeoxycholic Acid,1.766,2.46286438449975,0.69686438449975
CYTOSINE,5.129,5.840035377049737,0.7110353770497371
cGMP,7.63,6.914392486293012,0.7156075137069875
Inosine,5.609,6.33189283662492,0.7228928366249203
Dopamine,6.25,5.5270230009773975,0.7229769990226025
Biotin,3.9,4.622982907904886,0.722982907904886
Stearic acid,1.255,0.4843797958933762,0.7706202041066237
D-GLUCURONIC ACID,8.4,7.616049134153053,0.783950865846947
Retinaldehyde,1.211,0.4130790971367002,0.7979209028632999
D-GLUCOSE 6-PHOSPHATE,8.87,8.069245412563816,0.8007545874361828
ETHANOLAMINE ,6.904,6.078035419924182,0.8259645800758175
Threonate,7.36,6.5339617315567615,0.8260382684432388
Nitrotyrosine,6.22,5.3898257240101675,0.8301742759898323
D-(+)-Neopterin,7.28,8.146361215273448,0.8663612152734474
CHOLESTERYL SULFATE,1.228,0.3223834825395091,0.9056165174604909
Methylguanidine,5.85,6.767832049011561,0.9178320490115617
α-Hydroxyisobutyric acid,3.85,4.78348305152862,0.9334830515286199
Orotic acid,7.172,6.236114071542858,0.9358859284571421
Adenylosuccinic acid,8.756,7.807937288151061,0.9480627118489391
Thiamine,6.96,5.983509649461968,0.9764903505380316
Cotinine,1.67,2.6475223459629866,0.9775223459629867
6-METHYL-DL-TRYPTOPHAN,6.02,5.040918736829866,0.9790812631701336
D-(+)-Mannose,6.69,7.6709626147755925,0.9809626147755921
L-Dihydroorotic acid,7.27,6.2673357497653495,1.0026642502346501
3-methyl-adipic acid,5.124,4.117084463822154,1.0069155361778455
NONADECANOIC ACID,1.26,0.25229150996864425,1.0077084900313558
2-Ketobutyrate,2.862,3.873762239294956,1.011762239294956
Cystathionine,8.73,7.711878207434523,1.018121792565477
"D-fructose 1,6-bisphosphate",9.41,8.377037521240045,1.0329624787599556
Acetyl-L-tyrosine,5.85,4.800251969860437,1.049748030139563
Creatine,7.63,6.55476327849383,1.0752367215061698
L-Threonine,7.71,6.609764532775449,1.1002354672245511
D-Fructose,6.877,8.01132015883415,1.134320158834151
L-Phenylalanine,6.2,5.06448606360177,1.1355139363982305
DL-Homoserine,7.753,6.608812619785242,1.144187380214758
L-Serine,7.99,6.840900905709974,1.149099094290026
5-Hydroxy-L-tryptophan,7.0,5.837113076185263,1.162886923814737
Hypoxanthine,3.745,4.917361720262177,1.1723617202621766
(-)-Epinephrine,6.518,5.340964761556776,1.1770352384432234
Glyceraldehyde,4.03,5.217625714838729,1.1876257148387284
Citramalic acid,6.747,5.545396625036076,1.2016033749639234
Thymol,1.37,2.5717346008182753,1.2017346008182752
L-Norleucine,6.3,5.095720708592922,1.2042792914070777
dTMP,7.672,6.4524837802218435,1.2195162197781562
Phthalate,2.125,3.348488218506618,1.2234882185066178
dTMP,7.69,6.4524837802218435,1.2375162197781568
Azelaic acid,2.325,3.5671762282922144,1.2421762282922142
L-Tryptophan,6.48,5.224411864604554,1.2555881353954463
Trehalose,8.25,9.514146596976687,1.264146596976687
Riboflavin,5.8,7.065894611201556,1.2658946112015563
N-Acetylputrescine,6.788,5.51333777095457,1.27466222904543
