NAME,Experimental RT,Predicted RT,mae
7-Methylguanine,4.25,4.26241901112396,0.012419011123959933
Oleamide,1.25,1.221394749327395,0.02860525067260511
Biopterin,6.158,6.127971738895571,0.030028261104429355
HEPTADECANOIC ACID,1.261,1.2963049946185627,0.035304994618562846
UBIQUINOL,1.33,1.2918521785728512,0.0381478214271489
Methylguanidine,5.85,5.8985763679370296,0.04857636793702991
"2,3-Diphospho-D-Glyceric Acid",9.53,9.587712201234739,0.057712201234739524
Cholic acid,1.634,1.572429748653016,0.061570251346983795
O-Phospho-L-serine,8.85,8.772966742909471,0.07703325709052855
Inosine,5.609,5.529711872922685,0.07928812707731492
3-methyl-adipic acid,5.124,5.221696563956649,0.09769656395664938
3-Ureidopropionic acid,6.835,6.729437915832765,0.1055620841672349
Citramalic acid,6.747,6.861887413211259,0.11488741321125939
LINOLEIC ACID,1.263,1.1432625235672749,0.11973747643272503
D-GLUCURONIC ACID,8.4,8.276415169891152,0.12358483010884846
Argininosuccinic acid,9.138,9.26220866682462,0.12420866682461984
Cytidine,6.2,6.333651316726103,0.13365131672610264
Myo-Inositol,8.165,8.018019085175657,0.14698091482434172
3-Hydroxy-3-methylglutaric acid,6.733,6.585716959888748,0.14728304011125193
5-METHYLCYTIDINE,5.94,6.114211783603505,0.17421178360350442
Meclofenamic acid,1.38,1.5559346121571758,0.17593461215717587
Stearic acid,1.255,1.0772941472370068,0.1777058527629931
L-Xylonate,7.97,8.14996200705776,0.17996200705775944
Thymol,1.37,1.166109835383832,0.20389016461616816
Threonate,7.36,7.5670812678767305,0.2070812678767302
2-Furoic acid,3.8,4.009860995551396,0.20986099555139592
2-Methylglutaric acid,5.846,5.6341202625806535,0.21187973741934663
Spaglumic Acid,8.232,8.454963568659768,0.22296356865976819
PALMITIC ACID,1.27,1.5137847270328266,0.2437847270328266
D-Glycerate 2-phosphate,8.665,8.412068576529217,0.25293142347078224
Vanillylmandelic acid,4.35,4.604051583990662,0.2540515839906625
Hypoxanthine,3.745,3.480632571246389,0.2643674287536113
meso-Tartaric acid,8.38,8.113686381030844,0.26631361896915706
Guanosine,6.65,6.37856832475827,0.27143167524173073
Citric acid,7.9,8.177812410544266,0.2778124105442661
Cotinine,1.67,1.9535626463878653,0.2835626463878653
GLUCONIC ACID,8.42,8.71039576183391,0.2903957618339099
Tetracaine,1.675,1.9803768082546762,0.30537680825467617
D-Glycerate 3-phosphate,8.665,8.358097814236837,0.3069021857631622
alpha-D-Glucose-1-phosphate,8.62,8.94753146498682,0.32753146498682106
Isocitrate,8.736,8.400728232840947,0.33527176715905327
