NAME,Experimental RT,Predicted RT,mae
NONADECANOIC ACID,1.26,1.259375,0.0006250000000000977
HEPTADECANOIC ACID,1.261,1.26015,0.0008499999999997954
meso-Tartaric acid,8.38,8.378761249999998,0.0012387500000023977
4-Hydroxybenzoic acid,1.883,1.8804749999999995,0.0025250000000005546
Stearic acid,1.255,1.257775,0.002775000000000194
PENTADECYLIC ACID,1.282,1.278225,0.003775000000000084
D-Glycerate 3-phosphate,8.665,8.66985,0.004850000000001131
L-2-Aminobutyric acid,7.35,7.3559,0.00590000000000046
LINOLEIC ACID,1.263,1.2689999999999995,0.005999999999999561
PALMITIC ACID,1.27,1.2763250000000004,0.006325000000000358
Biopterin,6.158,6.1509499999999955,0.007050000000004886
4-ETHYLBENZOIC ACID,1.768,1.7604000000000002,0.007599999999999829
MYRISTIC ACID,1.29,1.28225,0.007750000000000146
L-Valine,7.02,7.028375000000001,0.008375000000001798
L-Valine,7.02,7.028375000000001,0.008375000000001798
L-Threonine,7.71,7.722574999999999,0.012574999999999115
L-(+)-MANDELIC ACID,2.65,2.662825000000001,0.012825000000001197
Paraxanthine,1.68,1.69615,0.01615000000000011
Tetracaine,1.675,1.6914399999999994,0.016439999999999344
Nε-Acetyl-L-lysine,7.555,7.572375000000001,0.01737500000000125
D-Ribulose 5-phosphate,8.17,8.188225,0.01822499999999927
D-Fructose 6-phosphate,8.475,8.456425000000001,0.018574999999998454
Dopamine,6.25,6.269574999999999,0.019574999999998788
Dihydrofolic acid,8.0,7.979675000000003,0.02032499999999704
Creatine,7.63,7.608199999999998,0.021800000000001596
D-Glycerate 2-phosphate,8.665,8.6429875,0.02201249999999888
Isoleucine,6.622,6.647718750000003,0.0257187500000029
dTMP,7.672,7.645224999999998,0.026775000000001548
L-Isoleucine,6.62,6.647718750000003,0.02771875000000268
L-Norleucine,6.491,6.462859999999999,0.028140000000000498
Homovanillic acid,2.1,2.12945,0.029449999999999754
Trehalose,8.25,8.220400000000001,0.029599999999998516
OXALOACETIC ACID,6.616,6.648383333333331,0.03238333333333099
2-HYDROXYPHENYLACETIC ACID,1.763,1.7954249999999998,0.032424999999999926
Aminoacetone,4.63,4.597112499999998,0.03288750000000196
D-Sorbitol,6.88,6.913299999999998,0.03329999999999789
D-Lactose,8.178,8.144249999999998,0.033750000000003055
Theobromine,1.686,1.722325,0.03632500000000016
D-(+)-Mannose,6.69,6.726845833333333,0.03684583333333258
7-Methylguanine,4.25,4.286925,0.0369250000000001
CAPRYLIC ACID,1.374,1.4157250000000006,0.041725000000000456
N-Acetyl-L-alanine,6.41,6.454433333333332,0.044433333333332214
dTMP,7.69,7.645224999999998,0.04477500000000223
4-Hydroxy-3-methylbenzoic acid,1.67,1.7190750000000008,0.04907500000000087
Oleamide,1.25,1.3009749999999998,0.05097499999999977
2-Furoic acid,3.8,3.74825,0.05174999999999974
Isocaproic acid,1.432,1.4840000000000007,0.05200000000000071
Citric acid,7.9,7.953399999999998,0.05339999999999723
Cyclohexaneacetic acid,1.454,1.5089000000000001,0.05490000000000017
D-Maltose,8.088,8.144249999999998,0.05624999999999858
Folic acid,7.906,7.847750000000002,0.05824999999999747
"2,4-DI-TERT-BUTYLPHENOL",1.232,1.2905749999999994,0.05857499999999938
Cotinine,1.67,1.7363000000000006,0.06630000000000069
Retinaldehyde,1.211,1.2806499999999992,0.0696499999999991
Theophylline,1.655,1.7258250000000004,0.07082500000000036
DL-Homoserine,7.753,7.825299999999996,0.07229999999999581
L-Citrulline,8.093,8.168825000000004,0.07582500000000358
DL-Methionine sulfoxide,7.888,7.80895,0.07904999999999962
Spaglumic Acid,8.232,8.312549999999998,0.08054999999999879
Thymol,1.37,1.451925,0.0819249999999998
ISOVALERYL-L-CARNITINE,6.007,5.924275000000002,0.08272499999999727
4-Methoxyphenylacetic acid,1.69,1.7748499999999994,0.08484999999999943
Cytidine,6.2,6.288424999999997,0.08842499999999642
Adenylosuccinic acid,8.756,8.664925,0.09107500000000002
3-Hydroxyphenylacetic acid,1.605,1.7009499999999993,0.09594999999999931
(R)-(+)-2-Pyrrolidone-5-carboxylic acid,6.939,7.036749999999998,0.09774999999999778
DL-2-Aminoadipic acid,8.2,8.101574999999999,0.09842500000000065
Threonate,7.36,7.258833333333338,0.10116666666666241
PHENYLACETIC ACID,1.645,1.7478500000000001,0.10285000000000011
ADMA,8.39,8.285999999999998,0.10400000000000276
N2-Acetyl-L-ornithine,7.891,7.9985250000000025,0.10752500000000254
Orotic acid,7.172,7.062050000000001,0.10994999999999866
p-Coumaric acid,2.374,2.26375,0.11025000000000018
Valeric acid,1.56,1.6707249999999998,0.11072499999999974
D-(+)-Neopterin,7.28,7.169074999999997,0.11092500000000349
D-Mannitol,6.8,6.913299999999998,0.11329999999999796
D-Galactonic acid,8.26,8.142708333333331,0.11729166666666835
L-Glutamine,7.93,8.048075000000004,0.11807500000000459
D-GLUCOSE 6-PHOSPHATE,8.87,8.751575,0.11842499999999845
Suberic acid,3.38,3.501274999999999,0.12127499999999891
Guanidinoacetic acid,7.75,7.873524999999998,0.12352499999999811
ISOVALERIC ACID,1.87,1.7452499999999997,0.12475000000000036
O-Phospho-L-serine,8.85,8.725225000000002,0.12477499999999786
L-Alanine,7.59,7.4628,0.1272000000000002
1-Methylguanosine,5.0,5.128424999999999,0.12842499999999912
L-Histidine,8.25,8.1204875,0.12951250000000059
Riboflavin,5.8,5.929974999999999,0.12997499999999906
Guanosine,6.65,6.518450000000001,0.13154999999999895
L-Asparagine,8.05,7.916275000000001,0.1337250000000001
trans-4-Hydroxy-L-proline,7.551,7.416824999999994,0.13417500000000615
cis-4-Hydroxy-D-proline,7.551,7.416824999999994,0.13417500000000615
Folinic acid,7.946,8.086175000000003,0.14017500000000283
cGMP,7.63,7.483399999999998,0.14660000000000206
Tiglic acid,1.53,1.682,0.1519999999999999
XYLITOL,6.13,6.284375000000001,0.15437500000000082
2-PENTENOIC ACID,1.66,1.8158999999999987,0.15589999999999882
Pyroglutamic acid,6.877,7.036749999999998,0.15974999999999806
Acetyl-L-tyrosine,5.85,5.689499999999997,0.16050000000000253
L-Norleucine,6.3,6.462859999999999,0.16285999999999934
L-Leucine,6.47,6.64099375,0.17099375000000006
Tartaric acid,8.551,8.378761249999998,0.17223875000000177
Chenodeoxycholic Acid,1.766,1.5910499999999999,0.17495000000000016
L-Homocitrulline,7.946,8.122175000000002,0.1761750000000024
cis-Aconitic acid,7.87,7.692525000000001,0.17747499999999938
Myo-Inositol,8.165,7.983916666666666,0.18108333333333348
"3,4-Dihydroxybenzoic acid",3.08,3.2655249999999993,0.18552499999999927
4-PENTENOIC ACID,1.66,1.8466749999999987,0.18667499999999881
Glycolic acid,6.78,6.590925,0.18907499999999988
CHOLESTERYL SULFATE,1.228,1.4190000000000005,0.1910000000000005
Vanillic acid,2.0,2.1911499999999995,0.1911499999999995
L-Dihydroorotic acid,7.27,7.466518749999997,0.1965187499999974
Carnosine,8.69,8.4924,0.19759999999999955
Homoarginine,8.624,8.420866666666667,0.2031333333333336
L-ARABITOL,6.08,6.284375000000001,0.20437500000000064
L-Glutamic acid,8.35,8.144225000000002,0.20577499999999738
6-Phosphogluconic acid,9.145,8.93705,0.2079500000000003
D-Glucosamine,8.247,8.026850000000003,0.22014999999999674
Hypoxanthine,3.745,3.966850000000002,0.2218500000000021
N-ACETYLGLYCINE,6.77,6.993124999999999,0.22312499999999957
Retinoic acid,1.3,1.528149999999999,0.22814999999999896
Indole-3-carboxylic acid,1.699,1.9401749999999995,0.24117499999999947
D-Fructose,6.877,7.121125000000002,0.24412500000000215
Methylguanidine,5.85,6.095599999999998,0.2455999999999987
L-Carnitine,7.6,7.352343749999998,0.24765625000000124
2-Methylglutaric acid,5.846,5.596100000000002,0.24989999999999846
L-Methionine,6.82,7.070762499999996,0.250762499999996
N-GLYCYL-L-PROLINE,8.15,7.898549999999998,0.25145000000000195
3-Hydroxy-3-methylglutaric acid,6.733,6.986225000000003,0.25322500000000314
BETAINE,6.65,6.392624999999997,0.25737500000000324
3-Sulfinoalanine,8.3,8.042525,0.25747500000000123
Biotin,3.9,4.1591650000000016,0.25916500000000164
Nitrotyrosine,6.22,5.9606249999999985,0.25937500000000124
D-Pantothenic acid,5.95,6.210399999999997,0.2603999999999971
L-CARNITINE ,7.619,7.352343749999998,0.26665625000000137
NADPH,9.186,8.916749999999997,0.2692500000000031
Caffeine,1.46,1.73015,0.2701500000000001
Glutaric acid,6.8,6.525418750000002,0.274581249999998
GLUCONIC ACID,8.42,8.142708333333331,0.2772916666666685
L-Arginine,8.7,8.422666666666666,0.277333333333333
1-Methylnicotinamide,6.542,6.263475000000001,0.27852499999999925
Imidazoleacetic acid,7.41,7.124775,0.2852250000000005
Imidazoleacetic acid,7.41,7.124775,0.2852250000000005
2-Indolecarboxylic acid,1.688,1.976450000000001,0.288450000000001
Anthranilic acid,1.61,1.91115,0.3011499999999998
L-Serine,7.99,7.687024999999998,0.30297500000000177
Cystathionine,8.73,8.423399999999999,0.3066000000000013
3-Ureidopropionic acid,6.835,7.14305,0.3080499999999997
