NAME,Experimental RT,Predicted RT,mae
N-Formylmethionine,4.7,4.711128679872142,0.011128679872141944
3-Isopropylmalate,4.545,4.566615044376887,0.02161504437688677
Nα-Acetyl-L-arginine,7.74,7.776368066045963,0.03636806604596288
L-Arginine,8.7,8.65010146894145,0.04989853105854891
Dihydrofolic acid,8.0,7.941800993501979,0.0581990064980209
D-Fructose 6-phosphate,8.475,8.406949861296308,0.06805013870369159
UBIQUINOL,1.33,1.2552978208937273,0.07470217910627275
L-Kynurenine,6.392,6.483968539126101,0.0919685391261007
GLUCONIC ACID,8.42,8.515211948997107,0.0952119489971075
PENTADECYLIC ACID,1.282,1.1861902432366547,0.09580975676334536
D-Glucosamine,8.247,8.355669842274942,0.10866984227494214
MYRISTIC ACID,1.29,1.4178476825874395,0.1278476825874395
Vanillylmandelic acid,4.35,4.485407315860606,0.13540731586060595
ADMA,8.39,8.526057466865037,0.1360574668650365
TETRAHYDROBIOPTERIN,8.33,8.183076473589672,0.1469235264103279
Malonaldehyde,3.43,3.272018315919599,0.15798168408040114
3-Hydroxy-DL-kynurenine,6.935,7.0966250292650805,0.16162502926508093
Alpha-N-Phenylacetyl-L-glutamine,6.03,5.828115460500809,0.20188453949919083
Homoarginine,8.624,8.418444029590667,0.2055559704093337
D-Pantothenic acid,5.95,6.169940006414548,0.21994000641454825
Guanidinoacetic acid,7.75,7.52254431483057,0.2274556851694296
6-Phosphogluconic acid,9.145,8.913605702373296,0.2313942976267036
D-Galactonic acid,8.26,8.515211948997107,0.25521194899710764
Argininosuccinic acid,9.138,9.39413867327248,0.2561386732724795
Folinic acid,7.946,7.685217218108466,0.2607827818915336
PALMITIC ACID,1.27,0.9545328038858703,0.31546719611412977
Phenylbutazone,1.24,1.564535893384969,0.3245358933849689
Tetracaine,1.675,2.0035530476364145,0.32855304763641446
Xanthine,6.83,6.485664222087615,0.34433577791238523
L-Citrulline,8.093,7.742334008890039,0.35066599110996055
Folic acid,7.906,7.551334390403355,0.35466560959664495
Retinoic acid,1.3,0.9246625931723496,0.3753374068276505
L-Asparagine,8.05,7.6596552820809425,0.3903447179190582
Suberic acid,3.38,3.801041612579997,0.42104161257999717
L-Homocitrulline,7.946,7.510676569539255,0.43532343046074473
2-Furoic acid,3.8,3.359710261341081,0.44028973865891885
3-Ureidopropionic acid,6.835,6.383119415428375,0.45188058457162494
Meclofenamic acid,1.38,1.8577693784484755,0.47776937844847556
Oleamide,1.25,1.733692787150531,0.483692787150531
Cysteine-S-sulfate,7.372,6.873738988735864,0.4982610112641357
L-Glutamine,7.93,7.427997842730157,0.5020021572698425
LINOLEIC ACID,1.263,0.7572587681198342,0.5057412318801657
HEPTADECANOIC ACID,1.261,0.7228753645350854,0.5381246354649145
Myo-Inositol,8.165,8.718008707618726,0.5530087076187264
