NAME,Experimental RT,Predicted RT,mae
LINOLEIC ACID,1.263,1.2715079813915593,0.008507981391559394
PALMITIC ACID,1.27,1.2788547513662087,0.008854751366208724
HEPTADECANOIC ACID,1.261,1.2758556135623405,0.014855613562340553
L-Alanine,7.59,7.575042819218919,0.014957180781080659
L-Threonine,7.71,7.688668152340445,0.02133184765955498
Retinoic acid,1.3,1.274467186498986,0.025532813501013996
Nα-Acetyl-L-arginine,7.74,7.712570630616479,0.027429369383520807
D-Lactose,8.178,8.14988436199535,0.028115638004651444
Thymol,1.37,1.3397056119501478,0.030294388049852294
Thiamine,6.96,6.929164105486138,0.030835894513861817
Oleamide,1.25,1.2834542851822568,0.03345428518225679
Cyclohexaneacetic acid,1.454,1.4200568269242426,0.03394317307575734
GLYCINE,7.79,7.748341271008217,0.041658728991783356
Nicotinuric acid,6.76,6.814007776411744,0.054007776411744146
Retinaldehyde,1.211,1.268664189757844,0.05766418975784382
D-Maltose,8.088,8.14988436199535,0.06188436199535019
PENTADECYLIC ACID,1.282,1.3445553785406177,0.06255537854061766
DL-Homoserine,7.753,7.689375203425149,0.06362479657485132
S-Methyl-L-cysteine,7.02,7.090995360081621,0.07099536008162133
Meclofenamic acid,1.38,1.453362888736128,0.07336288873612817
dTMP,7.672,7.591248708284884,0.08075129171511541
Cholic acid,1.634,1.5471386240807252,0.08686137591927467
Threonate,7.36,7.272675050585201,0.08732494941479896
1-Methylhistamine,6.85,6.756841689798162,0.0931583102018374
dTMP,7.69,7.591248708284884,0.0987512917151161
2-Indolecarboxylic acid,1.688,1.5884195443978726,0.09958045560212736
Stearic acid,1.255,1.3546595420604213,0.09965954206042138
CAPRYLIC ACID,1.374,1.2741379337684942,0.09986206623150595
Xanthosine,6.83,6.929884495924718,0.0998844959247176
Triphenyl phosphate,1.21,1.3098886022662088,0.09988860226620888
L-Proline,7.07,6.969952351941352,0.10004764805864852
Trehalose,8.25,8.14988436199535,0.10011563800465062
Creatine,7.63,7.730173382422867,0.10017338242286744
Nitrotyrosine,6.22,6.119778651725529,0.10022134827447093
N-Acetylputrescine,6.788,6.889609787232176,0.10160978723217617
Indole-3-carboxylic acid,1.699,1.5884195443978726,0.11058045560212748
cGMP,7.63,7.5029745870011055,0.12702541299889436
cis-4-Hydroxy-D-proline,7.551,7.695027234251363,0.14402723425136266
trans-4-Hydroxy-L-proline,7.551,7.695027234251363,0.14402723425136266
UBIQUINOL,1.33,1.4765060912590022,0.14650609125900216
β-Alanine,7.723,7.573535805323909,0.1494641946760913
3-Indolebutyric acid,1.432,1.2810729893932176,0.15092701060678237
MYRISTIC ACID,1.29,1.4455460738344716,0.1555460738344716
DL-Methionine sulfoxide,7.888,7.7287414476942065,0.15925855230579344
