NAME,Experimental RT,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Triphenyl phosphate,1.21,O=[P](Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,13.05473356,13.05473356,0.405273684,-3.885046296,0.574213569,10.7826087,326.288,311.168,326.0707956,116,0,0.646578429,-0.385930559,0.646578429,0.385930559,0.47826087,0.739130435,1,31.2049271,10.34528078,2.325046634,-2.188581743,2.490362236,-2.069709331,7.493709006,0.298236042,2.569605019,1.868683542,667.7177523,15.95997287,12.2404608,13.13488799,11.23489479,7.074719987,8.535313473,4.660232463,6.102382212,2.881253458,4.184529383,1.887259903,3.138808343,-2.71,233690.1588,15.19589785,7.033331574,4.37873112,134.4358379,13.57124149,17.2485355,0,0,0,7.822697123,0,0,4.565048285,0,54.59730362,36.39820241,0,0,18.13628977,7.822697123,0,0,0,0,0,90.99550603,0,17.2485355,13.57124149,0,17.2485355,7.822697123,0,4.565048285,0,0,90.99550603,0,0,0,44.76,7.822697123,4.565048285,0,0,17.2485355,0,0,72.79640482,18.19910121,0,13.57124149,29.6175737,0,0,0,0,1.215821051,26.35720711,0,0,-3.885046296,0,23,0,4,0,0,0,3,0,3,4,0,5,6,0,0,0,3,5.3315,88.8165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retinaldehyde,1.211,CC(=C\C=O)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,10.33956082,10.33956082,0.289919785,0.289919785,0.358457685,20.61904762,284.443,256.219,284.2140155,114,0,0.142600124,-0.298553314,0.298553314,0.142600124,1.095238095,1.761904762,2.380952381,16.12846581,9.724054705,2.25758738,-2.32485774,2.402587328,-2.185143814,5.664842696,-0.103647491,2.37264997,2.797306082,522.0416687,15.88046889,14.07102052,14.07102052,9.86420919,7.719518048,7.719518048,6.581342146,6.581342146,4.104525251,4.104525251,2.795237985,2.795237985,-1.63,29802.85627,17.42162623,7.970554462,5.706878442,129.380827,0,6.286160523,0,0,0,0,4.794537184,0,0,0,55.37378399,62.6708961,0,0,4.794537184,6.286160523,0,0,5.414990469,53.88115087,0,58.74853876,0,0,0,0,0,0,6.286160523,4.794537184,5.414990469,53.88115087,58.74853876,0,0,0,17.07,0,4.794537184,0,5.414990469,0,11.85926505,35.98177846,6.076020107,19.07577741,45.92300912,0,0,0,10.33956082,0,5.479675777,0,0,16.64821828,10.94921178,0,0.45,21,0,1,1,0,1,0,0,0,1,0,1,5,0,0,0,1,5.7169,92.19,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOLESTERYL SULFATE,1.228,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)O[S](O)(=O)=O,11.22619118,11.22619118,0.170923949,-4.377885753,0.31775311,42.71875,466.728,420.36,466.311681,184,0,0.397128704,-0.263520299,0.397128704,0.263520299,1.0625,1.8125,2.5,32.25181479,9.466445074,2.587558884,-2.581488755,2.669917348,-2.506173163,7.804607842,-0.056010673,3.038531559,1.469826731,817.5129839,23.31119031,20.9771835,21.79368008,14.93814271,13.28992258,14.65507095,12.67850772,13.7264197,10.51756253,11.0329292,8.906153823,9.414358596,-0.39,10325407.29,24.72566361,8.9990319,4.597071404,196.4660035,0,0,0,0,0,10.39900058,4.552749874,4.183085433,8.417796984,0,65.5302755,97.7039902,0,6.103966388,17.15363229,10.39900058,0,0,46.33741722,111.3516902,0,11.64912464,0,0,0,0,0,0,19.07451325,14.58208601,46.33741722,105.2477239,11.64912464,0,0,0,63.6,16.50296697,8.417796984,0,5.414990469,24.17453976,42.43117348,50.51885589,0,0,40.69470611,8.735835306,36.55047591,0,0,0,2.050216801,4.833022803,0,15.09050876,12.27032815,-4.377885753,0.925925926,32,1,4,4,0,4,0,0,0,3,1,5,7,3,0,3,4,7.2158,129.4676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-DI-TERT-BUTYLPHENOL",1.232,CC(C)(C)c1ccc(O)c(c1)C(C)(C)C,9.836309996,9.836309996,0.008587963,-0.008587963,0.680250063,12.93333333,206.329,184.153,206.1670653,84,0,0.118818898,-0.507653793,0.507653793,0.118818898,0.866666667,1.4,1.8,16.25546244,9.801508133,2.21251204,-2.250879608,2.339300032,-2.15674103,5.419658505,0.444417919,1.998366036,3.299357946,350.5819417,11.85337115,10.6792644,10.6792644,6.621027034,5.461640669,5.461640669,6.231928248,6.231928248,2.670591973,2.670591973,1.603273163,1.603273163,-0.98,1105.096418,12.09132668,3.549844105,2.740489656,93.14517379,5.106527395,5.749511833,0,0,0,0,0,0,0,0,53.67515734,28.02325099,0,0,5.106527395,0,0,0,0,52.37240414,0,29.32600419,0,5.749511833,0,0,5.749511833,0,5.106527395,10.82998094,0,52.66932618,18.19910121,0,0,0,20.23,0,5.106527395,0,10.82998094,5.749511833,5.563451492,5.563451492,6.066367068,6.066367068,47.60879027,0,0,0,0,9.836309996,2.415856481,0.398611111,5.93162037,0,12.91760204,0,0.571428571,15,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,3.9872,65.5068,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenylbutazone,1.24,CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,12.86939012,12.86939012,0.140274943,-0.587627551,0.788551576,15.52173913,308.381,288.221,308.1524779,118,0,0.258374977,-0.271678799,0.271678799,0.258374977,0.782608696,1.217391304,1.608695652,16.19561819,10.01342711,2.458940276,-2.271846039,2.329600055,-2.407767866,6.224818324,-0.126801874,2.849322953,2.021506031,627.5305051,16.23384004,13.18309708,13.18309708,11.23638211,8.016748027,8.016748027,5.665994835,5.665994835,4.061576546,4.061576546,2.876981782,2.876981782,-2.62,262958.3167,15.28239993,6.648733236,2.842656173,135.8501085,0,5.917906046,0,0,11.81435946,0,9.589074368,10.01782505,0,0,56.16358286,30.6862899,0,11.37477255,9.589074368,23.18913201,0,0,5.917906046,26.18620207,10.01782505,60.66367068,0,0,10.01782505,11.37477255,0,0,11.81435946,9.589074368,5.917906046,26.18620207,60.66367068,0,0,0,40.62,5.917906046,9.589074368,0,11.81435946,17.79559417,12.84164325,10.01782505,0,60.66367068,6.9237372,0,0,0,25.73878023,3.023796296,1.432780612,-0.868177438,18.67698082,2.4325137,2.063325775,0,0.263157895,23,0,4,0,1,1,2,0,2,2,0,4,5,0,1,1,3,3.7878,90.871,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oleamide,1.25,CCCCCCCC\C=C/CCCCCCCC(N)=O,10.54629724,10.54629724,0.164233856,-0.164233856,0.3119993,11.25,281.484,246.204,281.2718647,118,0,0.216912562,-0.369679983,0.369679983,0.216912562,0.75,1.2,1.7,16.14602023,10.07700986,1.938481092,-1.989476597,2.09182248,-2.088776208,5.730683776,-0.117642328,2.425549658,3.066157801,235.5727214,14.89105877,13.53979403,13.53979403,9.77005561,8.703289366,8.703289366,5.800601539,5.800601539,3.684978016,3.684978016,2.369970683,2.369970683,-0.79,22676.46375,19.21,16.26491488,17.21,125.7550767,5.733667477,0,0,5.907179729,0,0,4.794537184,0,0,0,70.4423504,32.10410811,6.420821623,0,4.794537184,5.907179729,0,0,5.733667477,96.81523992,0,12.15204021,0,0,5.733667477,0,0,0,5.907179729,4.794537184,0,96.81523992,12.15204021,0,0,0,43.09,0,4.794537184,0,5.907179729,6.420821623,12.84164325,70.62903785,0,0,19.07577741,5.733667477,0,0,10.54629724,0,5.098640837,-0.164233856,0,21.92159369,2.264368756,0,0.833333333,20,2,2,0,0,0,0,0,0,1,1,2,15,0,0,0,0,5.5092,88.6464,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0
PGE2,1.25,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,12.09190337,12.09190337,0.053526621,-0.800751278,0.370103471,25.24,352.471,320.215,352.2249741,142,0,0.302851114,-0.481230254,0.481230254,0.302851114,1.28,2.04,2.72,16.36528494,9.897823854,2.386092366,-2.163384319,2.330449566,-2.184129051,5.844157889,-0.136656579,2.817702685,2.47720805,468.7069713,18.65648977,15.14090055,15.14090055,11.95159616,9.392383017,9.392383017,6.862731564,6.862731564,4.709842179,4.709842179,3.215435741,3.215435741,-1.46,271685.7106,21.58248088,11.98462164,8.453346554,149.9938594,15.31958218,5.783244946,0,0,0,5.969305288,9.589074368,0,0,0,50.4902825,25.68328649,24.67745534,12.20793278,24.90865655,11.75255023,0,0,11.83581209,76.91906458,0,24.30408043,0,0,0,0,0,0,39.28006519,9.589074368,11.83581209,64.71113181,24.30408043,0,0,0,94.83,18.17723806,19.80212916,0,30.46070028,25.68328649,19.26246487,0,12.15204021,12.15204021,6.9237372,5.106527395,0,0,22.54039636,28.68136055,0,-1.259437352,0,12.09075069,2.11359641,0,0.7,25,3,5,1,0,1,0,0,0,4,3,5,12,1,0,1,1,3.2511,97.1434,1,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Stearic acid,1.255,CCCCCCCCCCCCCCCCCC(O)=O,10.33320724,10.33320724,0.345492118,-0.653061016,0.336041979,10.85,284.484,248.196,284.2715304,120,0,0.302839557,-0.48123039,0.48123039,0.302839557,0.6,0.9,1.2,16.36513249,10.03832299,1.965533262,-2.02623063,2.130626096,-1.929476882,5.660163678,-0.136653196,2.425549658,2.938980067,201.5949031,14.89105877,13.66917038,13.66917038,9.77005561,8.988391115,8.988391115,6.093486012,6.093486012,3.994195557,3.994195557,2.647546069,2.647546069,-0.53,22676.46375,19.47,16.52414185,17.47,125.8990228,5.106527395,0,0,0,0,5.969305288,4.794537184,0,0,0,96.81523992,6.420821623,6.420821623,0,9.901064579,5.969305288,0,0,0,109.6568832,0,0,0,0,0,0,0,0,11.07583268,4.794537184,0,109.6568832,0,0,0,0,37.3,5.969305288,4.794537184,0,0,6.420821623,12.84164325,83.4706811,0,0,6.9237372,5.106527395,0,0,10.33320724,8.517321778,0,-0.653061016,0,20.19919723,2.270001429,0,0.944444444,20,1,2,0,0,0,0,0,0,1,1,2,16,0,0,0,0,6.3325,87.1818,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
NONADECANOIC ACID,1.26,CCCCCCCCCCCCCCCCCCC(O)=O,10.34709229,10.34709229,0.345679012,-0.652441168,0.302445084,10.9047619,298.511,260.207,298.2871805,126,0,0.302839557,-0.48123039,0.48123039,0.302839557,0.571428571,0.857142857,1.142857143,16.36513375,10.03580223,1.966532293,-2.028704079,2.134002972,-1.929481816,5.660166295,-0.136653421,2.462838477,2.946230138,213.6118931,15.59816555,14.37627717,14.37627717,10.27005561,9.488391115,9.488391115,6.447039402,6.447039402,4.244195557,4.244195557,2.824322764,2.824322764,-0.53,37255.35763,20.47,17.52136107,19.47,132.2639649,5.106527395,0,0,0,0,5.969305288,4.794537184,0,0,0,103.2360615,6.420821623,6.420821623,0,9.901064579,5.969305288,0,0,0,116.0777048,0,0,0,0,0,0,0,0,11.07583268,4.794537184,0,116.0777048,0,0,0,0,37.3,5.969305288,4.794537184,0,0,6.420821623,12.84164325,89.89150272,0,0,6.9237372,5.106527395,0,0,10.34709229,8.52870682,0,-0.652441168,0,21.66943879,2.273869941,0,0.947368421,21,1,2,0,0,0,0,0,0,1,1,2,17,0,0,0,0,6.7226,91.7988,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
HEPTADECANOIC ACID,1.261,CCCCCCCCCCCCCCCCC(O)=O,10.31781362,10.31781362,0.345269097,-0.653762314,0.373675643,10.78947368,270.457,236.185,270.2558803,114,0,0.302839557,-0.48123039,0.48123039,0.302839557,0.631578947,0.947368421,1.263157895,16.36513124,10.04126641,1.964467746,-2.023357497,2.12682782,-1.929469996,5.660161066,-0.136652972,2.386258891,2.931237274,189.7010862,14.18395199,12.9620636,12.9620636,9.27005561,8.488391115,8.488391115,5.739932621,5.739932621,3.744195557,3.744195557,2.470769373,2.470769373,-0.53,13787.80387,18.47,15.52724098,17.47,119.5340807,5.106527395,0,0,0,0,5.969305288,4.794537184,0,0,0,90.3944183,6.420821623,6.420821623,0,9.901064579,5.969305288,0,0,0,103.2360615,0,0,0,0,0,0,0,0,11.07583268,4.794537184,0,103.2360615,0,0,0,0,37.3,5.969305288,4.794537184,0,0,6.420821623,12.84164325,77.04985948,0,0,6.9237372,5.106527395,0,0,10.31781362,8.504698236,0,-0.653762314,0,18.73236823,2.265548891,0,0.941176471,19,1,2,0,0,0,0,0,0,1,1,2,15,0,0,0,0,5.9424,82.5648,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
