"Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (MFE, max)","%RSD (MFE)","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] 250-MS-NEG,[Mass] 251-MS-NEG,[Mass] 252-MS-NEG,[Mass] 253-MS-NEG,[Mass] 254-MS-NEG,[Mass] 255-MS-NEG,[Mass] 256-MS-NEG,[Mass] 257-MS-NEG,[Mass] 258-MS-NEG,[Mass] 259-MS-NEG,[Mass] 260-MS-NEG,[Mass] 261-MS-NEG,[Mass] 262-MS-NEG,[Mass] 263-MS-NEG,[Mass] 264-MS-NEG,[Mass] 265-MS-NEG,[Mass] 266-MS-NEG,[Mass] 267-MS-NEG,[Mass] 268-MS-NEG,[Mass] 269-MS-NEG,[Mass] 270_NEG,[Mass] 271_NEG,[Mass] 272_NEG,[Mass] 273_NEG,[Mass] QC1_NEG,[Mass] QC2_NEG,[Mass] QC3_NEG,[RT] 250-MS-NEG,[RT] 251-MS-NEG,[RT] 252-MS-NEG,[RT] 253-MS-NEG,[RT] 254-MS-NEG,[RT] 255-MS-NEG,[RT] 256-MS-NEG,[RT] 257-MS-NEG,[RT] 258-MS-NEG,[RT] 259-MS-NEG,[RT] 260-MS-NEG,[RT] 261-MS-NEG,[RT] 262-MS-NEG,[RT] 263-MS-NEG,[RT] 264-MS-NEG,[RT] 265-MS-NEG,[RT] 266-MS-NEG,[RT] 267-MS-NEG,[RT] 268-MS-NEG,[RT] 269-MS-NEG,[RT] 270_NEG,[RT] 271_NEG,[RT] 272_NEG,[RT] 273_NEG,[RT] QC1_NEG,[RT] QC2_NEG,[RT] QC3_NEG,[Area] 250-MS-NEG,[Area] 251-MS-NEG,[Area] 252-MS-NEG,[Area] 253-MS-NEG,[Area] 254-MS-NEG,[Area] 255-MS-NEG,[Area] 256-MS-NEG,[Area] 257-MS-NEG,[Area] 258-MS-NEG,[Area] 259-MS-NEG,[Area] 260-MS-NEG,[Area] 261-MS-NEG,[Area] 262-MS-NEG,[Area] 263-MS-NEG,[Area] 264-MS-NEG,[Area] 265-MS-NEG,[Area] 266-MS-NEG,[Area] 267-MS-NEG,[Area] 268-MS-NEG,[Area] 269-MS-NEG,[Area] 270_NEG,[Area] 271_NEG,[Area] 272_NEG,[Area] 273_NEG,[Area] QC1_NEG,[Area] QC2_NEG,[Area] QC3_NEG,[Score (MFE)] 250-MS-NEG,[Score (MFE)] 251-MS-NEG,[Score (MFE)] 252-MS-NEG,[Score (MFE)] 253-MS-NEG,[Score (MFE)] 254-MS-NEG,[Score (MFE)] 255-MS-NEG,[Score (MFE)] 256-MS-NEG,[Score (MFE)] 257-MS-NEG,[Score (MFE)] 258-MS-NEG,[Score (MFE)] 259-MS-NEG,[Score (MFE)] 260-MS-NEG,[Score (MFE)] 261-MS-NEG,[Score (MFE)] 262-MS-NEG,[Score (MFE)] 263-MS-NEG,[Score (MFE)] 264-MS-NEG,[Score (MFE)] 265-MS-NEG,[Score (MFE)] 266-MS-NEG,[Score (MFE)] 267-MS-NEG,[Score (MFE)] 268-MS-NEG,[Score (MFE)] 269-MS-NEG,[Score (MFE)] 270_NEG,[Score (MFE)] 271_NEG,[Score (MFE)] 272_NEG,[Score (MFE)] 273_NEG,[Score (MFE)] QC1_NEG,[Score (MFE)] QC2_NEG,[Score (MFE)] QC3_NEG,[Score (Tgt)] 250-MS-NEG,[Score (Tgt)] 251-MS-NEG,[Score (Tgt)] 252-MS-NEG,[Score (Tgt)] 253-MS-NEG,[Score (Tgt)] 254-MS-NEG,[Score (Tgt)] 255-MS-NEG,[Score (Tgt)] 256-MS-NEG,[Score (Tgt)] 257-MS-NEG,[Score (Tgt)] 258-MS-NEG,[Score (Tgt)] 259-MS-NEG,[Score (Tgt)] 260-MS-NEG,[Score (Tgt)] 261-MS-NEG,[Score (Tgt)] 262-MS-NEG,[Score (Tgt)] 263-MS-NEG,[Score (Tgt)] 264-MS-NEG,[Score (Tgt)] 265-MS-NEG,[Score (Tgt)] 266-MS-NEG,[Score (Tgt)] 267-MS-NEG,[Score (Tgt)] 268-MS-NEG,[Score (Tgt)] 269-MS-NEG,[Score (Tgt)] 270_NEG,[Score (Tgt)] 271_NEG,[Score (Tgt)] 272_NEG,[Score (Tgt)] 273_NEG,[Score (Tgt)] QC1_NEG,[Score (Tgt)] QC2_NEG,[Score (Tgt)] QC3_NEG,[Ions] 250-MS-NEG,[Ions] 251-MS-NEG,[Ions] 252-MS-NEG,[Ions] 253-MS-NEG,[Ions] 254-MS-NEG,[Ions] 255-MS-NEG,[Ions] 256-MS-NEG,[Ions] 257-MS-NEG,[Ions] 258-MS-NEG,[Ions] 259-MS-NEG,[Ions] 260-MS-NEG,[Ions] 261-MS-NEG,[Ions] 262-MS-NEG,[Ions] 263-MS-NEG,[Ions] 264-MS-NEG,[Ions] 265-MS-NEG,[Ions] 266-MS-NEG,[Ions] 267-MS-NEG,[Ions] 268-MS-NEG,[Ions] 269-MS-NEG,[Ions] 270_NEG,[Ions] 271_NEG,[Ions] 272_NEG,[Ions] 273_NEG,[Ions] QC1_NEG,[Ions] QC2_NEG,[Ions] QC3_NEG,
142.0244,0.25,0,7.15,0.042,4524736,27,0,100.0,0.2,99.9,4.4,2,3,142.0244,142.0244,142.0244,142.0244,142.0244,142.0245,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0245,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,142.0244,7.138,7.160,7.144,7.128,7.136,7.160,7.146,7.134,7.152,7.125,7.153,7.128,7.163,7.130,7.157,7.165,7.155,7.123,7.149,7.143,7.159,7.134,7.137,7.152,7.154,7.151,7.157,29004684,41547752,30304413,44947143,45364357,28923435,29063652,27379007,46196843,31294014,35448198,49938137,47603217,13410536,46191501,13293836,46870027,35132150,43853948,31235751,56966517,35024197,31036192,35705769,40704252,46811708,47914659,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.7,100.0,100.0,99.94,98.76,91.88,99.48,91.85,98.75,99.88,99.82,99.55,99.23,91.44,91.42,90.33,91.43,91.09,89.97,99.31,90.96,91.70,99.94,90.86,99.86,99.93,99.57,91.35,99.60,99.12,3,3,2,3,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,2,3,3,
388.0338,0.26,0,7.14,0.017,2400833,27,0,100.0,0.0,100.0,0.1,4,5,388.0338,388.0340,388.0337,388.0338,388.0338,388.0338,388.0338,388.0339,388.0339,388.0339,388.0338,388.0338,388.0338,388.0338,388.0338,388.0340,388.0340,388.0338,388.0338,388.0338,388.0339,388.0338,388.0336,388.0338,388.0339,388.0339,388.0341,7.129,7.143,7.140,7.140,7.140,7.143,7.142,7.142,7.135,7.146,7.140,7.140,7.142,7.142,7.140,7.140,7.138,7.144,7.140,7.135,7.138,7.138,7.137,7.139,7.133,7.143,7.136,8546804,10502051,8954203,10964534,10906794,8533378,10154269,8665185,11100571,11041758,9387136,10916957,11075229,11258799,10588175,15254244,10817433,8794239,10435904,8404997,13382129,9429705,10946418,9418843,10579749,10818836,11119545,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.58,99.77,99.93,99.89,99.96,99.89,99.93,99.86,99.80,99.79,99.95,99.97,99.93,99.93,99.96,99.70,99.76,99.84,99.95,99.86,99.79,99.87,99.95,99.90,99.65,99.79,99.54,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,
306.0306,0.21,0,7.14,0.017,2116282,27,0,100.0,0.0,100.0,3.8,2,3,306.0306,306.0308,306.0306,306.0306,306.0306,306.0307,306.0306,306.0307,306.0306,306.0307,306.0306,306.0306,306.0306,306.0306,306.0306,306.0307,306.0307,306.0307,306.0306,306.0306,306.0307,306.0307,306.0305,306.0306,306.0307,306.0307,306.0308,7.129,7.143,7.144,7.132,7.140,7.143,7.142,7.142,7.135,7.138,7.144,7.145,7.142,7.147,7.144,7.132,7.138,7.140,7.140,7.135,7.146,7.142,7.137,7.143,7.137,7.143,7.136,8790194,10608062,9094006,10746870,10707147,8443536,9760684,8472496,11005720,11257842,9280164,11138175,11195725,11564246,11104196,15841205,11348352,8707598,9961778,8279571,13775869,9293237,10501676,9366987,11133632,10896988,10830743,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.59,99.85,91.87,91.67,99.98,99.93,99.98,91.88,91.81,91.86,91.87,99.94,99.99,99.85,91.87,99.69,99.93,99.98,99.98,99.83,99.89,99.90,91.83,99.97,99.89,99.93,99.77,3,3,2,2,3,3,3,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,
470.0363,0.29,0,7.14,0.023,2186958,27,0,100.0,0.0,100.0,0.2,3,4,470.0362,470.0364,470.0361,470.0363,470.0362,470.0363,470.0362,470.0364,470.0363,470.0364,470.0363,470.0363,470.0362,470.0362,470.0362,470.0366,470.0365,470.0363,470.0363,470.0363,470.0364,470.0364,470.0360,470.0364,470.0364,470.0364,470.0366,7.129,7.135,7.144,7.145,7.140,7.147,7.138,7.142,7.140,7.141,7.140,7.145,7.138,7.142,7.140,7.140,7.134,7.140,7.140,7.135,7.138,7.134,7.137,7.139,7.128,7.151,7.136,7284805,9328793,7579063,9597253,9370910,7184109,8535324,7241222,9399728,9511187,7870033,9481527,9447390,9738091,9203763,12829471,9393388,7312098,8852706,7058312,11691782,7791675,9290618,7822173,9251471,9455811,9441295,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.33,99.78,99.52,99.75,99.71,99.60,99.67,99.84,99.83,99.82,99.75,99.70,99.66,99.65,99.71,99.98,99.80,99.81,99.80,99.62,99.85,99.76,99.27,99.83,99.45,99.49,99.90,4,4,4,4,4,3,4,4,4,3,4,4,3,4,3,4,4,3,4,3,3,3,4,3,4,4,4,
224.0274,0.15,0,7.14,0.029,1623028,27,0,100.0,0.0,99.9,0.3,4,4,224.0274,224.0275,224.0274,224.0275,224.0274,224.0275,224.0274,224.0274,224.0274,224.0274,224.0274,224.0274,224.0274,224.0275,224.0274,224.0274,224.0274,224.0274,224.0274,224.0274,224.0274,224.0275,224.0274,224.0274,224.0275,224.0275,224.0275,7.138,7.147,7.140,7.140,7.136,7.143,7.150,7.150,7.135,7.142,7.140,7.157,7.134,7.138,7.157,7.157,7.130,7.148,7.149,7.139,7.159,7.142,7.145,7.135,7.133,7.143,7.140,7668878,9503454,8751361,9474063,9377335,8373637,9669123,7903992,10775298,10963397,9221081,10475569,9671310,11255683,10159464,9418581,11165807,8483405,9955827,8340909,12721216,9130298,10320780,9317517,9594448,10636883,10796563,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.78,99.69,99.87,99.91,99.74,99.75,99.55,99.55,99.72,99.87,99.95,98.95,99.60,99.88,99.10,98.87,99.47,99.71,99.76,99.81,98.78,99.86,99.76,99.78,99.62,99.88,99.80,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
552.0394,0.30,0,7.14,0.018,2058357,27,0,100.0,0.0,100.0,0.2,4,5,552.0394,552.0394,552.0392,552.0394,552.0393,552.0394,552.0393,552.0395,552.0395,552.0395,552.0393,552.0394,552.0393,552.0392,552.0393,552.0398,552.0397,552.0394,552.0394,552.0394,552.0395,552.0395,552.0390,552.0395,552.0395,552.0395,552.0397,7.129,7.139,7.140,7.140,7.140,7.147,7.142,7.138,7.144,7.138,7.140,7.145,7.138,7.138,7.136,7.140,7.138,7.144,7.136,7.139,7.142,7.142,7.145,7.143,7.133,7.143,7.140,6352499,8183636,6658398,8508284,8446738,6272665,7653870,6350501,8731448,8659589,7050731,8565838,8512225,8917334,8270417,11784963,8507654,6512200,7881596,6231014,10913601,6984503,8263019,7090695,8574964,8461399,8629166,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.44,99.89,99.64,99.90,99.81,99.73,99.80,99.91,99.89,99.90,99.79,99.82,99.77,99.67,99.70,99.99,99.96,99.84,99.81,99.83,99.93,99.94,99.27,99.90,99.72,99.93,99.99,5,5,4,4,4,4,4,4,4,5,4,4,5,4,4,5,4,5,5,4,4,4,4,4,4,5,4,
607.0813,0.55,0,8.88,0.062,1312285,17,10,100.0,37.6,99.9,27.3,2,7,,607.0816,,607.0815,607.0815,607.0822,,,607.0817,607.0813,,607.0816,607.0806,607.0811,607.0811,607.0812,607.0811,,,,607.0813,,607.0811,,607.0814,607.0813,607.0813,,8.886,,8.883,8.886,8.826,,,8.844,8.889,,8.887,8.876,8.881,8.886,8.883,8.881,,,,8.880,,8.883,,8.883,8.885,8.887,,11024522,,11224221,10989126,491,,,621,709332,,10645008,631111,10961401,644072,770278,10714565,,,,571567,,435652,,3645562,3940979,3954772,,100.0,,100.0,100.0,0.0,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,0.0,100.0,,100.0,100.0,100.0,,99.94,,99.87,99.92,58.63,,47.79,56.55,85.59,40.08,99.94,84.18,99.43,84.56,82.90,99.55,,,,84.62,42.25,85.66,47.31,99.17,99.16,99.28,,7,,7,6,2,,,2,3,,6,3,6,3,4,6,,,,3,,4,,6,6,6,
97.9769,0.19,0,8.44,0.040,473932,27,0,100.0,5.5,91.9,0.7,3,4,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9770,97.9770,97.9769,97.9769,97.9769,97.9770,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,97.9769,8.430,8.431,8.424,8.428,8.428,8.431,8.447,8.438,8.440,8.434,8.440,8.445,8.438,8.439,8.449,8.432,8.426,8.445,8.449,8.457,8.442,8.451,8.454,8.461,8.420,8.427,8.457,1501701,2295665,1614653,2515344,2637891,1589514,2783784,1571145,3761435,3509267,2497687,3226901,3418768,3195387,3206020,6880246,3108546,2040880,3283909,1835934,6089104,2602157,3152937,2488158,2182754,3103575,3510208,100.0,84.6,97.1,84.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.0,100.0,90.83,90.99,90.00,90.65,90.58,90.95,91.91,91.59,91.70,91.27,91.71,91.89,91.60,91.63,91.93,91.09,90.36,91.88,91.92,91.71,91.81,91.90,91.82,91.46,89.51,90.45,91.66,3,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,
634.0425,0.32,0,7.14,0.019,1702602,27,0,100.0,0.0,100.0,0.2,4,5,634.0424,634.0425,634.0422,634.0424,634.0423,634.0424,634.0424,634.0425,634.0425,634.0426,634.0424,634.0424,634.0423,634.0422,634.0423,634.0429,634.0428,634.0424,634.0424,634.0424,634.0426,634.0427,634.0419,634.0425,634.0425,634.0426,634.0428,7.129,7.135,7.140,7.145,7.140,7.143,7.142,7.138,7.135,7.142,7.140,7.145,7.142,7.138,7.148,7.132,7.142,7.144,7.136,7.135,7.133,7.147,7.141,7.143,7.141,7.143,7.140,5055525,6532458,5165796,6624614,6684731,4800121,6063558,4933579,6812718,6936391,5577386,6888252,6846157,7095673,6667454,9713284,6835269,5134653,6322548,4932048,8844493,5542549,6719700,5593878,6603134,6739921,6848704,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.40,99.66,99.63,99.72,99.74,99.81,99.80,99.77,99.81,99.90,99.77,99.80,99.67,99.59,99.49,99.74,99.97,99.72,99.78,99.74,99.76,99.79,99.14,99.85,99.86,99.90,99.99,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
716.0455,0.35,0,7.14,0.023,1509877,27,0,100.0,0.0,99.9,0.2,3,4,716.0454,716.0455,716.0452,716.0455,716.0453,716.0456,716.0454,716.0456,716.0456,716.0455,716.0455,716.0454,716.0453,716.0452,716.0453,716.0461,716.0459,716.0455,716.0455,716.0454,716.0457,716.0457,716.0448,716.0456,716.0456,716.0457,716.0459,7.125,7.135,7.140,7.140,7.140,7.146,7.146,7.142,7.135,7.138,7.140,7.145,7.134,7.138,7.148,7.144,7.138,7.140,7.132,7.143,7.142,7.138,7.145,7.147,7.141,7.139,7.144,4280056,5666986,4488686,5890659,5968934,4255849,5286347,4350229,5967963,6046951,4807811,5942284,5983457,6134291,5711534,8531333,5915585,4400910,5495687,4201629,7613592,4688045,5825643,4825955,5824343,5896212,5966252,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.02,99.65,99.55,99.80,99.64,99.66,99.65,99.86,99.79,99.81,99.75,99.68,99.54,99.57,99.49,99.84,99.90,99.82,99.63,99.67,99.85,99.91,98.95,99.74,99.82,99.86,99.88,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,
