"Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (MFE, max)","%RSD (MFE)","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] 250-MS-POS,[Mass] 251-MS-POS,[Mass] 252-MS-POS,[Mass] 253-MS-POS,[Mass] 254-MS-POS,[Mass] 255-MS-POS,[Mass] 256-MS-POS,[Mass] 257-MS-POS,[Mass] 258-MS-POS,[Mass] 259-MS-POS,[Mass] 260-MS-POS,[Mass] 261-MS-POS,[Mass] 262-MS-POS,[Mass] 263-MS-POS,[Mass] 264-MS-POS,[Mass] 265-MS-POS,[Mass] 266-MS-POS,[Mass] 267-MS-POS,[Mass] 268-MS-POS,[Mass] 269-MS-POS,[Mass] 270_POS,[Mass] 271_POS,[Mass] 272_POS,[Mass] 273_POS,[Mass] QC1_POS,[Mass] QC2_POS,[Mass] QC3_POS,[RT] 250-MS-POS,[RT] 251-MS-POS,[RT] 252-MS-POS,[RT] 253-MS-POS,[RT] 254-MS-POS,[RT] 255-MS-POS,[RT] 256-MS-POS,[RT] 257-MS-POS,[RT] 258-MS-POS,[RT] 259-MS-POS,[RT] 260-MS-POS,[RT] 261-MS-POS,[RT] 262-MS-POS,[RT] 263-MS-POS,[RT] 264-MS-POS,[RT] 265-MS-POS,[RT] 266-MS-POS,[RT] 267-MS-POS,[RT] 268-MS-POS,[RT] 269-MS-POS,[RT] 270_POS,[RT] 271_POS,[RT] 272_POS,[RT] 273_POS,[RT] QC1_POS,[RT] QC2_POS,[RT] QC3_POS,[Area] 250-MS-POS,[Area] 251-MS-POS,[Area] 252-MS-POS,[Area] 253-MS-POS,[Area] 254-MS-POS,[Area] 255-MS-POS,[Area] 256-MS-POS,[Area] 257-MS-POS,[Area] 258-MS-POS,[Area] 259-MS-POS,[Area] 260-MS-POS,[Area] 261-MS-POS,[Area] 262-MS-POS,[Area] 263-MS-POS,[Area] 264-MS-POS,[Area] 265-MS-POS,[Area] 266-MS-POS,[Area] 267-MS-POS,[Area] 268-MS-POS,[Area] 269-MS-POS,[Area] 270_POS,[Area] 271_POS,[Area] 272_POS,[Area] 273_POS,[Area] QC1_POS,[Area] QC2_POS,[Area] QC3_POS,[Score (MFE)] 250-MS-POS,[Score (MFE)] 251-MS-POS,[Score (MFE)] 252-MS-POS,[Score (MFE)] 253-MS-POS,[Score (MFE)] 254-MS-POS,[Score (MFE)] 255-MS-POS,[Score (MFE)] 256-MS-POS,[Score (MFE)] 257-MS-POS,[Score (MFE)] 258-MS-POS,[Score (MFE)] 259-MS-POS,[Score (MFE)] 260-MS-POS,[Score (MFE)] 261-MS-POS,[Score (MFE)] 262-MS-POS,[Score (MFE)] 263-MS-POS,[Score (MFE)] 264-MS-POS,[Score (MFE)] 265-MS-POS,[Score (MFE)] 266-MS-POS,[Score (MFE)] 267-MS-POS,[Score (MFE)] 268-MS-POS,[Score (MFE)] 269-MS-POS,[Score (MFE)] 270_POS,[Score (MFE)] 271_POS,[Score (MFE)] 272_POS,[Score (MFE)] 273_POS,[Score (MFE)] QC1_POS,[Score (MFE)] QC2_POS,[Score (MFE)] QC3_POS,[Score (Tgt)] 250-MS-POS,[Score (Tgt)] 251-MS-POS,[Score (Tgt)] 252-MS-POS,[Score (Tgt)] 253-MS-POS,[Score (Tgt)] 254-MS-POS,[Score (Tgt)] 255-MS-POS,[Score (Tgt)] 256-MS-POS,[Score (Tgt)] 257-MS-POS,[Score (Tgt)] 258-MS-POS,[Score (Tgt)] 259-MS-POS,[Score (Tgt)] 260-MS-POS,[Score (Tgt)] 261-MS-POS,[Score (Tgt)] 262-MS-POS,[Score (Tgt)] 263-MS-POS,[Score (Tgt)] 264-MS-POS,[Score (Tgt)] 265-MS-POS,[Score (Tgt)] 266-MS-POS,[Score (Tgt)] 267-MS-POS,[Score (Tgt)] 268-MS-POS,[Score (Tgt)] 269-MS-POS,[Score (Tgt)] 270_POS,[Score (Tgt)] 271_POS,[Score (Tgt)] 272_POS,[Score (Tgt)] 273_POS,[Score (Tgt)] QC1_POS,[Score (Tgt)] QC2_POS,[Score (Tgt)] QC3_POS,[Ions] 250-MS-POS,[Ions] 251-MS-POS,[Ions] 252-MS-POS,[Ions] 253-MS-POS,[Ions] 254-MS-POS,[Ions] 255-MS-POS,[Ions] 256-MS-POS,[Ions] 257-MS-POS,[Ions] 258-MS-POS,[Ions] 259-MS-POS,[Ions] 260-MS-POS,[Ions] 261-MS-POS,[Ions] 262-MS-POS,[Ions] 263-MS-POS,[Ions] 264-MS-POS,[Ions] 265-MS-POS,[Ions] 266-MS-POS,[Ions] 267-MS-POS,[Ions] 268-MS-POS,[Ions] 269-MS-POS,[Ions] 270_POS,[Ions] 271_POS,[Ions] 272_POS,[Ions] 273_POS,[Ions] QC1_POS,[Ions] QC2_POS,[Ions] QC3_POS,
662.4471,0.17,0,13.96,0.044,5665361,27,0,91.8,13.3,96.2,0.5,11,13,662.4473,662.4473,662.4472,662.4471,662.4470,662.4470,662.4472,662.4471,662.4470,662.4470,662.4470,662.4472,662.4470,662.4470,662.4470,662.4471,662.4470,662.4472,662.4471,662.4472,662.4470,662.4472,662.4471,662.4470,662.4469,662.4471,662.4469,13.961,13.965,13.974,13.972,13.971,13.969,13.966,13.975,13.963,13.945,13.970,13.942,13.957,13.963,13.967,13.962,13.961,13.957,13.961,13.956,13.953,13.976,13.959,13.932,13.955,13.966,13.961,93164659,109067246,83229867,101917771,91347748,93226032,92542247,90785722,107235875,93213130,100628208,93964156,95067182,87586529,92649338,92389316,98216150,95004303,94691597,91278554,94974611,81158806,89528581,99697061,84420528,95748556,96952008,61.7,80.0,79.2,56.2,67.1,65.6,87.2,80.2,91.8,63.8,75.8,59.9,80.0,60.0,62.5,69.6,75.8,80.0,80.0,63.3,68.0,71.0,63.6,72.7,60.0,66.7,61.6,95.81,95.38,94.79,94.81,95.03,95.44,95.46,94.82,95.93,95.95,95.05,95.62,95.96,96.01,95.53,96.08,95.76,95.92,95.99,96.08,96.01,94.29,95.79,94.84,96.22,95.55,96.02,13,13,13,11,12,13,13,12,12,12,13,12,12,13,13,12,12,13,13,12,12,13,12,13,13,13,13,
257.1029,2.43,0,7.96,0.035,6788538,17,10,100.0,0.0,100.0,21.1,3,20,,257.1033,,257.1031,257.1031,,257.1018,,,257.1030,,257.1032,257.1031,257.1034,257.1031,257.1030,257.1033,,,,257.1029,257.1009,257.1029,,257.1030,257.1029,257.1027,,7.964,,7.960,7.961,,7.982,,,7.963,,7.964,7.965,7.962,7.964,7.967,7.960,,,,7.964,7.947,7.959,,7.966,7.965,7.960,,34947863,,34885966,37654586,,2760,,,15115429,,33895855,14995107,37031243,18825407,19046237,37678347,,,,11264470,3043,8544344,,14076253,14441559,14638745,,100.0,,100.0,100.0,,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,,100.0,,100.0,100.0,100.0,,99.94,,99.91,99.79,48.36,62.53,,,99.98,,99.95,99.99,99.95,99.90,99.90,99.89,,47.32,,99.96,62.11,99.89,,99.79,99.68,99.72,,20,,20,20,,3,,,18,,20,18,20,18,18,20,,,,18,3,18,,18,18,18,
759.5782,2.33,0,1.76,0.025,3662220,27,0,100.0,11.0,99.0,10.3,3,9,759.5796,759.5786,759.5778,759.5792,759.5789,759.5797,759.5796,759.5812,759.5720,759.5773,759.5768,759.5788,759.5769,759.5796,759.5780,759.5776,759.5797,759.5791,759.5760,759.5765,759.5768,759.5801,759.5776,759.5774,759.5786,759.5788,759.5793,1.775,1.761,1.760,1.763,1.757,1.777,1.774,1.777,1.765,1.764,1.762,1.762,1.759,1.765,1.764,1.765,1.763,1.771,1.769,1.769,1.761,1.772,1.762,1.773,1.758,1.757,1.752,21824,40241584,27588,41056613,39679124,34758,26253,29048,17013,12955276,21661,39546633,12775285,39924664,12496038,12891083,38049047,24140,20812,24440,12505790,22354,12572074,37463,22649757,22304139,21676786,,100.0,,80.0,100.0,,,,,80.0,,80.0,100.0,100.0,80.0,80.0,100.0,,,,100.0,,80.0,,100.0,100.0,100.0,83.52,89.07,78.80,90.68,89.50,82.61,83.60,83.16,69.69,77.03,74.05,89.73,72.91,91.36,73.68,75.83,91.33,92.52,78.42,71.11,76.00,84.67,76.79,80.59,98.97,98.71,97.34,7,7,8,7,7,7,9,9,6,5,7,7,6,7,3,6,7,7,5,6,5,5,5,7,7,7,9,
103.0997,0.91,0,5.82,0.123,1129239,25,2,100.0,0.0,91.9,14.4,1,2,103.0995,103.0997,103.0996,103.0997,103.0997,103.0995,103.0996,103.0997,103.1000,103.0997,,103.0997,103.0997,103.0997,103.0997,103.0997,103.0997,103.0996,,103.0997,103.0997,103.0998,103.0996,103.0998,103.0997,103.0997,103.0996,5.817,5.820,5.835,5.827,5.821,5.791,5.827,5.914,5.851,5.822,,5.837,5.817,5.818,5.823,5.829,5.822,5.801,,5.844,5.825,5.814,5.831,5.793,5.810,5.827,5.822,55723,20054451,40390,20239457,20825765,18019,29192,5997,6907,16254335,,15800986,13418387,20194282,18734916,22313444,22243910,2873,,16678,16010134,16709,11616272,6919,12322616,10153161,11924564,,100.0,,100.0,100.0,,,,,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,,100.0,,100.0,100.0,100.0,91.46,91.89,89.85,91.87,91.91,61.05,90.80,72.97,88.44,91.92,,91.33,91.81,91.82,91.90,91.82,91.92,89.60,49.37,84.16,91.88,64.22,91.63,61.66,91.37,91.82,91.84,2,2,2,2,2,1,2,2,2,2,,2,2,2,2,2,2,2,,2,2,1,2,1,2,2,2,
731.5464,1.92,0,1.77,0.082,3203709,21,6,100.0,10.7,99.2,16.4,5,9,,731.5472,,731.5478,731.5475,731.5447,,,,731.5461,731.5466,731.5473,731.5458,731.5481,731.5460,731.5464,731.5482,731.5450,731.5435,731.5433,731.5457,,731.5464,731.5467,731.5473,731.5474,731.5479,,1.773,,1.763,1.762,1.766,,,,1.769,1.778,1.767,1.764,1.765,1.770,1.776,1.769,1.771,1.696,1.764,1.773,,1.762,1.773,1.758,1.763,1.758,,29410809,,29845834,29019968,4168,,,,7580920,5352,28332079,7473970,29332718,7139843,7312993,27914664,7865,2005,10853,7396510,,7075758,12534,15528116,15482131,14863720,,80.0,,80.0,80.0,,,,,100.0,,80.0,100.0,100.0,80.0,80.0,80.0,,,,80.0,,80.0,,100.0,80.0,80.0,,99.18,,97.89,98.51,60.34,,,,95.85,73.65,98.83,94.35,97.55,95.20,95.13,97.91,77.70,60.51,65.13,95.39,,95.55,64.24,98.58,98.95,97.56,,9,,9,8,8,,,,9,6,7,9,9,9,9,9,5,7,7,9,,9,6,8,8,8,
183.0661,0.20,0,8.72,0.139,758159,25,2,100.0,15.8,99.9,11.0,1,9,183.0661,183.0661,183.0661,183.0662,183.0661,183.0660,183.0661,183.0662,183.0661,183.0661,183.0662,183.0661,183.0661,183.0661,183.0661,183.0661,183.0661,183.0661,183.0662,,183.0661,183.0661,183.0661,,183.0661,183.0661,183.0661,8.672,8.658,8.679,8.654,8.659,8.718,8.710,8.713,8.695,8.728,8.770,8.697,8.723,8.729,8.733,8.728,8.710,8.729,8.755,,8.747,8.764,8.793,,8.671,8.732,8.749,319857,16314169,663500,17663288,21558039,278284,43484,5794,55353,13402236,302611,19536385,16519919,21202866,15638347,20063733,21252209,437847,173604,,9563651,179639,3128254,,4846802,8599185,7906615,,100.0,56.4,100.0,100.0,70.8,,,,100.0,70.7,80.0,100.0,91.3,100.0,91.2,100.0,64.3,,,100.0,,88.7,,87.0,100.0,87.9,91.55,88.06,92.86,86.45,87.97,99.38,90.62,63.97,61.65,99.90,93.52,96.99,99.79,99.62,99.67,99.85,98.88,98.54,84.36,,98.35,95.39,88.24,,91.47,99.45,97.84,4,9,4,9,9,5,3,2,1,9,4,9,9,9,9,9,9,5,3,,9,4,6,,9,9,6,
58.0530,0.62,0,5.69,0.059,614718,27,0,100.0,19.6,91.9,1.9,4,4,58.0529,58.0529,58.0529,58.0529,58.0530,58.0529,58.0529,58.0530,58.0529,58.0530,58.0530,58.0529,58.0530,58.0530,58.0530,58.0529,58.0530,58.0529,58.0530,58.0529,58.0530,58.0530,58.0530,58.0529,58.0530,58.0530,58.0529,5.660,5.680,5.656,5.698,5.692,5.656,5.692,5.667,5.700,5.694,5.675,5.697,5.700,5.706,5.694,5.694,5.699,5.656,5.693,5.654,5.714,5.668,5.686,5.670,5.698,5.692,5.687,7410595,3857946,7471230,7349451,4048192,4009052,7615634,7391554,5636259,4161665,7816547,4050699,4091358,5581633,3825003,4804568,7378935,8365026,6328994,7914140,5213410,8341634,4239355,5611925,4518380,4085995,4648426,83.4,67.9,100.0,68.0,59.6,57.6,49.5,89.0,67.2,66.0,79.0,68.4,67.1,36.6,64.0,85.1,54.1,52.0,54.6,67.4,63.4,71.7,59.3,65.1,59.3,68.5,63.6,88.14,91.21,87.38,91.72,91.76,87.32,91.89,89.59,91.66,91.58,90.48,91.82,91.64,91.27,91.65,91.71,91.66,87.21,91.79,86.97,90.55,89.71,91.53,89.94,91.78,91.68,91.72,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
307.0839,0.67,0,8.41,0.040,1463212,27,0,100.0,25.9,100.0,7.6,3,11,307.0838,307.0841,307.0840,307.0840,307.0841,307.0837,307.0838,307.0836,307.0835,307.0839,307.0834,307.0839,307.0839,307.0841,307.0839,307.0840,307.0842,307.0836,307.0839,307.0836,307.0840,307.0838,307.0840,307.0840,307.0840,307.0839,307.0841,8.375,8.413,8.399,8.407,8.409,8.399,8.407,8.388,8.410,8.414,8.384,8.412,8.415,8.410,8.409,8.415,8.408,8.382,8.408,8.380,8.412,8.400,8.412,8.384,8.413,8.413,8.408,108728,15902577,214796,15276769,16714694,277007,74700,45744,31772,9256004,131636,15965809,8099318,15391342,11048432,12048188,15820552,224572,81578,56121,8062937,125952,5083187,89183,8994751,9210421,9194356,,100.0,60.2,100.0,100.0,0.0,,,,100.0,97.1,100.0,100.0,80.0,100.0,100.0,100.0,92.7,,,100.0,88.7,100.0,,100.0,100.0,100.0,93.45,99.93,98.20,99.89,99.93,98.02,97.46,83.20,80.99,99.20,91.56,99.90,99.59,99.98,98.94,98.74,99.90,82.04,77.45,93.30,99.57,99.35,99.59,82.62,99.91,99.87,99.93,4,11,4,11,11,4,4,3,3,9,4,11,9,11,9,9,11,3,3,5,9,4,10,3,11,11,10,
785.5931,2.93,0,1.76,0.026,3676016,19,8,100.0,5.3,99.6,16.5,3,6,,785.5929,,785.5937,785.5934,785.5861,,785.5966,,785.5923,785.5978,785.5932,785.5918,785.5941,785.5918,785.5925,785.5942,,,785.5942,785.5917,,785.5926,,785.5931,785.5932,785.5939,,1.756,,1.757,1.751,1.771,,1.777,,1.758,1.767,1.756,1.759,1.759,1.759,1.759,1.758,,,1.764,1.756,,1.751,,1.758,1.752,1.752,,25480206,,26037340,20568935,31923,,30140,,9362611,31344,24743653,9190682,25318133,8977489,9468723,23865093,,,22597,9278633,,9028636,,14073012,14155528,13793568,,100.0,,100.0,100.0,,,,,96.2,,100.0,80.0,100.0,100.0,100.0,100.0,,,,100.0,,100.0,,100.0,100.0,100.0,70.32,98.70,61.26,99.52,98.71,66.40,69.52,67.91,67.26,84.12,76.86,99.04,83.31,99.64,83.91,85.18,99.51,64.29,69.94,88.80,82.73,73.49,84.29,63.77,97.38,97.36,97.76,,6,,6,6,4,,4,,5,5,6,5,6,5,5,6,,,3,5,,6,,6,6,6,
456.4293,0.26,0,2.41,0.040,1783893,27,0,100.0,0.0,89.2,2.2,4,4,456.4293,456.4293,456.4294,456.4294,456.4293,456.4291,456.4294,456.4291,456.4292,456.4293,456.4292,456.4293,456.4292,456.4292,456.4293,456.4291,456.4292,456.4291,456.4295,456.4295,456.4293,456.4291,456.4292,456.4293,456.4295,456.4291,456.4293,2.391,2.388,2.404,2.395,2.406,2.409,2.412,2.409,2.414,2.396,2.411,2.394,2.403,2.403,2.414,2.403,2.407,2.403,2.407,2.407,2.388,2.410,2.428,2.412,2.413,2.406,2.406,22308149,22726371,21738392,20181500,21605078,19783456,20345929,19695334,18593495,20674939,20315829,20774478,22380801,20484268,23931271,21848473,24120599,19709953,20369180,20990548,24286722,20897510,22247855,20884545,21460471,21100885,20958414,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.67,82.96,84.66,88.09,83.94,83.01,83.10,83.00,82.98,86.16,83.07,84.62,83.01,82.92,82.76,83.41,83.09,89.22,82.85,82.89,81.46,83.09,82.17,83.10,83.98,87.97,82.95,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
