"","V1","Mass (avg)","RT (avg)","10mM LG_unlabeled251","10mM LG_unlabeled253","10mM LG_unlabeled261","10mM LG_13C-labeled259","10mM LG_13C-labeled265","10mM LG_13C-labeled270"
"X1",1,613.1017,8.88,1228,1,1,1888349,2094142,1497277
"X1L",1,607.0813,8.88,11024522,11224221,10645008,709332,770278,571567
"X2",2,830.6331,1.73,1,7096,7384,420628,412736,408292
"X1L.1",1,824.6133,1.73,12712,14116,15325,221321,243217,216156
"X3",3,586.0539,9.53,1320,1,1,175353,245095,120175
"X1L.2",1,580.0343,9.53,1439587,1497918,1461177,197332,275007,138253
"X4",4,202.0787,8.22,5814,4236,1426,136360,132567,69991
"X1L.3",1,196.0584,8.22,277219,292915,212357,39714,61109,165273
"X5",5,766.5858,1.73,1,1,1,243283,239110,222608
"X1L.4",1,760.5668,1.73,1,28120,28089,186288,190048,169609
"X6",6,773.5654,1.73,1,13482,1,275004,260597,249549
"X1L.5",1,767.5454,1.73,1975749,1959944,1942379,1558438,1538212,1520652
"X7",7,810.6296,1.72,1899,1,1,146882,140919,142194
"X1L.6",1,804.609,1.73,15939,1,16386,333316,328428,324821
"X8",8,872.5303,1.43,1,1,1,121612,99739,101603
"X1L.7",1,866.5093,1.43,219836,234714,227545,120951,119489,115686
"X9",9,812.637,1.73,1,1,1,143013,131583,152060
"X1L.8",1,806.6166,1.73,1,11374,10289,244073,261801,246725
"X10",10,856.6481,1.72,2444,2059,1667,106806,122700,113018
"X1L.9",1,850.6295,1.73,12732,13682,14800,169618,148491,157024
"X11",11,826.5449,1.46,1,1,1,95820,99307,89895
"X1L.10",1,820.5259,1.47,409635,437718,377029,116781,118761,116074
"X12",12,288.2762,1.29,1,1,1,24985,22188,26728
"X1L.11",1,282.2562,1.29,516548,565820,501428,392990,423898,507510
"X13",13,288.2762,1.29,1,1,1,24985,22188,26728
"X1L.12",1,282.2563,1.29,511118,521021,521250,407981,470959,534235
"X14",14,923.3969,7.98,1,1,1,21368,28511,14510
"X1L.13",1,917.3776,7.98,133190,141219,138349,81302,97016,44942
