"","V1","Mass (avg)","RT (avg)","10mM LG_unlabeled251","10mM LG_unlabeled253","10mM LG_unlabeled261","10mM LG_13C-labeled259","10mM LG_13C-labeled265","10mM LG_13C-labeled270"
"X1",1,744.5894,1.77,1,1,1,5080614,5252388,5066942
"X1L",1,738.5687,1.77,1,1,31636,1595569,1576498,1279763
"X2",2,209.0993,8.87,675,1,1,407014,466146,308665
"X1L.1",1,203.0795,8.87,1869881,1936233,1527438,294446,322026,215232
"X3",3,760.6438,1.76,1,1,1,678259,645970,689687
"X1L.2",1,754.6244,1.77,1,136507,1,2700488,2448758,2440609
"X4",4,708.5878,3.2,1,1,1,588481,721347,547969
"X1L.3",1,702.5677,3.2,10600336,9550725,9338412,4722047,4899087,4770692
"X5",5,720.6304,1.79,1,1,1,233697,211461,1
"X1L.4",1,714.6112,1.78,1,44792,1,953793,928918,945512
"X6",6,613.1011,8.87,1327,1,1,411278,457001,374807
"X1L.5",1,607.0812,8.87,2765990,2968405,2855261,141099,156694,138193
